structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.1088,16479326658941099423
spline32,256,0,24.3668,16479326658941099423
splus16,256,0,12.5458,16479326658941099423
clusterjump,256,0,14.7644,16479326658941099423
btree8_bl,256,0,21.4951,16479326658941099423
splus8,256,0,15.6128,16479326658941099423
btree8_bl,256,1,21.3760,16479326658941099423
splus8,256,1,15.6250,16479326658941099423
clusterjump,256,1,14.7980,16479326658941099423
spline32,256,1,24.0555,16479326658941099423
splus16,256,1,12.5031,16479326658941099423
sorted_array,256,1,12.8448,16479326658941099423
splus8,256,2,15.5762,16479326658941099423
spline32,256,2,23.9685,16479326658941099423
splus16,256,2,12.5275,16479326658941099423
btree8_bl,256,2,21.3562,16479326658941099423
clusterjump,256,2,14.6301,16479326658941099423
sorted_array,256,2,12.8098,16479326658941099423
splus8,256,3,15.6204,16479326658941099423
splus16,256,3,12.5000,16479326658941099423
spline32,256,3,23.9502,16479326658941099423
btree8_bl,256,3,21.3699,16479326658941099423
sorted_array,256,3,12.8403,16479326658941099423
clusterjump,256,3,14.6301,16479326658941099423
splus8,256,4,15.5960,16479326658941099423
clusterjump,256,4,14.6240,16479326658941099423
splus16,256,4,12.5397,16479326658941099423
sorted_array,256,4,12.8067,16479326658941099423
spline32,256,4,23.9578,16479326658941099423
btree8_bl,256,4,21.3150,16479326658941099423
sorted_array,256,5,12.8052,16479326658941099423
spline32,256,5,23.9380,16479326658941099423
splus16,256,5,12.5519,16479326658941099423
splus8,256,5,15.6815,16479326658941099423
clusterjump,256,5,14.7049,16479326658941099423
btree8_bl,256,5,21.4371,16479326658941099423
splus16,256,6,12.5427,16479326658941099423
splus8,256,6,15.5685,16479326658941099423
sorted_array,256,6,12.8281,16479326658941099423
clusterjump,256,6,14.6179,16479326658941099423
btree8_bl,256,6,21.3150,16479326658941099423
spline32,256,6,23.9502,16479326658941099423
spline32,256,7,23.9471,16479326658941099423
splus8,256,7,15.5777,16479326658941099423
sorted_array,256,7,12.8845,16479326658941099423
clusterjump,256,7,14.6133,16479326658941099423
splus16,256,7,12.5458,16479326658941099423
btree8_bl,256,7,21.3043,16479326658941099423
splus16,256,8,12.5015,16479326658941099423
spline32,256,8,23.9624,16479326658941099423
splus8,256,8,15.5762,16479326658941099423
btree8_bl,256,8,21.2814,16479326658941099423
sorted_array,256,8,12.8036,16479326658941099423
clusterjump,256,8,14.6286,16479326658941099423
clusterjump,256,9,14.6286,16479326658941099423
splus16,256,9,12.5031,16479326658941099423
spline32,256,9,23.9487,16479326658941099423
btree8_bl,256,9,21.2860,16479326658941099423
sorted_array,256,9,12.9089,16479326658941099423
splus8,256,9,15.7410,16479326658941099423
splus8,256,10,15.5746,16479326658941099423
spline32,256,10,24.9924,16479326658941099423
splus16,256,10,12.7670,16479326658941099423
btree8_bl,256,10,21.7377,16479326658941099423
sorted_array,256,10,13.1104,16479326658941099423
clusterjump,256,10,14.8346,16479326658941099423
splus8,256,11,15.6158,16479326658941099423
spline32,256,11,23.9487,16479326658941099423
sorted_array,256,11,12.8159,16479326658941099423
splus16,256,11,12.5290,16479326658941099423
clusterjump,256,11,14.5828,16479326658941099423
btree8_bl,256,11,21.6324,16479326658941099423
splus8,256,12,15.5792,16479326658941099423
spline32,256,12,24.0662,16479326658941099423
splus16,256,12,12.5412,16479326658941099423
btree8_bl,256,12,21.2524,16479326658941099423
sorted_array,256,12,12.8387,16479326658941099423
clusterjump,256,12,14.5782,16479326658941099423
clusterjump,256,13,14.5981,16479326658941099423
splus16,256,13,12.5046,16479326658941099423
splus8,256,13,15.7089,16479326658941099423
btree8_bl,256,13,21.6934,16479326658941099423
sorted_array,256,13,13.0600,16479326658941099423
spline32,256,13,24.0799,16479326658941099423
clusterjump,256,14,14.6500,16479326658941099423
splus16,256,14,12.5046,16479326658941099423
spline32,256,14,24.4522,16479326658941099423
btree8_bl,256,14,21.8491,16479326658941099423
splus8,256,14,15.8966,16479326658941099423
sorted_array,256,14,13.1027,16479326658941099423
splus8,512,0,15.5197,14960608222068858348
sorted_array,512,0,14.0610,14960608222068858348
clusterjump,512,0,15.4877,14960608222068858348
spline32,512,0,23.6389,14960608222068858348
splus16,512,0,17.4362,14960608222068858348
btree8_bl,512,0,20.5093,14960608222068858348
clusterjump,512,1,15.4938,14960608222068858348
spline32,512,1,24.1211,14960608222068858348
sorted_array,512,1,14.3417,14960608222068858348
btree8_bl,512,1,20.9030,14960608222068858348
splus8,512,1,15.7898,14960608222068858348
splus16,512,1,17.5995,14960608222068858348
clusterjump,512,2,15.3946,14960608222068858348
splus8,512,2,15.5167,14960608222068858348
sorted_array,512,2,14.0991,14960608222068858348
splus16,512,2,17.4484,14960608222068858348
spline32,512,2,24.0845,14960608222068858348
btree8_bl,512,2,20.8847,14960608222068858348
splus16,512,3,17.7826,14960608222068858348
splus8,512,3,15.8707,14960608222068858348
sorted_array,512,3,14.3600,14960608222068858348
spline32,512,3,23.9975,14960608222068858348
clusterjump,512,3,15.4114,14960608222068858348
btree8_bl,512,3,20.4697,14960608222068858348
sorted_array,512,4,14.0610,14960608222068858348
clusterjump,512,4,15.4175,14960608222068858348
spline32,512,4,23.6069,14960608222068858348
splus16,512,4,17.4957,14960608222068858348
btree8_bl,512,4,20.4422,14960608222068858348
splus8,512,4,16.2201,14960608222068858348
splus8,512,5,15.6448,14960608222068858348
