structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0524,4651152958151299108
spline32,256,0,26.0834,4651152958151299108
splus16,256,0,12.7060,4651152958151299108
clusterjump,256,0,12.4527,4651152958151299108
btree8_bl,256,0,21.6156,4651152958151299108
splus8,256,0,16.0385,4651152958151299108
btree8_bl,256,1,21.5652,4651152958151299108
splus8,256,1,15.8371,4651152958151299108
clusterjump,256,1,12.4588,4651152958151299108
spline32,256,1,26.0178,4651152958151299108
splus16,256,1,12.7441,4651152958151299108
sorted_array,256,1,13.0035,4651152958151299108
splus8,256,2,15.8173,4651152958151299108
spline32,256,2,27.3453,4651152958151299108
splus16,256,2,12.7075,4651152958151299108
btree8_bl,256,2,21.5225,4651152958151299108
clusterjump,256,2,12.4039,4651152958151299108
sorted_array,256,2,12.9837,4651152958151299108
splus8,256,3,15.8173,4651152958151299108
splus16,256,3,12.7487,4651152958151299108
spline32,256,3,26.0437,4651152958151299108
btree8_bl,256,3,21.5347,4651152958151299108
sorted_array,256,3,12.9913,4651152958151299108
clusterjump,256,3,12.4344,4651152958151299108
splus8,256,4,15.7761,4651152958151299108
clusterjump,256,4,12.4619,4651152958151299108
splus16,256,4,12.7213,4651152958151299108
sorted_array,256,4,12.9929,4651152958151299108
spline32,256,4,26.0086,4651152958151299108
btree8_bl,256,4,21.4890,4651152958151299108
sorted_array,256,5,12.9944,4651152958151299108
spline32,256,5,25.9918,4651152958151299108
splus16,256,5,12.7045,4651152958151299108
splus8,256,5,15.9271,4651152958151299108
clusterjump,256,5,12.3886,4651152958151299108
btree8_bl,256,5,21.4645,4651152958151299108
splus16,256,6,12.7045,4651152958151299108
splus8,256,6,15.8112,4651152958151299108
sorted_array,256,6,12.9913,4651152958151299108
clusterjump,256,6,12.3917,4651152958151299108
btree8_bl,256,6,21.4569,4651152958151299108
spline32,256,6,26.0513,4651152958151299108
spline32,256,7,25.9613,4651152958151299108
splus8,256,7,15.7761,4651152958151299108
sorted_array,256,7,13.0417,4651152958151299108
clusterjump,256,7,12.3672,4651152958151299108
splus16,256,7,12.7319,4651152958151299108
btree8_bl,256,7,21.4371,4651152958151299108
splus16,256,8,12.7487,4651152958151299108
spline32,256,8,25.9674,4651152958151299108
splus8,256,8,15.7776,4651152958151299108
btree8_bl,256,8,21.4798,4651152958151299108
sorted_array,256,8,13.0157,4651152958151299108
