structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.3320,14650053452909304793
spline32,256,0,11.6730,14650053452909304793
splus16,256,0,2.8458,14650053452909304793
clusterjump,256,0,8.0505,14650053452909304793
btree8_bl,256,0,13.9252,14650053452909304793
splus8,256,0,2.9724,14650053452909304793
btree8_bl,256,1,13.6856,14650053452909304793
splus8,256,1,2.9816,14650053452909304793
clusterjump,256,1,7.9865,14650053452909304793
spline32,256,1,11.3678,14650053452909304793
splus16,256,1,2.7786,14650053452909304793
sorted_array,256,1,4.2374,14650053452909304793
splus8,256,2,2.9648,14650053452909304793
spline32,256,2,11.4426,14650053452909304793
splus16,256,2,2.8717,14650053452909304793
btree8_bl,256,2,13.5178,14650053452909304793
clusterjump,256,2,7.5500,14650053452909304793
sorted_array,256,2,4.2374,14650053452909304793
splus8,256,3,2.9755,14650053452909304793
splus16,256,3,2.7878,14650053452909304793
spline32,256,3,11.4456,14650053452909304793
btree8_bl,256,3,13.4796,14650053452909304793
sorted_array,256,3,4.3518,14650053452909304793
clusterjump,256,3,7.8903,14650053452909304793
splus8,256,4,3.0304,14650053452909304793
clusterjump,256,4,8.0032,14650053452909304793
splus16,256,4,2.8458,14650053452909304793
sorted_array,256,4,4.3228,14650053452909304793
spline32,256,4,11.5814,14650053452909304793
btree8_bl,256,4,13.6139,14650053452909304793
sorted_array,256,5,4.3259,14650053452909304793
spline32,256,5,11.5875,14650053452909304793
splus16,256,5,2.9068,14650053452909304793
splus8,256,5,3.0304,14650053452909304793
clusterjump,256,5,7.8491,14650053452909304793
btree8_bl,256,5,13.5620,14650053452909304793
splus16,256,6,2.8427,14650053452909304793
splus8,256,6,2.9663,14650053452909304793
sorted_array,256,6,4.2358,14650053452909304793
clusterjump,256,6,7.7301,14650053452909304793
btree8_bl,256,6,13.2339,14650053452909304793
spline32,256,6,11.4120,14650053452909304793
spline32,256,7,11.3693,14650053452909304793
splus8,256,7,2.9648,14650053452909304793
sorted_array,256,7,4.2740,14650053452909304793
clusterjump,256,7,7.7225,14650053452909304793
splus16,256,7,2.7863,14650053452909304793
btree8_bl,256,7,13.5986,14650053452909304793
splus16,256,8,2.7786,14650053452909304793
spline32,256,8,11.3571,14650053452909304793
splus8,256,8,2.9724,14650053452909304793
btree8_bl,256,8,13.3621,14650053452909304793
sorted_array,256,8,4.2435,14650053452909304793
clusterjump,256,8,7.7332,14650053452909304793
clusterjump,256,9,7.8064,14650053452909304793
splus16,256,9,2.8503,14650053452909304793
spline32,256,9,11.4746,14650053452909304793
btree8_bl,256,9,13.3026,14650053452909304793
sorted_array,256,9,4.2419,14650053452909304793
splus8,256,9,3.0212,14650053452909304793
splus8,256,10,2.9694,14650053452909304793
spline32,256,10,11.3800,14650053452909304793
