structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4647,11530405409878601149
spline32,256,0,13.9603,11530405409878601149
splus16,256,0,2.9358,11530405409878601149
clusterjump,256,0,4.0863,11530405409878601149
btree8_bl,256,0,13.4979,11530405409878601149
splus8,256,0,3.0869,11530405409878601149
btree8_bl,256,1,13.2629,11530405409878601149
splus8,256,1,3.0792,11530405409878601149
clusterjump,256,1,3.9490,11530405409878601149
spline32,256,1,14.0900,11530405409878601149
splus16,256,1,2.9221,11530405409878601149
sorted_array,256,1,4.3701,11530405409878601149
splus8,256,2,3.0853,11530405409878601149
spline32,256,2,14.0030,11530405409878601149
splus16,256,2,2.9236,11530405409878601149
btree8_bl,256,2,13.1149,11530405409878601149
clusterjump,256,2,3.9993,11530405409878601149
sorted_array,256,2,4.3732,11530405409878601149
splus8,256,3,3.0777,11530405409878601149
splus16,256,3,2.8992,11530405409878601149
spline32,256,3,14.1891,11530405409878601149
btree8_bl,256,3,13.3575,11530405409878601149
sorted_array,256,3,4.3732,11530405409878601149
clusterjump,256,3,3.9444,11530405409878601149
splus8,256,4,3.0762,11530405409878601149
clusterjump,256,4,4.0680,11530405409878601149
splus16,256,4,2.9663,11530405409878601149
sorted_array,256,4,4.5319,11530405409878601149
spline32,256,4,15.8752,11530405409878601149
btree8_bl,256,4,13.2278,11530405409878601149
sorted_array,256,5,4.3655,11530405409878601149
spline32,256,5,13.9328,11530405409878601149
splus16,256,5,2.9251,11530405409878601149
splus8,256,5,3.0746,11530405409878601149
clusterjump,256,5,4.0009,11530405409878601149
btree8_bl,256,5,13.2751,11530405409878601149
splus16,256,6,2.9678,11530405409878601149
splus8,256,6,3.0655,11530405409878601149
sorted_array,256,6,4.3640,11530405409878601149
clusterjump,256,6,3.9459,11530405409878601149
btree8_bl,256,6,13.1714,11530405409878601149
spline32,256,6,13.8626,11530405409878601149
spline32,256,7,13.7222,11530405409878601149
splus8,256,7,3.1357,11530405409878601149
sorted_array,256,7,4.3793,11530405409878601149
clusterjump,256,7,4.0665,11530405409878601149
splus16,256,7,2.9160,11530405409878601149
btree8_bl,256,7,13.2980,11530405409878601149
splus16,256,8,2.9144,11530405409878601149
spline32,256,8,14.0198,11530405409878601149
splus8,256,8,3.0746,11530405409878601149
btree8_bl,256,8,13.1973,11530405409878601149
sorted_array,256,8,4.4067,11530405409878601149
clusterjump,256,8,3.9520,11530405409878601149
clusterjump,256,9,3.9551,11530405409878601149
splus16,256,9,2.9099,11530405409878601149
spline32,256,9,13.8840,11530405409878601149
btree8_bl,256,9,13.1866,11530405409878601149
sorted_array,256,9,4.3762,11530405409878601149
splus8,256,9,3.0762,11530405409878601149
splus8,256,10,3.0701,11530405409878601149
spline32,256,10,13.9191,11530405409878601149
splus16,256,10,2.9175,11530405409878601149
btree8_bl,256,10,13.1088,11530405409878601149
sorted_array,256,10,4.4479,11530405409878601149
clusterjump,256,10,3.8818,11530405409878601149
splus8,256,11,3.0746,11530405409878601149
spline32,256,11,13.9801,11530405409878601149
sorted_array,256,11,4.3762,11530405409878601149
splus16,256,11,2.9129,11530405409878601149
clusterjump,256,11,4.0588,11530405409878601149
btree8_bl,256,11,13.3408,11530405409878601149
splus8,256,12,3.0746,11530405409878601149
spline32,256,12,13.9267,11530405409878601149
splus16,256,12,2.9205,11530405409878601149
btree8_bl,256,12,13.1836,11530405409878601149
sorted_array,256,12,4.3823,11530405409878601149
clusterjump,256,12,3.9474,11530405409878601149
clusterjump,256,13,4.0390,11530405409878601149
splus16,256,13,2.9251,11530405409878601149
splus8,256,13,3.0792,11530405409878601149
btree8_bl,256,13,13.0356,11530405409878601149
sorted_array,256,13,4.4266,11530405409878601149
spline32,256,13,13.8931,11530405409878601149
clusterjump,256,14,3.9139,11530405409878601149
splus16,256,14,2.9037,11530405409878601149
spline32,256,14,13.9374,11530405409878601149
btree8_bl,256,14,13.0798,11530405409878601149
splus8,256,14,3.0792,11530405409878601149
sorted_array,256,14,4.3686,11530405409878601149
splus8,512,0,3.0380,16697882275220540387
sorted_array,512,0,5.1804,16697882275220540387
clusterjump,512,0,3.1281,16697882275220540387
spline32,512,0,14.1312,16697882275220540387
splus16,512,0,4.8294,16697882275220540387
btree8_bl,512,0,9.1705,16697882275220540387
clusterjump,512,1,3.0884,16697882275220540387
spline32,512,1,13.9359,16697882275220540387
sorted_array,512,1,5.1178,16697882275220540387
btree8_bl,512,1,9.0195,16697882275220540387
splus8,512,1,3.0258,16697882275220540387
splus16,512,1,4.7974,16697882275220540387
clusterjump,512,2,3.1036,16697882275220540387
splus8,512,2,3.0304,16697882275220540387
sorted_array,512,2,5.1224,16697882275220540387
splus16,512,2,4.8096,16697882275220540387
spline32,512,2,13.9404,16697882275220540387
btree8_bl,512,2,8.9264,16697882275220540387
splus16,512,3,4.8096,16697882275220540387
splus8,512,3,3.0334,16697882275220540387
sorted_array,512,3,5.1788,16697882275220540387
spline32,512,3,13.9725,16697882275220540387
clusterjump,512,3,3.0594,16697882275220540387
btree8_bl,512,3,8.9218,16697882275220540387
sorted_array,512,4,5.1193,16697882275220540387
clusterjump,512,4,3.0716,16697882275220540387
spline32,512,4,13.9359,16697882275220540387
splus16,512,4,4.8248,16697882275220540387
btree8_bl,512,4,8.8562,16697882275220540387
splus8,512,4,3.0212,16697882275220540387
splus8,512,5,3.0228,16697882275220540387
splus16,512,5,4.8035,16697882275220540387
spline32,512,5,13.9557,16697882275220540387
sorted_array,512,5,5.1163,16697882275220540387
btree8_bl,512,5,8.8409,16697882275220540387
clusterjump,512,5,3.1433,16697882275220540387
clusterjump,512,6,3.1250,16697882275220540387
splus16,512,6,4.8370,16697882275220540387
sorted_array,512,6,5.1422,16697882275220540387
spline32,512,6,13.9328,16697882275220540387
btree8_bl,512,6,8.9264,16697882275220540387
splus8,512,6,3.0334,16697882275220540387
splus16,512,7,4.7882,16697882275220540387
clusterjump,512,7,3.0548,16697882275220540387
splus8,512,7,3.0426,16697882275220540387
sorted_array,512,7,5.1407,16697882275220540387
spline32,512,7,14.0411,16697882275220540387
btree8_bl,512,7,8.9111,16697882275220540387
splus16,512,8,4.7928,16697882275220540387
splus8,512,8,3.0243,16697882275220540387
sorted_array,512,8,5.1773,16697882275220540387
btree8_bl,512,8,9.0485,16697882275220540387
spline32,512,8,13.9679,16697882275220540387
clusterjump,512,8,3.1113,16697882275220540387
spline32,512,9,13.9175,16697882275220540387
clusterjump,512,9,3.0960,16697882275220540387
sorted_array,512,9,5.1239,16697882275220540387
btree8_bl,512,9,8.9417,16697882275220540387
splus16,512,9,4.8096,16697882275220540387
splus8,512,9,3.0289,16697882275220540387
splus8,512,10,3.0258,16697882275220540387
clusterjump,512,10,3.0228,16697882275220540387
btree8_bl,512,10,8.8669,16697882275220540387
sorted_array,512,10,5.1651,16697882275220540387
splus16,512,10,4.7928,16697882275220540387
spline32,512,10,13.9069,16697882275220540387
spline32,512,11,13.9572,16697882275220540387
sorted_array,512,11,5.1300,16697882275220540387
splus8,512,11,3.0426,16697882275220540387
clusterjump,512,11,3.0716,16697882275220540387
splus16,512,11,4.8065,16697882275220540387
btree8_bl,512,11,8.9035,16697882275220540387
sorted_array,512,12,5.1208,16697882275220540387
splus16,512,12,4.8019,16697882275220540387
clusterjump,512,12,3.0304,16697882275220540387
spline32,512,12,13.9633,16697882275220540387
splus8,512,12,3.0350,16697882275220540387
btree8_bl,512,12,8.8303,16697882275220540387
splus8,512,13,3.0319,16697882275220540387
splus16,512,13,4.8035,16697882275220540387
btree8_bl,512,13,8.8959,16697882275220540387
sorted_array,512,13,5.1193,16697882275220540387
spline32,512,13,13.8840,16697882275220540387
clusterjump,512,13,3.1113,16697882275220540387
clusterjump,512,14,3.1052,16697882275220540387
splus8,512,14,3.0838,16697882275220540387
spline32,512,14,14.0060,16697882275220540387
splus16,512,14,4.8080,16697882275220540387
sorted_array,512,14,5.1239,16697882275220540387
btree8_bl,512,14,8.9401,16697882275220540387
btree8_bl,1024,0,21.8399,1822299186294993737
splus8,1024,0,4.2740,1822299186294993737
clusterjump,1024,0,3.5492,1822299186294993737
splus16,1024,0,4.8248,1822299186294993737
sorted_array,1024,0,5.8167,1822299186294993737
spline32,1024,0,14.1800,1822299186294993737
btree8_bl,1024,1,21.7728,1822299186294993737
splus16,1024,1,4.8248,1822299186294993737
sorted_array,1024,1,5.8136,1822299186294993737
clusterjump,1024,1,3.5477,1822299186294993737
spline32,1024,1,14.0213,1822299186294993737
splus8,1024,1,4.3137,1822299186294993737
spline32,1024,2,13.8641,1822299186294993737
splus16,1024,2,4.8233,1822299186294993737
sorted_array,1024,2,5.8762,1822299186294993737
btree8_bl,1024,2,21.7697,1822299186294993737
clusterjump,1024,2,3.5202,1822299186294993737
splus8,1024,2,4.2313,1822299186294993737
splus8,1024,3,4.2542,1822299186294993737
