"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"clusterjump","lat","clustered",256,3,14.6698,12.529,1.16757921621837,1.14739583740702,1.21983527961645,FALSE
"clusterjump","lat","clustered",512,3,15.9012,15.567,1.00279373648065,0.993013978487694,1.05469904284705,FALSE
"clusterjump","lat","clustered",1024,3,16.3284,17.4957,0.914114342625024,0.91353820265235,0.933280748984036,TRUE
"clusterjump","lat","clustered",2048,3,16.1301,17.5156,0.923635884720878,0.915932083399941,0.925106335348108,TRUE
"clusterjump","lat","clustered",4096,3,16.748,17.6346,0.949723838363218,0.948445209147571,0.954609653024911,TRUE
"clusterjump","lat","clustered",8192,3,17.3462,23.3353,0.745640165925162,0.715619683483821,0.75917474446498,TRUE
"clusterjump","lat","clustered",16384,3,17.1219,23.7,0.722443037974684,0.696404086321693,0.725245079413329,TRUE
"clusterjump","lat","clustered",32768,3,17.186,25.5356,0.687479440467426,0.665095408071609,0.687734350301929,TRUE
"clusterjump","lat","clustered",65536,3,19.1101,27.0462,0.696742502585315,0.679185315153227,0.70657245749865,TRUE
"clusterjump","lat","clustered",131072,3,22.2504,35.0922,0.634055431121446,0.624676313345983,0.643647111888341,TRUE
"clusterjump","lat","clustered",262144,3,36.0092,47.8775,0.736887546303036,0.702705742513516,0.752111116912955,TRUE
"clusterjump","lat","clustered",524288,3,59.613,66.124,0.876956329225302,0.806663666952894,0.90153348254794,TRUE
"clusterjump","lat","clustered",1048576,3,107.2632,116.7282,0.950128400759239,0.918914195541437,0.979575219234442,TRUE
"clusterjump","lat","clustered",2097152,3,143.9835,148.8632,0.968766189475116,0.936868883646193,0.980496773864043,TRUE
"clusterjump","lat","clustered",4194304,3,190.4785,187.1185,1.01795653556436,0.998935621055525,1.04339284880203,FALSE
"clusterjump","lat","clustered",8388608,3,232.5317,219.9921,1.05046681221735,1.02497137285779,1.06059771243157,FALSE
