structure,n,rep,ns_per_query,checksum
spline16,256,0,22.2931,5064551166254988928
radixjump,256,0,12.0667,5064551166254988928
splus16,256,0,12.8540,5064551166254988928
spline8,256,0,20.7245,5064551166254988928
btree8_bl,256,0,22.5418,5064551166254988928
splus8,256,0,15.9378,5064551166254988928
sorted_array,256,0,13.0600,5064551166254988928
spline32,256,0,26.1276,5064551166254988928
splus8,256,1,15.9622,5064551166254988928
btree8_bl,256,1,22.4472,5064551166254988928
radixjump,256,1,11.9324,5064551166254988928
splus16,256,1,12.7487,5064551166254988928
spline16,256,1,23.5413,5064551166254988928
sorted_array,256,1,13.0829,5064551166254988928
spline32,256,1,26.0452,5064551166254988928
spline8,256,1,20.7077,5064551166254988928
splus8,256,2,15.9119,5064551166254988928
radixjump,256,2,11.9919,5064551166254988928
spline16,256,2,22.1420,5064551166254988928
btree8_bl,256,2,22.4716,5064551166254988928
splus16,256,2,12.7960,5064551166254988928
spline8,256,2,20.7016,5064551166254988928
spline32,256,2,26.0056,5064551166254988928
sorted_array,256,2,13.1012,5064551166254988928
splus8,256,3,15.8737,5064551166254988928
spline8,256,3,20.7443,5064551166254988928
radixjump,256,3,11.9385,5064551166254988928
sorted_array,256,3,13.0890,5064551166254988928
spline16,256,3,22.1802,5064551166254988928
btree8_bl,256,3,22.3923,5064551166254988928
spline32,256,3,25.9796,5064551166254988928
splus16,256,3,12.7945,5064551166254988928
splus16,256,4,12.7472,5064551166254988928
spline32,256,4,25.9277,5064551166254988928
spline8,256,4,20.8099,5064551166254988928
spline16,256,4,22.1786,5064551166254988928
splus8,256,4,17.0029,5064551166254988928
radixjump,256,4,12.2665,5064551166254988928
btree8_bl,256,4,22.4274,5064551166254988928
sorted_array,256,4,13.0554,5064551166254988928
btree8_bl,256,5,22.4060,5064551166254988928
sorted_array,256,5,13.0554,5064551166254988928
spline16,256,5,22.2000,5064551166254988928
spline8,256,5,20.7535,5064551166254988928
radixjump,256,5,11.9095,5064551166254988928
splus8,256,5,15.9195,5064551166254988928
splus16,256,5,12.7670,5064551166254988928
spline32,256,5,26.0239,5064551166254988928
radixjump,256,6,11.9125,5064551166254988928
btree8_bl,256,6,22.3404,5064551166254988928
splus16,256,6,12.7747,5064551166254988928
splus8,256,6,15.9042,5064551166254988928
spline16,256,6,22.1558,5064551166254988928
spline8,256,6,20.7291,5064551166254988928
spline32,256,6,25.9659,5064551166254988928
sorted_array,256,6,13.0508,5064551166254988928
btree8_bl,512,0,21.9894,6715038820249311008
spline8,512,0,25.9598,6715038820249311008
splus8,512,0,15.9943,6715038820249311008
spline32,512,0,24.2813,6715038820249311008
spline16,512,0,22.1909,6715038820249311008
splus16,512,0,17.8299,6715038820249311008
sorted_array,512,0,14.4012,6715038820249311008
radixjump,512,0,12.9990,6715038820249311008
btree8_bl,512,1,21.9452,6715038820249311008
spline8,512,1,25.9674,6715038820249311008
splus16,512,1,17.8299,6715038820249311008
sorted_array,512,1,14.3936,6715038820249311008
spline16,512,1,22.1573,6715038820249311008
spline32,512,1,24.3881,6715038820249311008
splus8,512,1,15.8875,6715038820249311008
radixjump,512,1,12.8952,6715038820249311008
splus8,512,2,15.9058,6715038820249311008
spline8,512,2,25.9140,6715038820249311008
radixjump,512,2,12.8510,6715038820249311008
spline32,512,2,24.3988,6715038820249311008
splus16,512,2,17.9108,6715038820249311008
spline16,512,2,22.2046,6715038820249311008
btree8_bl,512,2,21.9757,6715038820249311008
sorted_array,512,2,14.4318,6715038820249311008
splus8,512,3,15.8768,6715038820249311008
spline32,512,3,24.2676,6715038820249311008
radixjump,512,3,13.5178,6715038820249311008
spline16,512,3,22.2610,6715038820249311008
sorted_array,512,3,14.3784,6715038820249311008
splus16,512,3,17.8406,6715038820249311008
btree8_bl,512,3,21.9940,6715038820249311008
spline8,512,3,25.9384,6715038820249311008
spline16,512,4,22.1405,6715038820249311008
sorted_array,512,4,14.3997,6715038820249311008
splus8,512,4,15.8264,6715038820249311008
splus16,512,4,17.8345,6715038820249311008
btree8_bl,512,4,21.9696,6715038820249311008
spline32,512,4,24.3225,6715038820249311008
spline8,512,4,26.0315,6715038820249311008
radixjump,512,4,12.8891,6715038820249311008
splus8,512,5,15.8768,6715038820249311008
splus16,512,5,17.8818,6715038820249311008
sorted_array,512,5,14.3982,6715038820249311008
spline32,512,5,24.2950,6715038820249311008
spline16,512,5,22.1954,6715038820249311008
spline8,512,5,25.9140,6715038820249311008
radixjump,512,5,12.8647,6715038820249311008
btree8_bl,512,5,21.9131,6715038820249311008
sorted_array,512,6,14.4287,6715038820249311008
