structure,n,rep,ns_per_query,checksum
spline16,256,0,24.9527,3802318259966007189
radixjump,256,0,9.3338,3802318259966007189
splus16,256,0,13.6185,3802318259966007189
spline8,256,0,20.7626,3802318259966007189
btree8_bl,256,0,22.6654,3802318259966007189
splus8,256,0,15.9653,3802318259966007189
sorted_array,256,0,13.1012,3802318259966007189
spline32,256,0,26.1322,3802318259966007189
splus8,256,1,16.0065,3802318259966007189
btree8_bl,256,1,22.5571,3802318259966007189
radixjump,256,1,9.3353,3802318259966007189
splus16,256,1,12.7609,3802318259966007189
spline16,256,1,24.5346,3802318259966007189
sorted_array,256,1,13.3423,3802318259966007189
spline32,256,1,26.0666,3802318259966007189
spline8,256,1,20.8130,3802318259966007189
splus8,256,2,16.0019,3802318259966007189
radixjump,256,2,9.3369,3802318259966007189
spline16,256,2,24.5132,3802318259966007189
btree8_bl,256,2,24.3027,3802318259966007189
splus16,256,2,13.3987,3802318259966007189
spline8,256,2,20.7367,3802318259966007189
spline32,256,2,26.0498,3802318259966007189
sorted_array,256,2,13.0646,3802318259966007189
splus8,256,3,16.0202,3802318259966007189
spline8,256,3,21.2357,3802318259966007189
radixjump,256,3,9.2163,3802318259966007189
sorted_array,256,3,13.6017,3802318259966007189
spline16,256,3,24.5132,3802318259966007189
btree8_bl,256,3,22.5388,3802318259966007189
spline32,256,3,26.4755,3802318259966007189
splus16,256,3,12.9196,3802318259966007189
splus16,256,4,13.0951,3802318259966007189
spline32,256,4,26.5381,3802318259966007189
spline8,256,4,20.7703,3802318259966007189
spline16,256,4,24.4690,3802318259966007189
splus8,256,4,16.0263,3802318259966007189
radixjump,256,4,9.2178,3802318259966007189
btree8_bl,256,4,23.0301,3802318259966007189
sorted_array,256,4,13.1424,3802318259966007189
btree8_bl,256,5,22.5189,3802318259966007189
sorted_array,256,5,13.1882,3802318259966007189
spline16,256,5,24.4476,3802318259966007189
spline8,256,5,20.7855,3802318259966007189
radixjump,256,5,9.2148,3802318259966007189
splus8,256,5,15.9302,3802318259966007189
splus16,256,5,12.8113,3802318259966007189
spline32,256,5,26.1032,3802318259966007189
radixjump,256,6,9.2148,3802318259966007189
btree8_bl,256,6,22.5723,3802318259966007189
splus16,256,6,12.8464,3802318259966007189
splus8,256,6,15.9515,3802318259966007189
spline16,256,6,25.9933,3802318259966007189
spline8,256,6,21.0342,3802318259966007189
spline32,256,6,26.0880,3802318259966007189
sorted_array,256,6,13.0951,3802318259966007189
btree8_bl,512,0,21.8445,18445980686323395203
spline8,512,0,20.7947,18445980686323395203
splus8,512,0,15.8218,18445980686323395203
spline32,512,0,26.1383,18445980686323395203
spline16,512,0,22.6624,18445980686323395203
splus16,512,0,17.8284,18445980686323395203
sorted_array,512,0,14.4302,18445980686323395203
radixjump,512,0,9.3475,18445980686323395203
btree8_bl,512,1,21.7636,18445980686323395203
spline8,512,1,20.8008,18445980686323395203
splus16,512,1,17.9657,18445980686323395203
sorted_array,512,1,14.3570,18445980686323395203
spline16,512,1,22.3557,18445980686323395203
spline32,512,1,26.1963,18445980686323395203
splus8,512,1,15.8829,18445980686323395203
radixjump,512,1,9.3185,18445980686323395203
splus8,512,2,15.8188,18445980686323395203
spline8,512,2,21.2662,18445980686323395203
radixjump,512,2,9.2163,18445980686323395203
spline32,512,2,26.6006,18445980686323395203
splus16,512,2,17.8925,18445980686323395203
spline16,512,2,22.3038,18445980686323395203
btree8_bl,512,2,21.7972,18445980686323395203
sorted_array,512,2,14.4562,18445980686323395203
splus8,512,3,15.9805,18445980686323395203
spline32,512,3,26.1749,18445980686323395203
radixjump,512,3,9.2178,18445980686323395203
spline16,512,3,22.3557,18445980686323395203
sorted_array,512,3,14.3616,18445980686323395203
splus16,512,3,17.8101,18445980686323395203
btree8_bl,512,3,21.7667,18445980686323395203
spline8,512,3,20.7703,18445980686323395203
spline16,512,4,23.0133,18445980686323395203
sorted_array,512,4,14.3997,18445980686323395203
splus8,512,4,15.8234,18445980686323395203
splus16,512,4,17.8299,18445980686323395203
btree8_bl,512,4,21.7377,18445980686323395203
spline32,512,4,26.0773,18445980686323395203
spline8,512,4,20.7245,18445980686323395203
radixjump,512,4,9.2560,18445980686323395203
splus8,512,5,16.0370,18445980686323395203
splus16,512,5,17.8589,18445980686323395203
sorted_array,512,5,15.8173,18445980686323395203
spline32,512,5,26.3474,18445980686323395203
spline16,512,5,23.1339,18445980686323395203
spline8,512,5,20.7428,18445980686323395203
radixjump,512,5,9.2621,18445980686323395203
btree8_bl,512,5,21.7316,18445980686323395203
sorted_array,512,6,14.4241,18445980686323395203
btree8_bl,512,6,21.8796,18445980686323395203
spline8,512,6,20.7336,18445980686323395203
spline16,512,6,22.3190,18445980686323395203
spline32,512,6,26.0239,18445980686323395203
radixjump,512,6,9.2422,18445980686323395203
splus8,512,6,15.8295,18445980686323395203
splus16,512,6,17.8391,18445980686323395203
radixjump,1024,0,9.3140,13330139387826418850
splus8,1024,0,20.7184,13330139387826418850
spline16,1024,0,22.2977,13330139387826418850
splus16,1024,0,17.8146,13330139387826418850
spline32,1024,0,26.3092,13330139387826418850
spline8,1024,0,20.8298,13330139387826418850
btree8_bl,1024,0,28.9719,13330139387826418850
sorted_array,1024,0,15.7883,13330139387826418850
spline8,1024,1,20.7733,13330139387826418850
splus16,1024,1,18.1824,13330139387826418850
spline16,1024,1,22.1771,13330139387826418850
radixjump,1024,1,9.4391,13330139387826418850
btree8_bl,1024,1,27.6428,13330139387826418850
splus8,1024,1,20.8038,13330139387826418850
spline32,1024,1,26.1856,13330139387826418850
sorted_array,1024,1,15.8005,13330139387826418850
splus8,1024,2,20.7870,13330139387826418850
radixjump,1024,2,9.3002,13330139387826418850
sorted_array,1024,2,15.7898,13330139387826418850
splus16,1024,2,17.8665,13330139387826418850
spline8,1024,2,20.8145,13330139387826418850
btree8_bl,1024,2,28.2303,13330139387826418850
spline32,1024,2,26.1887,13330139387826418850
spline16,1024,2,22.2443,13330139387826418850
radixjump,1024,3,9.3155,13330139387826418850
splus16,1024,3,17.8284,13330139387826418850
spline16,1024,3,22.2977,13330139387826418850
btree8_bl,1024,3,27.6260,13330139387826418850
sorted_array,1024,3,15.8997,13330139387826418850
splus8,1024,3,21.7575,13330139387826418850
spline32,1024,3,26.1612,13330139387826418850
spline8,1024,3,20.7687,13330139387826418850
sorted_array,1024,4,15.8508,13330139387826418850
splus8,1024,4,21.0663,13330139387826418850
spline16,1024,4,22.1863,13330139387826418850
btree8_bl,1024,4,27.5436,13330139387826418850
spline8,1024,4,20.8633,13330139387826418850
splus16,1024,4,17.8543,13330139387826418850
radixjump,1024,4,9.3323,13330139387826418850
spline32,1024,4,26.1566,13330139387826418850
radixjump,1024,5,9.4147,13330139387826418850
btree8_bl,1024,5,27.3972,13330139387826418850
spline16,1024,5,22.4564,13330139387826418850
splus16,1024,5,17.8299,13330139387826418850
splus8,1024,5,20.8405,13330139387826418850
spline32,1024,5,26.8921,13330139387826418850
sorted_array,1024,5,15.7898,13330139387826418850
spline8,1024,5,20.8221,13330139387826418850
spline16,1024,6,22.2427,13330139387826418850
btree8_bl,1024,6,27.5208,13330139387826418850
sorted_array,1024,6,15.7990,13330139387826418850
spline32,1024,6,27.3483,13330139387826418850
splus16,1024,6,17.8253,13330139387826418850
spline8,1024,6,20.8054,13330139387826418850
splus8,1024,6,20.7397,13330139387826418850
radixjump,1024,6,9.2880,13330139387826418850
radixjump,2048,0,9.3140,8649855807846794996
btree8_bl,2048,0,29.5135,8649855807846794996
spline8,2048,0,26.0254,8649855807846794996
spline32,2048,0,25.0839,8649855807846794996
splus16,2048,0,18.0374,8649855807846794996
splus8,2048,0,20.9427,8649855807846794996
sorted_array,2048,0,17.4423,8649855807846794996
spline16,2048,0,22.3877,8649855807846794996
spline32,2048,1,24.7925,8649855807846794996
splus8,2048,1,21.1548,8649855807846794996
radixjump,2048,1,9.9533,8649855807846794996
spline16,2048,1,22.2260,8649855807846794996
sorted_array,2048,1,17.2974,8649855807846794996
splus16,2048,1,17.9672,8649855807846794996
spline8,2048,1,26.0300,8649855807846794996
btree8_bl,2048,1,31.0440,8649855807846794996
splus8,2048,2,20.7336,8649855807846794996
splus16,2048,2,17.9947,8649855807846794996
sorted_array,2048,2,17.3950,8649855807846794996
spline8,2048,2,25.9338,8649855807846794996
radixjump,2048,2,9.4772,8649855807846794996
spline16,2048,2,22.2336,8649855807846794996
spline32,2048,2,24.6826,8649855807846794996
btree8_bl,2048,2,29.4647,8649855807846794996
radixjump,2048,3,9.6176,8649855807846794996
splus16,2048,3,17.8360,8649855807846794996
sorted_array,2048,3,17.5568,8649855807846794996
btree8_bl,2048,3,29.4907,8649855807846794996
spline8,2048,3,26.0086,8649855807846794996
spline16,2048,3,22.1649,8649855807846794996
spline32,2048,3,24.8322,8649855807846794996
splus8,2048,3,21.7651,8649855807846794996
spline8,2048,4,25.9186,8649855807846794996
splus16,2048,4,17.9092,8649855807846794996
radixjump,2048,4,9.4238,8649855807846794996
sorted_array,2048,4,17.2729,8649855807846794996
btree8_bl,2048,4,30.0873,8649855807846794996
spline32,2048,4,26.2466,8649855807846794996
splus8,2048,4,20.8740,8649855807846794996
spline16,2048,4,22.3633,8649855807846794996
spline16,2048,5,22.1878,8649855807846794996
radixjump,2048,5,9.2911,8649855807846794996
