structure,n,rep,ns_per_query,checksum
splus8,256,0,15.9088,5064551166254988928
splus16,256,0,12.7914,5064551166254988928
clusterjump,256,0,16.2292,5064551166254988928
splus8,256,1,16.4841,5064551166254988928
splus16,256,1,12.7991,5064551166254988928
clusterjump,256,1,16.2552,5064551166254988928
splus16,256,2,12.9456,5064551166254988928
clusterjump,256,2,16.3818,5064551166254988928
splus8,256,2,15.9500,5064551166254988928
splus8,256,3,15.9241,5064551166254988928
splus16,256,3,12.8143,5064551166254988928
clusterjump,256,3,16.1362,5064551166254988928
splus16,256,4,12.8464,5064551166254988928
clusterjump,256,4,16.1591,5064551166254988928
splus8,256,4,15.9470,5064551166254988928
splus8,256,5,15.9271,5064551166254988928
splus16,256,5,12.8693,5064551166254988928
clusterjump,256,5,18.1046,5064551166254988928
splus16,256,6,13.3942,5064551166254988928
clusterjump,256,6,16.1255,5064551166254988928
splus8,256,6,15.9439,5064551166254988928
splus8,512,0,15.8890,6715038820249311008
clusterjump,512,0,15.8279,6715038820249311008
splus16,512,0,17.9398,6715038820249311008
splus16,512,1,17.8360,6715038820249311008
clusterjump,512,1,15.8569,6715038820249311008
splus8,512,1,15.8936,6715038820249311008
splus8,512,2,15.8508,6715038820249311008
clusterjump,512,2,15.7578,6715038820249311008
splus16,512,2,17.8680,6715038820249311008
splus16,512,3,17.9306,6715038820249311008
clusterjump,512,3,15.8096,6715038820249311008
splus8,512,3,16.2354,6715038820249311008
splus16,512,4,17.8040,6715038820249311008
clusterjump,512,4,15.7959,6715038820249311008
splus8,512,4,15.8691,6715038820249311008
splus16,512,5,17.8497,6715038820249311008
clusterjump,512,5,15.7303,6715038820249311008
splus8,512,5,15.9058,6715038820249311008
clusterjump,512,6,15.7425,6715038820249311008
splus16,512,6,17.8329,6715038820249311008
splus8,512,6,15.8463,6715038820249311008
clusterjump,1024,0,16.4764,17055779026972941542
splus16,1024,0,18.5104,17055779026972941542
splus8,1024,0,20.7047,17055779026972941542
clusterjump,1024,1,16.4963,17055779026972941542
splus16,1024,1,17.8513,17055779026972941542
splus8,1024,1,20.8008,17055779026972941542
clusterjump,1024,2,16.3010,17055779026972941542
splus8,1024,2,20.7367,17055779026972941542
splus16,1024,2,17.8543,17055779026972941542
splus8,1024,3,20.8649,17055779026972941542
clusterjump,1024,3,16.3300,17055779026972941542
splus16,1024,3,17.8848,17055779026972941542
splus16,1024,4,17.8757,17055779026972941542
clusterjump,1024,4,16.2933,17055779026972941542
splus8,1024,4,20.6818,17055779026972941542
splus8,1024,5,20.6772,17055779026972941542
splus16,1024,5,18.5455,17055779026972941542
clusterjump,1024,5,16.4062,17055779026972941542
splus8,1024,6,20.7275,17055779026972941542
clusterjump,1024,6,16.3330,17055779026972941542
splus16,1024,6,17.8589,17055779026972941542
splus8,2048,0,20.7443,2320521615698987196
splus16,2048,0,17.8360,2320521615698987196
clusterjump,2048,0,16.2201,2320521615698987196
splus8,2048,1,21.9284,2320521615698987196
splus16,2048,1,17.9245,2320521615698987196
clusterjump,2048,1,16.0995,2320521615698987196
clusterjump,2048,2,16.1087,2320521615698987196
splus8,2048,2,21.1349,2320521615698987196
splus16,2048,2,17.7902,2320521615698987196
splus16,2048,3,17.9962,2320521615698987196
clusterjump,2048,3,16.0980,2320521615698987196
splus8,2048,3,20.8939,2320521615698987196
clusterjump,2048,4,16.0706,2320521615698987196
splus8,2048,4,20.6924,2320521615698987196
splus16,2048,4,17.8101,2320521615698987196
splus16,2048,5,17.8192,2320521615698987196
clusterjump,2048,5,16.1697,2320521615698987196
splus8,2048,5,20.8206,2320521615698987196
clusterjump,2048,6,16.0934,2320521615698987196
splus16,2048,6,17.9031,2320521615698987196
splus8,2048,6,21.0815,2320521615698987196
splus16,4096,0,17.9520,6860285577546149224
clusterjump,4096,0,17.0105,6860285577546149224
splus8,4096,0,20.8542,6860285577546149224
