structure,n,rep,ns_per_query,checksum
splus8,256,0,16.0080,3802318259966007189
splus16,256,0,12.7594,3802318259966007189
clusterjump,256,0,12.9288,3802318259966007189
splus8,256,1,15.9500,3802318259966007189
splus16,256,1,12.7579,3802318259966007189
clusterjump,256,1,12.9517,3802318259966007189
splus16,256,2,12.7563,3802318259966007189
clusterjump,256,2,12.9440,3802318259966007189
splus8,256,2,17.0135,3802318259966007189
splus8,256,3,15.9470,3802318259966007189
splus16,256,3,12.7563,3802318259966007189
clusterjump,256,3,12.8815,3802318259966007189
splus16,256,4,12.7579,3802318259966007189
clusterjump,256,4,12.8662,3802318259966007189
splus8,256,4,15.9943,3802318259966007189
splus8,256,5,15.9332,3802318259966007189
splus16,256,5,12.7625,3802318259966007189
clusterjump,256,5,12.9150,3802318259966007189
splus16,256,6,12.7762,3802318259966007189
clusterjump,256,6,12.8540,3802318259966007189
splus8,256,6,15.8966,3802318259966007189
splus8,512,0,15.8585,18445980686323395203
clusterjump,512,0,12.5229,18445980686323395203
splus16,512,0,17.8299,18445980686323395203
splus16,512,1,17.7795,18445980686323395203
clusterjump,512,1,12.5656,18445980686323395203
splus8,512,1,15.7761,18445980686323395203
splus8,512,2,15.8569,18445980686323395203
clusterjump,512,2,12.5580,18445980686323395203
splus16,512,2,17.8864,18445980686323395203
splus16,512,3,17.7902,18445980686323395203
clusterjump,512,3,12.5504,18445980686323395203
splus8,512,3,15.7806,18445980686323395203
splus16,512,4,17.9276,18445980686323395203
clusterjump,512,4,12.5229,18445980686323395203
splus8,512,4,15.8493,18445980686323395203
splus16,512,5,17.8024,18445980686323395203
clusterjump,512,5,12.5305,18445980686323395203
splus8,512,5,17.0700,18445980686323395203
clusterjump,512,6,12.4969,18445980686323395203
splus16,512,6,17.8528,18445980686323395203
splus8,512,6,15.8340,18445980686323395203
clusterjump,1024,0,13.1424,13330139387826418850
splus16,1024,0,17.8558,13330139387826418850
splus8,1024,0,20.7321,13330139387826418850
clusterjump,1024,1,13.1683,13330139387826418850
splus16,1024,1,17.8238,13330139387826418850
splus8,1024,1,20.6924,13330139387826418850
clusterjump,1024,2,13.1744,13330139387826418850
splus8,1024,2,20.7275,13330139387826418850
splus16,1024,2,17.8162,13330139387826418850
splus8,1024,3,20.7458,13330139387826418850
clusterjump,1024,3,13.1531,13330139387826418850
splus16,1024,3,17.8268,13330139387826418850
splus16,1024,4,17.8162,13330139387826418850
clusterjump,1024,4,13.1012,13330139387826418850
splus8,1024,4,20.7565,13330139387826418850
splus8,1024,5,20.7901,13330139387826418850
splus16,1024,5,17.8528,13330139387826418850
clusterjump,1024,5,13.1424,13330139387826418850
splus8,1024,6,20.7413,13330139387826418850
clusterjump,1024,6,13.0783,13330139387826418850
splus16,1024,6,17.8406,13330139387826418850
splus8,2048,0,21.2173,8649855807846794996
splus16,2048,0,17.8207,8649855807846794996
clusterjump,2048,0,12.9303,8649855807846794996
splus8,2048,1,20.7550,8649855807846794996
splus16,2048,1,17.8268,8649855807846794996
clusterjump,2048,1,12.9181,8649855807846794996
clusterjump,2048,2,12.9181,8649855807846794996
splus8,2048,2,20.7047,8649855807846794996
splus16,2048,2,17.8101,8649855807846794996
splus16,2048,3,17.8101,8649855807846794996
clusterjump,2048,3,12.8738,8649855807846794996
splus8,2048,3,20.7565,8649855807846794996
clusterjump,2048,4,12.8784,8649855807846794996
splus8,2048,4,20.8038,8649855807846794996
splus16,2048,4,17.8329,8649855807846794996
splus16,2048,5,17.7811,8649855807846794996
clusterjump,2048,5,12.9150,8649855807846794996
splus8,2048,5,20.7153,8649855807846794996
clusterjump,2048,6,12.9181,8649855807846794996
splus16,2048,6,17.7856,8649855807846794996
splus8,2048,6,20.7382,8649855807846794996
splus16,4096,0,17.8986,201817674810245547
clusterjump,4096,0,12.9929,201817674810245547
splus8,4096,0,20.8832,201817674810245547
splus16,4096,1,17.8665,201817674810245547
splus8,4096,1,20.8755,201817674810245547
clusterjump,4096,1,13.0478,201817674810245547
clusterjump,4096,2,12.9593,201817674810245547
splus8,4096,2,20.8649,201817674810245547
splus16,4096,2,17.8665,201817674810245547
splus16,4096,3,18.9301,201817674810245547
splus8,4096,3,20.8603,201817674810245547
clusterjump,4096,3,12.9593,201817674810245547
splus16,4096,4,17.9001,201817674810245547
clusterjump,4096,4,12.9517,201817674810245547
splus8,4096,4,20.8710,201817674810245547
splus16,4096,5,17.9352,201817674810245547
clusterjump,4096,5,12.9517,201817674810245547
splus8,4096,5,20.8771,201817674810245547
splus16,4096,6,17.9047,201817674810245547
clusterjump,4096,6,12.9410,201817674810245547
splus8,4096,6,20.8618,201817674810245547
clusterjump,8192,0,13.4949,14779494332775015852
splus16,8192,0,23.7198,14779494332775015852
splus8,8192,0,25.4700,14779494332775015852
clusterjump,8192,1,13.5773,14779494332775015852
splus16,8192,1,23.6801,14779494332775015852
splus8,8192,1,25.3738,14779494332775015852
clusterjump,8192,2,13.5773,14779494332775015852
splus16,8192,2,24.3225,14779494332775015852
splus8,8192,2,25.4608,14779494332775015852
clusterjump,8192,3,13.5315,14779494332775015852
splus8,8192,3,25.4913,14779494332775015852
splus16,8192,3,23.7930,14779494332775015852
splus16,8192,4,23.6923,14779494332775015852
clusterjump,8192,4,13.5559,14779494332775015852
splus8,8192,4,25.4257,14779494332775015852
splus8,8192,5,25.4150,14779494332775015852
clusterjump,8192,5,13.4903,14779494332775015852
splus16,8192,5,23.8174,14779494332775015852
splus8,8192,6,25.4944,14779494332775015852
splus16,8192,6,23.7823,14779494332775015852
clusterjump,8192,6,13.4857,14779494332775015852
splus8,16384,0,26.3504,5257893481483210933
clusterjump,16384,0,14.4638,5257893481483210933
splus16,16384,0,24.1837,5257893481483210933
splus8,16384,1,26.3962,5257893481483210933
clusterjump,16384,1,14.6729,5257893481483210933
splus16,16384,1,24.5453,5257893481483210933
clusterjump,16384,2,14.6896,5257893481483210933
splus8,16384,2,26.5305,5257893481483210933
splus16,16384,2,24.3622,5257893481483210933
splus8,16384,3,26.4145,5257893481483210933
clusterjump,16384,3,14.5584,5257893481483210933
splus16,16384,3,24.2508,5257893481483210933
clusterjump,16384,4,14.4287,5257893481483210933
splus16,16384,4,24.2310,5257893481483210933
splus8,16384,4,26.4572,5257893481483210933
clusterjump,16384,5,14.4348,5257893481483210933
splus8,16384,5,26.2100,5257893481483210933
splus16,16384,5,24.3164,5257893481483210933
splus8,16384,6,26.1154,5257893481483210933
clusterjump,16384,6,14.4714,5257893481483210933
splus16,16384,6,24.4186,5257893481483210933
clusterjump,32768,0,16.1987,8916881238133207675
splus8,32768,0,28.0045,8916881238133207675
splus16,32768,0,25.4257,8916881238133207675
clusterjump,32768,1,16.1850,8916881238133207675
splus16,32768,1,26.7029,8916881238133207675
splus8,32768,1,27.8442,8916881238133207675
clusterjump,32768,2,16.2613,8916881238133207675
splus8,32768,2,27.5879,8916881238133207675
splus16,32768,2,25.4150,8916881238133207675
clusterjump,32768,3,16.2048,8916881238133207675
splus8,32768,3,27.7344,8916881238133207675
splus16,32768,3,25.4333,8916881238133207675
splus8,32768,4,27.5467,8916881238133207675
splus16,32768,4,25.4044,8916881238133207675
clusterjump,32768,4,16.2231,8916881238133207675
splus8,32768,5,27.9480,8916881238133207675
clusterjump,32768,5,16.1697,8916881238133207675
splus16,32768,5,25.4440,8916881238133207675
splus8,32768,6,27.7924,8916881238133207675
splus16,32768,6,25.4181,8916881238133207675
clusterjump,32768,6,16.1636,8916881238133207675
splus8,65536,0,34.3842,13538052259203909017
clusterjump,65536,0,18.6111,13538052259203909017
splus16,65536,0,27.9572,13538052259203909017
splus16,65536,1,26.9226,13538052259203909017
clusterjump,65536,1,18.7256,13538052259203909017
splus8,65536,1,34.9701,13538052259203909017
clusterjump,65536,2,18.5959,13538052259203909017
splus8,65536,2,34.4009,13538052259203909017
splus16,65536,2,27.0767,13538052259203909017
splus8,65536,3,34.4086,13538052259203909017
clusterjump,65536,3,18.6600,13538052259203909017
splus16,65536,3,26.9836,13538052259203909017
