structure,n,rep,ns_per_query,checksum
splus8,256,0,3.1448,5064551166254988928
splus16,256,0,3.1082,5064551166254988928
clusterjump,256,0,8.9569,5064551166254988928
splus8,256,1,3.1509,5064551166254988928
splus16,256,1,3.0487,5064551166254988928
clusterjump,256,1,8.9279,5064551166254988928
splus16,256,2,3.0731,5064551166254988928
clusterjump,256,2,8.9325,5064551166254988928
splus8,256,2,3.1570,5064551166254988928
splus8,256,3,3.1494,5064551166254988928
splus16,256,3,3.0411,5064551166254988928
clusterjump,256,3,8.9462,5064551166254988928
splus16,256,4,3.0655,5064551166254988928
clusterjump,256,4,8.9020,5064551166254988928
splus8,256,4,3.1525,5064551166254988928
splus8,256,5,3.1494,5064551166254988928
splus16,256,5,3.0334,5064551166254988928
clusterjump,256,5,8.8425,5064551166254988928
splus16,256,6,3.0640,5064551166254988928
clusterjump,256,6,8.8287,5064551166254988928
splus8,256,6,3.1479,5064551166254988928
splus8,512,0,3.0838,6715038820249311008
clusterjump,512,0,8.0566,6715038820249311008
splus16,512,0,4.8706,6715038820249311008
splus16,512,1,4.8660,6715038820249311008
clusterjump,512,1,7.9391,6715038820249311008
splus8,512,1,3.0838,6715038820249311008
splus8,512,2,3.0838,6715038820249311008
clusterjump,512,2,7.8690,6715038820249311008
splus16,512,2,4.8737,6715038820249311008
splus16,512,3,4.8889,6715038820249311008
clusterjump,512,3,7.4890,6715038820249311008
splus8,512,3,3.0746,6715038820249311008
splus16,512,4,4.8523,6715038820249311008
clusterjump,512,4,7.4738,6715038820249311008
splus8,512,4,3.0762,6715038820249311008
splus16,512,5,4.8828,6715038820249311008
clusterjump,512,5,7.8400,6715038820249311008
splus8,512,5,3.0762,6715038820249311008
clusterjump,512,6,7.8079,6715038820249311008
splus16,512,6,4.8553,6715038820249311008
splus8,512,6,3.0762,6715038820249311008
clusterjump,1024,0,8.1268,17055779026972941542
splus16,1024,0,4.8416,17055779026972941542
splus8,1024,0,4.1840,17055779026972941542
clusterjump,1024,1,8.0887,17055779026972941542
splus16,1024,1,4.8050,17055779026972941542
splus8,1024,1,4.1901,17055779026972941542
clusterjump,1024,2,8.0612,17055779026972941542
splus8,1024,2,4.2313,17055779026972941542
splus16,1024,2,4.7943,17055779026972941542
splus8,1024,3,4.1824,17055779026972941542
clusterjump,1024,3,8.0322,17055779026972941542
splus16,1024,3,4.7943,17055779026972941542
splus16,1024,4,4.8096,17055779026972941542
clusterjump,1024,4,7.9514,17055779026972941542
splus8,1024,4,4.1840,17055779026972941542
splus8,1024,5,4.2023,17055779026972941542
splus16,1024,5,4.7989,17055779026972941542
clusterjump,1024,5,8.0429,17055779026972941542
splus8,1024,6,4.1916,17055779026972941542
clusterjump,1024,6,7.9681,17055779026972941542
splus16,1024,6,4.7989,17055779026972941542
splus8,2048,0,4.2587,2320521615698987196
splus16,2048,0,4.8660,2320521615698987196
clusterjump,2048,0,6.6544,2320521615698987196
splus8,2048,1,4.2267,2320521615698987196
splus16,2048,1,4.8615,2320521615698987196
clusterjump,2048,1,6.4865,2320521615698987196
clusterjump,2048,2,6.4560,2320521615698987196
splus8,2048,2,4.1992,2320521615698987196
splus16,2048,2,4.8660,2320521615698987196
splus16,2048,3,4.8477,2320521615698987196
clusterjump,2048,3,6.4667,2320521615698987196
splus8,2048,3,4.2694,2320521615698987196
clusterjump,2048,4,6.4514,2320521615698987196
splus8,2048,4,4.2038,2320521615698987196
splus16,2048,4,4.8706,2320521615698987196
splus16,2048,5,4.8615,2320521615698987196
clusterjump,2048,5,6.1539,2320521615698987196
splus8,2048,5,4.1931,2320521615698987196
clusterjump,2048,6,6.1691,2320521615698987196
splus16,2048,6,4.8615,2320521615698987196
splus8,2048,6,4.3045,2320521615698987196
splus16,4096,0,4.8340,6860285577546149224
clusterjump,4096,0,7.0419,6860285577546149224
splus8,4096,0,4.2313,6860285577546149224
splus16,4096,1,4.8279,6860285577546149224
splus8,4096,1,4.2191,6860285577546149224
clusterjump,4096,1,7.0709,6860285577546149224
clusterjump,4096,2,7.0877,6860285577546149224
splus8,4096,2,4.2206,6860285577546149224
splus16,4096,2,4.8233,6860285577546149224
splus16,4096,3,4.9179,6860285577546149224
splus8,4096,3,4.2099,6860285577546149224
