structure,n,rep,ns_per_query,checksum
splus8,256,0,3.2990,3802318259966007189
splus16,256,0,3.0548,3802318259966007189
clusterjump,256,0,4.0558,3802318259966007189
splus8,256,1,3.1952,3802318259966007189
splus16,256,1,3.0731,3802318259966007189
clusterjump,256,1,3.9398,3802318259966007189
splus16,256,2,3.0548,3802318259966007189
clusterjump,256,2,3.9932,3802318259966007189
splus8,256,2,3.1784,3802318259966007189
splus8,256,3,3.2410,3802318259966007189
splus16,256,3,3.0579,3802318259966007189
clusterjump,256,3,3.9230,3802318259966007189
splus16,256,4,3.0457,3802318259966007189
clusterjump,256,4,3.9154,3802318259966007189
splus8,256,4,3.1784,3802318259966007189
splus8,256,5,3.3371,3802318259966007189
splus16,256,5,3.0502,3802318259966007189
clusterjump,256,5,3.9337,3802318259966007189
splus16,256,6,3.0426,3802318259966007189
clusterjump,256,6,3.8925,3802318259966007189
splus8,256,6,3.1815,3802318259966007189
splus8,512,0,3.0579,18445980686323395203
clusterjump,512,0,3.3035,18445980686323395203
splus16,512,0,4.8233,18445980686323395203
splus16,512,1,4.8340,18445980686323395203
clusterjump,512,1,3.3508,18445980686323395203
splus8,512,1,3.0350,18445980686323395203
splus8,512,2,3.0228,18445980686323395203
clusterjump,512,2,3.3951,18445980686323395203
splus16,512,2,4.8096,18445980686323395203
splus16,512,3,4.8157,18445980686323395203
clusterjump,512,3,3.3127,18445980686323395203
splus8,512,3,3.0365,18445980686323395203
splus16,512,4,4.8035,18445980686323395203
clusterjump,512,4,3.2394,18445980686323395203
splus8,512,4,3.0289,18445980686323395203
splus16,512,5,4.8553,18445980686323395203
clusterjump,512,5,3.2883,18445980686323395203
splus8,512,5,3.0197,18445980686323395203
clusterjump,512,6,3.2806,18445980686323395203
splus16,512,6,4.8126,18445980686323395203
splus8,512,6,3.0197,18445980686323395203
clusterjump,1024,0,4.1504,13330139387826418850
splus16,1024,0,4.8019,13330139387826418850
splus8,1024,0,4.2175,13330139387826418850
clusterjump,1024,1,4.2084,13330139387826418850
splus16,1024,1,4.8111,13330139387826418850
splus8,1024,1,4.2114,13330139387826418850
clusterjump,1024,2,4.1885,13330139387826418850
splus8,1024,2,4.1901,13330139387826418850
splus16,1024,2,4.7989,13330139387826418850
splus8,1024,3,4.2267,13330139387826418850
clusterjump,1024,3,4.0710,13330139387826418850
splus16,1024,3,4.8065,13330139387826418850
splus16,1024,4,4.7989,13330139387826418850
clusterjump,1024,4,4.0375,13330139387826418850
splus8,1024,4,4.2038,13330139387826418850
splus8,1024,5,4.1962,13330139387826418850
splus16,1024,5,4.8248,13330139387826418850
clusterjump,1024,5,4.0054,13330139387826418850
splus8,1024,6,4.2145,13330139387826418850
clusterjump,1024,6,4.0665,13330139387826418850
splus16,1024,6,4.7989,13330139387826418850
splus8,2048,0,4.2252,8649855807846794996
splus16,2048,0,4.7943,8649855807846794996
clusterjump,2048,0,3.9337,8649855807846794996
splus8,2048,1,4.2480,8649855807846794996
splus16,2048,1,4.8004,8649855807846794996
clusterjump,2048,1,3.9474,8649855807846794996
clusterjump,2048,2,3.9124,8649855807846794996
splus8,2048,2,4.2007,8649855807846794996
splus16,2048,2,4.7989,8649855807846794996
splus16,2048,3,4.7974,8649855807846794996
clusterjump,2048,3,3.9062,8649855807846794996
splus8,2048,3,4.1962,8649855807846794996
clusterjump,2048,4,3.8773,8649855807846794996
splus8,2048,4,4.2084,8649855807846794996
splus16,2048,4,4.8065,8649855807846794996
splus16,2048,5,4.7897,8649855807846794996
clusterjump,2048,5,3.8879,8649855807846794996
splus8,2048,5,4.2206,8649855807846794996
clusterjump,2048,6,3.8437,8649855807846794996
splus16,2048,6,4.8141,8649855807846794996
splus8,2048,6,4.2130,8649855807846794996
splus16,4096,0,4.8386,201817674810245547
clusterjump,4096,0,3.9154,201817674810245547
splus8,4096,0,4.2374,201817674810245547
splus16,4096,1,4.8279,201817674810245547
splus8,4096,1,4.2587,201817674810245547
clusterjump,4096,1,3.8773,201817674810245547
clusterjump,4096,2,3.8834,201817674810245547
splus8,4096,2,4.2450,201817674810245547
splus16,4096,2,4.8386,201817674810245547
splus16,4096,3,4.8080,201817674810245547
splus8,4096,3,4.2435,201817674810245547
clusterjump,4096,3,3.9078,201817674810245547
splus16,4096,4,4.8431,201817674810245547
clusterjump,4096,4,3.8239,201817674810245547
splus8,4096,4,4.2328,201817674810245547
splus16,4096,5,4.8386,201817674810245547
clusterjump,4096,5,3.8010,201817674810245547
splus8,4096,5,4.2664,201817674810245547
splus16,4096,6,4.8080,201817674810245547
clusterjump,4096,6,3.7842,201817674810245547
splus8,4096,6,4.2252,201817674810245547
clusterjump,8192,0,3.8483,14779494332775015852
splus16,8192,0,7.1381,14779494332775015852
splus8,8192,0,6.0257,14779494332775015852
clusterjump,8192,1,3.8498,14779494332775015852
splus16,8192,1,7.1793,14779494332775015852
splus8,8192,1,5.9814,14779494332775015852
clusterjump,8192,2,3.8101,14779494332775015852
splus16,8192,2,7.1518,14779494332775015852
splus8,8192,2,6.2012,14779494332775015852
clusterjump,8192,3,3.8239,14779494332775015852
splus8,8192,3,6.0165,14779494332775015852
splus16,8192,3,7.1869,14779494332775015852
splus16,8192,4,7.2021,14779494332775015852
clusterjump,8192,4,3.7872,14779494332775015852
splus8,8192,4,6.0287,14779494332775015852
splus8,8192,5,5.9601,14779494332775015852
clusterjump,8192,5,3.7796,14779494332775015852
splus16,8192,5,7.1777,14779494332775015852
splus8,8192,6,6.0272,14779494332775015852
splus16,8192,6,7.1533,14779494332775015852
clusterjump,8192,6,3.7552,14779494332775015852
splus8,16384,0,6.0822,5257893481483210933
clusterjump,16384,0,4.1107,5257893481483210933
splus16,16384,0,7.2952,5257893481483210933
splus8,16384,1,6.0593,5257893481483210933
clusterjump,16384,1,4.0848,5257893481483210933
splus16,16384,1,7.2784,5257893481483210933
clusterjump,16384,2,4.0909,5257893481483210933
splus8,16384,2,6.0699,5257893481483210933
splus16,16384,2,7.2830,5257893481483210933
splus8,16384,3,6.0638,5257893481483210933
clusterjump,16384,3,4.0237,5257893481483210933
splus16,16384,3,7.3135,5257893481483210933
clusterjump,16384,4,4.0009,5257893481483210933
