structure,n,rep,ns_per_query,checksum
spline16,256,0,6.9077,5064551166254988928
radixjump,256,0,4.7302,5064551166254988928
splus16,256,0,3.0518,5064551166254988928
spline8,256,0,5.2795,5064551166254988928
btree8_bl,256,0,13.0325,5064551166254988928
splus8,256,0,3.1586,5064551166254988928
sorted_array,256,0,4.8523,5064551166254988928
spline32,256,0,14.0686,5064551166254988928
splus8,256,1,3.1540,5064551166254988928
btree8_bl,256,1,12.9089,5064551166254988928
radixjump,256,1,4.6890,5064551166254988928
splus16,256,1,3.0411,5064551166254988928
spline16,256,1,6.9046,5064551166254988928
sorted_array,256,1,4.4342,5064551166254988928
spline32,256,1,15.3152,5064551166254988928
spline8,256,1,5.4260,5064551166254988928
splus8,256,2,3.1479,5064551166254988928
radixjump,256,2,4.8355,5064551166254988928
spline16,256,2,7.0419,5064551166254988928
btree8_bl,256,2,12.9044,5064551166254988928
splus16,256,2,3.0350,5064551166254988928
spline8,256,2,5.2780,5064551166254988928
spline32,256,2,13.9481,5064551166254988928
sorted_array,256,2,4.4998,5064551166254988928
splus8,256,3,3.1494,5064551166254988928
spline8,256,3,5.2887,5064551166254988928
radixjump,256,3,4.6478,5064551166254988928
sorted_array,256,3,4.4373,5064551166254988928
spline16,256,3,6.9092,5064551166254988928
btree8_bl,256,3,12.7930,5064551166254988928
spline32,256,3,14.1205,5064551166254988928
splus16,256,3,3.0411,5064551166254988928
splus16,256,4,3.1799,5064551166254988928
spline32,256,4,13.7161,5064551166254988928
spline8,256,4,5.2719,5064551166254988928
spline16,256,4,6.9031,5064551166254988928
splus8,256,4,3.1357,5064551166254988928
radixjump,256,4,4.8691,5064551166254988928
btree8_bl,256,4,12.8647,5064551166254988928
sorted_array,256,4,4.4357,5064551166254988928
btree8_bl,256,5,12.7884,5064551166254988928
sorted_array,256,5,4.4403,5064551166254988928
spline16,256,5,6.9061,5064551166254988928
spline8,256,5,5.2750,5064551166254988928
radixjump,256,5,4.6616,5064551166254988928
splus8,256,5,3.1479,5064551166254988928
splus16,256,5,3.0396,5064551166254988928
spline32,256,5,13.7772,5064551166254988928
radixjump,256,6,4.7867,5064551166254988928
btree8_bl,256,6,12.8632,5064551166254988928
splus16,256,6,3.0273,5064551166254988928
splus8,256,6,3.1403,5064551166254988928
spline16,256,6,6.9046,5064551166254988928
spline8,256,6,5.2628,5064551166254988928
spline32,256,6,14.4043,5064551166254988928
sorted_array,256,6,4.4388,5064551166254988928
btree8_bl,512,0,9.1797,6715038820249311008
spline8,512,0,7.8278,6715038820249311008
splus8,512,0,3.0716,6715038820249311008
spline32,512,0,11.6364,6715038820249311008
spline16,512,0,6.8893,6715038820249311008
splus16,512,0,4.8401,6715038820249311008
sorted_array,512,0,5.1620,6715038820249311008
radixjump,512,0,5.7571,6715038820249311008
