structure,n,rep,ns_per_query,checksum
spline16,256,0,10.7132,3802318259966007189
radixjump,256,0,1.5335,3802318259966007189
splus16,256,0,3.0746,3802318259966007189
spline8,256,0,5.2795,3802318259966007189
btree8_bl,256,0,13.5315,3802318259966007189
splus8,256,0,3.1937,3802318259966007189
sorted_array,256,0,4.4846,3802318259966007189
spline32,256,0,13.9923,3802318259966007189
splus8,256,1,3.2013,3802318259966007189
btree8_bl,256,1,13.3606,3802318259966007189
radixjump,256,1,1.5076,3802318259966007189
splus16,256,1,3.0701,3802318259966007189
spline16,256,1,10.7346,3802318259966007189
sorted_array,256,1,4.5059,3802318259966007189
spline32,256,1,13.9572,3802318259966007189
spline8,256,1,5.2811,3802318259966007189
splus8,256,2,3.1784,3802318259966007189
radixjump,256,2,1.4862,3802318259966007189
spline16,256,2,10.6964,3802318259966007189
btree8_bl,256,2,13.3209,3802318259966007189
splus16,256,2,3.0609,3802318259966007189
spline8,256,2,5.2719,3802318259966007189
spline32,256,2,14.0747,3802318259966007189
sorted_array,256,2,4.4632,3802318259966007189
splus8,256,3,3.1830,3802318259966007189
spline8,256,3,5.3238,3802318259966007189
radixjump,256,3,1.4877,3802318259966007189
sorted_array,256,3,4.4647,3802318259966007189
spline16,256,3,10.7010,3802318259966007189
btree8_bl,256,3,13.4949,3802318259966007189
spline32,256,3,14.0442,3802318259966007189
splus16,256,3,3.0594,3802318259966007189
splus16,256,4,3.1113,3802318259966007189
spline32,256,4,13.9221,3802318259966007189
spline8,256,4,5.3848,3802318259966007189
spline16,256,4,10.6689,3802318259966007189
splus8,256,4,3.1693,3802318259966007189
radixjump,256,4,1.4832,3802318259966007189
btree8_bl,256,4,13.2568,3802318259966007189
sorted_array,256,4,4.4708,3802318259966007189
btree8_bl,256,5,13.2797,3802318259966007189
sorted_array,256,5,4.4754,3802318259966007189
spline16,256,5,10.7040,3802318259966007189
spline8,256,5,5.2719,3802318259966007189
radixjump,256,5,1.4862,3802318259966007189
splus8,256,5,3.1769,3802318259966007189
splus16,256,5,3.1036,3802318259966007189
