structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0615,5064551166254988928
btree8_bl,256,0,21.8735,5064551166254988928
radixjump,256,0,12.0132,5064551166254988928
splus16,256,0,12.6785,5064551166254988928
splus8,256,0,15.9241,5064551166254988928
splus16,256,1,12.6831,5064551166254988928
radixjump,256,1,11.9614,5064551166254988928
splus8,256,1,15.9286,5064551166254988928
btree8_bl,256,1,21.7667,5064551166254988928
sorted_array,256,1,13.0539,5064551166254988928
sorted_array,256,2,13.8535,5064551166254988928
splus8,256,2,15.8905,5064551166254988928
splus16,256,2,12.6877,5064551166254988928
radixjump,256,2,11.9492,5064551166254988928
btree8_bl,256,2,21.8567,5064551166254988928
splus8,256,3,15.9409,5064551166254988928
btree8_bl,256,3,21.6217,5064551166254988928
sorted_array,256,3,13.0920,5064551166254988928
radixjump,256,3,11.9308,5064551166254988928
splus16,256,3,12.6816,5064551166254988928
splus16,256,4,12.6556,5064551166254988928
btree8_bl,256,4,21.6629,5064551166254988928
radixjump,256,4,11.9797,5064551166254988928
splus8,256,4,15.8859,5064551166254988928
sorted_array,256,4,13.1027,5064551166254988928
radixjump,256,5,11.9278,5064551166254988928
btree8_bl,256,5,21.6553,5064551166254988928
splus16,256,5,12.6389,5064551166254988928
splus8,256,5,15.9454,5064551166254988928
sorted_array,256,5,13.0539,5064551166254988928
radixjump,256,6,11.9812,5064551166254988928
splus8,256,6,15.8875,5064551166254988928
splus16,256,6,12.6923,5064551166254988928
btree8_bl,256,6,21.5912,5064551166254988928
sorted_array,256,6,13.0829,5064551166254988928
splus8,512,0,15.9393,6715038820249311008
btree8_bl,512,0,21.1945,6715038820249311008
sorted_array,512,0,14.4196,6715038820249311008
radixjump,512,0,12.8967,6715038820249311008
splus16,512,0,17.8436,6715038820249311008
splus8,512,1,15.9180,6715038820249311008
radixjump,512,1,13.9542,6715038820249311008
splus16,512,1,17.8131,6715038820249311008
sorted_array,512,1,14.3570,6715038820249311008
btree8_bl,512,1,21.1151,6715038820249311008
sorted_array,512,2,14.3585,6715038820249311008
radixjump,512,2,12.8983,6715038820249311008
splus8,512,2,15.9302,6715038820249311008
btree8_bl,512,2,21.0480,6715038820249311008
splus16,512,2,17.8040,6715038820249311008
sorted_array,512,3,14.3570,6715038820249311008
splus8,512,3,15.9088,6715038820249311008
splus16,512,3,17.7948,6715038820249311008
btree8_bl,512,3,21.0373,6715038820249311008
radixjump,512,3,12.9150,6715038820249311008
radixjump,512,4,12.8174,6715038820249311008
splus8,512,4,15.9271,6715038820249311008
splus16,512,4,17.7597,6715038820249311008
sorted_array,512,4,14.4073,6715038820249311008
btree8_bl,512,4,21.1655,6715038820249311008
btree8_bl,512,5,21.0815,6715038820249311008
sorted_array,512,5,14.3906,6715038820249311008
splus8,512,5,15.8981,6715038820249311008
radixjump,512,5,12.7930,6715038820249311008
splus16,512,5,17.8360,6715038820249311008
splus8,512,6,15.8890,6715038820249311008
radixjump,512,6,12.8281,6715038820249311008
splus16,512,6,17.7567,6715038820249311008
btree8_bl,512,6,21.8079,6715038820249311008
sorted_array,512,6,14.3570,6715038820249311008
btree8_bl,1024,0,27.4338,17055779026972941542
radixjump,1024,0,13.5834,17055779026972941542
sorted_array,1024,0,15.7516,17055779026972941542
splus16,1024,0,17.8329,17055779026972941542
splus8,1024,0,20.5078,17055779026972941542
sorted_array,1024,1,15.8020,17055779026972941542
radixjump,1024,1,13.5056,17055779026972941542
splus8,1024,1,20.5475,17055779026972941542
btree8_bl,1024,1,27.2842,17055779026972941542
splus16,1024,1,17.8055,17055779026972941542
sorted_array,1024,2,15.7578,17055779026972941542
splus8,1024,2,20.5521,17055779026972941542
radixjump,1024,2,13.4995,17055779026972941542
splus16,1024,2,17.7826,17055779026972941542
btree8_bl,1024,2,27.3117,17055779026972941542
sorted_array,1024,3,15.7883,17055779026972941542
btree8_bl,1024,3,27.2690,17055779026972941542
splus16,1024,3,17.8421,17055779026972941542
radixjump,1024,3,13.4933,17055779026972941542
splus8,1024,3,20.4956,17055779026972941542
sorted_array,1024,4,15.8142,17055779026972941542
splus8,1024,4,20.6635,17055779026972941542
splus16,1024,4,17.7490,17055779026972941542
radixjump,1024,4,13.4888,17055779026972941542
btree8_bl,1024,4,27.2644,17055779026972941542
radixjump,1024,5,13.4995,17055779026972941542
btree8_bl,1024,5,27.3041,17055779026972941542
splus8,1024,5,20.5627,17055779026972941542
sorted_array,1024,5,15.7730,17055779026972941542
splus16,1024,5,17.7750,17055779026972941542
splus8,1024,6,20.5139,17055779026972941542
splus16,1024,6,17.7429,17055779026972941542
radixjump,1024,6,13.5208,17055779026972941542
sorted_array,1024,6,15.7608,17055779026972941542
btree8_bl,1024,6,27.2552,17055779026972941542
sorted_array,2048,0,17.1646,2320521615698987196
splus8,2048,0,20.4453,2320521615698987196
btree8_bl,2048,0,29.3091,2320521615698987196
radixjump,2048,0,13.5056,2320521615698987196
splus16,2048,0,17.7780,2320521615698987196
splus8,2048,1,20.5780,2320521615698987196
radixjump,2048,1,13.4689,2320521615698987196
splus16,2048,1,17.7475,2320521615698987196
sorted_array,2048,1,17.3004,2320521615698987196
btree8_bl,2048,1,29.3030,2320521615698987196
radixjump,2048,2,13.3957,2320521615698987196
splus16,2048,2,17.8009,2320521615698987196
sorted_array,2048,2,17.2150,2320521615698987196
btree8_bl,2048,2,29.2511,2320521615698987196
splus8,2048,2,20.5276,2320521615698987196
btree8_bl,2048,3,29.1824,2320521615698987196
radixjump,2048,3,13.5025,2320521615698987196
splus8,2048,3,20.5490,2320521615698987196
splus16,2048,3,17.7490,2320521615698987196
sorted_array,2048,3,17.2012,2320521615698987196
btree8_bl,2048,4,29.2038,2320521615698987196
sorted_array,2048,4,17.2394,2320521615698987196
radixjump,2048,4,13.4018,2320521615698987196
splus16,2048,4,17.7917,2320521615698987196
splus8,2048,4,20.5246,2320521615698987196
btree8_bl,2048,5,29.2191,2320521615698987196
splus8,2048,5,20.5566,2320521615698987196
radixjump,2048,5,13.4598,2320521615698987196
sorted_array,2048,5,17.1661,2320521615698987196
splus16,2048,5,17.8009,2320521615698987196
btree8_bl,2048,6,30.1758,2320521615698987196
radixjump,2048,6,13.4644,2320521615698987196
sorted_array,2048,6,17.2348,2320521615698987196
splus8,2048,6,20.5750,2320521615698987196
splus16,2048,6,17.7551,2320521615698987196
sorted_array,4096,0,18.7073,6860285577546149224
radixjump,4096,0,14.7247,6860285577546149224
splus16,4096,0,17.8894,6860285577546149224
btree8_bl,4096,0,28.9963,6860285577546149224
splus8,4096,0,20.6833,6860285577546149224
radixjump,4096,1,14.7659,6860285577546149224
btree8_bl,4096,1,29.0787,6860285577546149224
splus8,4096,1,20.7550,6860285577546149224
splus16,4096,1,17.8711,6860285577546149224
sorted_array,4096,1,18.7469,6860285577546149224
sorted_array,4096,2,18.7088,6860285577546149224
radixjump,4096,2,14.7217,6860285577546149224
btree8_bl,4096,2,28.9825,6860285577546149224
splus16,4096,2,17.8955,6860285577546149224
splus8,4096,2,20.7001,6860285577546149224
sorted_array,4096,3,18.7378,6860285577546149224
btree8_bl,4096,3,29.6524,6860285577546149224
splus16,4096,3,17.8833,6860285577546149224
splus8,4096,3,20.6970,6860285577546149224
radixjump,4096,3,14.6896,6860285577546149224
sorted_array,4096,4,18.7851,6860285577546149224
radixjump,4096,4,14.7263,6860285577546149224
splus16,4096,4,17.9031,6860285577546149224
splus8,4096,4,20.7336,6860285577546149224
btree8_bl,4096,4,28.9230,6860285577546149224
splus16,4096,5,17.8650,6860285577546149224
sorted_array,4096,5,18.7454,6860285577546149224
btree8_bl,4096,5,29.0359,6860285577546149224
splus8,4096,5,20.7626,6860285577546149224
radixjump,4096,5,14.7369,6860285577546149224
sorted_array,4096,6,18.7851,6860285577546149224
radixjump,4096,6,14.7064,6860285577546149224
btree8_bl,4096,6,29.0039,6860285577546149224
splus8,4096,6,20.7321,6860285577546149224
splus16,4096,6,17.9337,6860285577546149224
splus8,8192,0,25.4410,17620610669794857925
btree8_bl,8192,0,34.9075,17620610669794857925
sorted_array,8192,0,23.0331,17620610669794857925
radixjump,8192,0,16.6931,17620610669794857925
splus16,8192,0,23.6557,17620610669794857925
sorted_array,8192,1,23.0453,17620610669794857925
btree8_bl,8192,1,33.7067,17620610669794857925
splus8,8192,1,25.4532,17620610669794857925
radixjump,8192,1,16.7389,17620610669794857925
splus16,8192,1,23.6542,17620610669794857925
splus8,8192,2,25.4288,17620610669794857925
sorted_array,8192,2,23.0484,17620610669794857925
radixjump,8192,2,16.7358,17620610669794857925
splus16,8192,2,23.6206,17620610669794857925
btree8_bl,8192,2,33.6304,17620610669794857925
splus8,8192,3,25.5463,17620610669794857925
btree8_bl,8192,3,33.5770,17620610669794857925
radixjump,8192,3,16.6916,17620610669794857925
splus16,8192,3,23.6938,17620610669794857925
sorted_array,8192,3,24.0738,17620610669794857925
splus16,8192,4,23.6313,17620610669794857925
radixjump,8192,4,16.7480,17620610669794857925
sorted_array,8192,4,23.0301,17620610669794857925
splus8,8192,4,25.5493,17620610669794857925
btree8_bl,8192,4,33.4869,17620610669794857925
splus8,8192,5,25.4242,17620610669794857925
sorted_array,8192,5,23.0347,17620610669794857925
radixjump,8192,5,16.7709,17620610669794857925
splus16,8192,5,23.6511,17620610669794857925
btree8_bl,8192,5,33.3786,17620610669794857925
radixjump,8192,6,16.6946,17620610669794857925
splus16,8192,6,23.6786,17620610669794857925
btree8_bl,8192,6,33.5052,17620610669794857925
sorted_array,8192,6,23.0621,17620610669794857925
splus8,8192,6,25.5035,17620610669794857925
sorted_array,16384,0,29.3869,572171816563633578
splus8,16384,0,26.1841,572171816563633578
splus16,16384,0,24.1165,572171816563633578
radixjump,16384,0,20.0256,572171816563633578
btree8_bl,16384,0,40.7700,572171816563633578
splus16,16384,1,24.1028,572171816563633578
radixjump,16384,1,19.9524,572171816563633578
splus8,16384,1,26.0620,572171816563633578
sorted_array,16384,1,29.3076,572171816563633578
btree8_bl,16384,1,40.5579,572171816563633578
radixjump,16384,2,19.9509,572171816563633578
sorted_array,16384,2,29.3365,572171816563633578
splus16,16384,2,24.0707,572171816563633578
btree8_bl,16384,2,40.4877,572171816563633578
splus8,16384,2,26.0574,572171816563633578
sorted_array,16384,3,29.3823,572171816563633578
splus16,16384,3,24.1287,572171816563633578
splus8,16384,3,26.0056,572171816563633578
radixjump,16384,3,20.0012,572171816563633578
btree8_bl,16384,3,40.4816,572171816563633578
btree8_bl,16384,4,40.4343,572171816563633578
sorted_array,16384,4,29.3060,572171816563633578
splus8,16384,4,26.0605,572171816563633578
radixjump,16384,4,19.9966,572171816563633578
splus16,16384,4,24.0784,572171816563633578
sorted_array,16384,5,29.3243,572171816563633578
splus16,16384,5,24.1089,572171816563633578
radixjump,16384,5,20.0027,572171816563633578
splus8,16384,5,26.2390,572171816563633578
btree8_bl,16384,5,40.3229,572171816563633578
sorted_array,16384,6,29.3045,572171816563633578
radixjump,16384,6,20.0027,572171816563633578
splus8,16384,6,27.2690,572171816563633578
btree8_bl,16384,6,40.3061,572171816563633578
splus16,16384,6,23.9777,572171816563633578
btree8_bl,32768,0,40.9531,8856056251533600828
splus8,32768,0,27.7481,8856056251533600828
sorted_array,32768,0,36.7523,8856056251533600828
radixjump,32768,0,24.4949,8856056251533600828
splus16,32768,0,25.0320,8856056251533600828
splus16,32768,1,24.9588,8856056251533600828
splus8,32768,1,27.9343,8856056251533600828
btree8_bl,32768,1,40.6998,8856056251533600828
sorted_array,32768,1,36.8378,8856056251533600828
radixjump,32768,1,25.7004,8856056251533600828
splus8,32768,2,27.8168,8856056251533600828
radixjump,32768,2,24.5789,8856056251533600828
splus16,32768,2,25.0137,8856056251533600828
sorted_array,32768,2,37.1521,8856056251533600828
btree8_bl,32768,2,42.5919,8856056251533600828
splus8,32768,3,28.0807,8856056251533600828
sorted_array,32768,3,36.7065,8856056251533600828
btree8_bl,32768,3,40.4724,8856056251533600828
splus16,32768,3,24.9039,8856056251533600828
radixjump,32768,3,24.5865,8856056251533600828
radixjump,32768,4,24.2661,8856056251533600828
