structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0722,3802318259966007189
btree8_bl,256,0,22.5647,3802318259966007189
radixjump,256,0,9.2209,3802318259966007189
splus16,256,0,12.7167,3802318259966007189
splus8,256,0,15.9485,3802318259966007189
splus16,256,1,12.6480,3802318259966007189
radixjump,256,1,9.2453,3802318259966007189
splus8,256,1,15.9714,3802318259966007189
btree8_bl,256,1,22.5143,3802318259966007189
sorted_array,256,1,13.0692,3802318259966007189
sorted_array,256,2,13.1256,3802318259966007189
splus8,256,2,15.8997,3802318259966007189
splus16,256,2,12.7197,3802318259966007189
radixjump,256,2,9.2316,3802318259966007189
btree8_bl,256,2,22.4960,3802318259966007189
splus8,256,3,15.9012,3802318259966007189
btree8_bl,256,3,22.4014,3802318259966007189
sorted_array,256,3,13.0997,3802318259966007189
radixjump,256,3,9.2117,3802318259966007189
splus16,256,3,12.6434,3802318259966007189
splus16,256,4,12.6770,3802318259966007189
btree8_bl,256,4,22.5342,3802318259966007189
radixjump,256,4,9.2117,3802318259966007189
splus8,256,4,15.9271,3802318259966007189
sorted_array,256,4,13.0661,3802318259966007189
radixjump,256,5,9.2682,3802318259966007189
btree8_bl,256,5,22.3389,3802318259966007189
splus16,256,5,12.7228,3802318259966007189
splus8,256,5,15.9180,3802318259966007189
sorted_array,256,5,13.1012,3802318259966007189
radixjump,256,6,9.2117,3802318259966007189
splus8,256,6,15.9393,3802318259966007189
splus16,256,6,12.6450,3802318259966007189
btree8_bl,256,6,22.3923,3802318259966007189
sorted_array,256,6,13.1027,3802318259966007189
splus8,512,0,15.8188,18445980686323395203
btree8_bl,512,0,21.7972,18445980686323395203
sorted_array,512,0,14.3387,18445980686323395203
radixjump,512,0,9.2590,18445980686323395203
splus16,512,0,17.7429,18445980686323395203
splus8,512,1,15.8661,18445980686323395203
radixjump,512,1,9.2194,18445980686323395203
splus16,512,1,17.7872,18445980686323395203
sorted_array,512,1,14.3372,18445980686323395203
btree8_bl,512,1,21.7621,18445980686323395203
sorted_array,512,2,14.3372,18445980686323395203
radixjump,512,2,9.2712,18445980686323395203
splus8,512,2,15.8371,18445980686323395203
btree8_bl,512,2,21.7743,18445980686323395203
splus16,512,2,18.5623,18445980686323395203
sorted_array,512,3,14.6500,18445980686323395203
splus8,512,3,15.8615,18445980686323395203
splus16,512,3,17.7734,18445980686323395203
btree8_bl,512,3,21.6492,18445980686323395203
radixjump,512,3,9.2682,18445980686323395203
radixjump,512,4,9.2163,18445980686323395203
splus8,512,4,15.8463,18445980686323395203
splus16,512,4,17.8009,18445980686323395203
sorted_array,512,4,14.3845,18445980686323395203
btree8_bl,512,4,21.6568,18445980686323395203
btree8_bl,512,5,21.7026,18445980686323395203
sorted_array,512,5,14.3646,18445980686323395203
splus8,512,5,15.8310,18445980686323395203
radixjump,512,5,9.2468,18445980686323395203
splus16,512,5,17.7490,18445980686323395203
splus8,512,6,15.8478,18445980686323395203
radixjump,512,6,9.2194,18445980686323395203
splus16,512,6,17.7872,18445980686323395203
btree8_bl,512,6,21.7056,18445980686323395203
sorted_array,512,6,14.3356,18445980686323395203
btree8_bl,1024,0,27.0447,13330139387826418850
radixjump,1024,0,9.3063,13330139387826418850
sorted_array,1024,0,15.8035,13330139387826418850
splus16,1024,0,17.7811,13330139387826418850
splus8,1024,0,20.5688,13330139387826418850
sorted_array,1024,1,16.3986,13330139387826418850
radixjump,1024,1,9.6390,13330139387826418850
splus8,1024,1,20.5551,13330139387826418850
btree8_bl,1024,1,27.0172,13330139387826418850
splus16,1024,1,17.7841,13330139387826418850
sorted_array,1024,2,15.7837,13330139387826418850
splus8,1024,2,20.5521,13330139387826418850
radixjump,1024,2,9.4238,13330139387826418850
splus16,1024,2,17.7856,13330139387826418850
btree8_bl,1024,2,26.9745,13330139387826418850
sorted_array,1024,3,15.8142,13330139387826418850
btree8_bl,1024,3,26.8951,13330139387826418850
splus16,1024,3,17.7994,13330139387826418850
radixjump,1024,3,9.2941,13330139387826418850
splus8,1024,3,20.5551,13330139387826418850
sorted_array,1024,4,15.7913,13330139387826418850
splus8,1024,4,20.5048,13330139387826418850
splus16,1024,4,17.8345,13330139387826418850
radixjump,1024,4,9.2865,13330139387826418850
btree8_bl,1024,4,26.9211,13330139387826418850
radixjump,1024,5,9.2865,13330139387826418850
btree8_bl,1024,5,27.6215,13330139387826418850
splus8,1024,5,22.1466,13330139387826418850
sorted_array,1024,5,15.9073,13330139387826418850
splus16,1024,5,17.7521,13330139387826418850
splus8,1024,6,21.3104,13330139387826418850
splus16,1024,6,18.0756,13330139387826418850
radixjump,1024,6,9.2804,13330139387826418850
sorted_array,1024,6,15.8020,13330139387826418850
btree8_bl,1024,6,26.9028,13330139387826418850
sorted_array,2048,0,17.3126,8649855807846794996
splus8,2048,0,20.6085,8649855807846794996
btree8_bl,2048,0,29.3900,8649855807846794996
radixjump,2048,0,9.2911,8649855807846794996
splus16,2048,0,17.8131,8649855807846794996
splus8,2048,1,20.5368,8649855807846794996
radixjump,2048,1,9.3155,8649855807846794996
splus16,2048,1,17.7521,8649855807846794996
sorted_array,2048,1,17.3264,8649855807846794996
btree8_bl,2048,1,29.2587,8649855807846794996
radixjump,2048,2,9.2850,8649855807846794996
splus16,2048,2,17.8085,8649855807846794996
sorted_array,2048,2,17.3386,8649855807846794996
btree8_bl,2048,2,29.2358,8649855807846794996
