structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4449,5064551166254988928
btree8_bl,256,0,13.1653,5064551166254988928
radixjump,256,0,4.7531,5064551166254988928
splus16,256,0,3.0060,5064551166254988928
splus8,256,0,3.1784,5064551166254988928
splus16,256,1,2.9785,5064551166254988928
radixjump,256,1,4.6753,5064551166254988928
splus8,256,1,3.1738,5064551166254988928
btree8_bl,256,1,14.4150,5064551166254988928
sorted_array,256,1,4.4434,5064551166254988928
sorted_array,256,2,4.6555,5064551166254988928
splus8,256,2,3.1754,5064551166254988928
splus16,256,2,2.9816,5064551166254988928
radixjump,256,2,4.8462,5064551166254988928
btree8_bl,256,2,12.9349,5064551166254988928
splus8,256,3,3.2700,5064551166254988928
btree8_bl,256,3,12.9700,5064551166254988928
sorted_array,256,3,4.8737,5064551166254988928
radixjump,256,3,4.8477,5064551166254988928
splus16,256,3,2.9999,5064551166254988928
splus16,256,4,3.0121,5064551166254988928
btree8_bl,256,4,12.7518,5064551166254988928
radixjump,256,4,4.8004,5064551166254988928
splus8,256,4,3.1677,5064551166254988928
sorted_array,256,4,4.4296,5064551166254988928
radixjump,256,5,4.6371,5064551166254988928
btree8_bl,256,5,12.7563,5064551166254988928
splus16,256,5,2.9617,5064551166254988928
splus8,256,5,3.1647,5064551166254988928
sorted_array,256,5,4.4510,5064551166254988928
radixjump,256,6,4.6143,5064551166254988928
splus8,256,6,3.1693,5064551166254988928
splus16,256,6,2.9846,5064551166254988928
btree8_bl,256,6,12.7182,5064551166254988928
sorted_array,256,6,4.4312,5064551166254988928
splus8,512,0,3.1189,6715038820249311008
btree8_bl,512,0,9.1431,6715038820249311008
sorted_array,512,0,5.1743,6715038820249311008
radixjump,512,0,5.7846,6715038820249311008
splus16,512,0,4.8660,6715038820249311008
splus8,512,1,3.0975,6715038820249311008
radixjump,512,1,5.8243,6715038820249311008
splus16,512,1,4.8508,6715038820249311008
sorted_array,512,1,5.1483,6715038820249311008
btree8_bl,512,1,9.1110,6715038820249311008
sorted_array,512,2,5.0995,6715038820249311008
radixjump,512,2,5.6061,6715038820249311008
splus8,512,2,3.0991,6715038820249311008
btree8_bl,512,2,9.0775,6715038820249311008
splus16,512,2,4.8523,6715038820249311008
sorted_array,512,3,5.1041,6715038820249311008
splus8,512,3,3.0975,6715038820249311008
splus16,512,3,4.8538,6715038820249311008
btree8_bl,512,3,9.0561,6715038820249311008
radixjump,512,3,5.5954,6715038820249311008
radixjump,512,4,5.5908,6715038820249311008
splus8,512,4,3.0991,6715038820249311008
splus16,512,4,4.8599,6715038820249311008
sorted_array,512,4,5.1270,6715038820249311008
btree8_bl,512,4,8.9737,6715038820249311008
btree8_bl,512,5,8.9127,6715038820249311008
sorted_array,512,5,5.1025,6715038820249311008
splus8,512,5,3.0960,6715038820249311008
radixjump,512,5,5.5771,6715038820249311008
splus16,512,5,4.8782,6715038820249311008
splus8,512,6,3.0945,6715038820249311008
radixjump,512,6,5.5756,6715038820249311008
splus16,512,6,4.8447,6715038820249311008
btree8_bl,512,6,8.9035,6715038820249311008
sorted_array,512,6,5.1315,6715038820249311008
btree8_bl,1024,0,20.8939,17055779026972941542
radixjump,1024,0,5.6610,17055779026972941542
sorted_array,1024,0,5.8258,17055779026972941542
splus16,1024,0,4.8248,17055779026972941542
splus8,1024,0,4.2831,17055779026972941542
sorted_array,1024,1,5.8029,17055779026972941542
radixjump,1024,1,5.7251,17055779026972941542
splus8,1024,1,4.2740,17055779026972941542
btree8_bl,1024,1,20.8923,17055779026972941542
splus16,1024,1,4.7745,17055779026972941542
sorted_array,1024,2,5.8121,17055779026972941542
splus8,1024,2,4.2648,17055779026972941542
radixjump,1024,2,5.6183,17055779026972941542
splus16,1024,2,4.7745,17055779026972941542
btree8_bl,1024,2,20.8023,17055779026972941542
sorted_array,1024,3,5.8578,17055779026972941542
btree8_bl,1024,3,20.7458,17055779026972941542
splus16,1024,3,4.8111,17055779026972941542
radixjump,1024,3,5.5847,17055779026972941542
splus8,1024,3,4.6997,17055779026972941542
sorted_array,1024,4,5.7983,17055779026972941542
splus8,1024,4,4.2816,17055779026972941542
splus16,1024,4,4.7867,17055779026972941542
radixjump,1024,4,5.6320,17055779026972941542
btree8_bl,1024,4,20.7138,17055779026972941542
radixjump,1024,5,5.6305,17055779026972941542
btree8_bl,1024,5,20.7764,17055779026972941542
splus8,1024,5,4.2145,17055779026972941542
sorted_array,1024,5,5.8426,17055779026972941542
splus16,1024,5,4.7653,17055779026972941542
splus8,1024,6,4.2465,17055779026972941542
splus16,1024,6,4.9149,17055779026972941542
radixjump,1024,6,5.5923,17055779026972941542
sorted_array,1024,6,5.7983,17055779026972941542
btree8_bl,1024,6,21.3882,17055779026972941542
sorted_array,2048,0,6.5140,2320521615698987196
splus8,2048,0,4.2511,2320521615698987196
btree8_bl,2048,0,22.1466,2320521615698987196
radixjump,2048,0,4.4815,2320521615698987196
splus16,2048,0,4.9362,2320521615698987196
splus8,2048,1,4.4479,2320521615698987196
radixjump,2048,1,4.2969,2320521615698987196
splus16,2048,1,4.8645,2320521615698987196
sorted_array,2048,1,6.6742,2320521615698987196
btree8_bl,2048,1,18.3334,2320521615698987196
radixjump,2048,2,4.4830,2320521615698987196
splus16,2048,2,4.8370,2320521615698987196
sorted_array,2048,2,6.5811,2320521615698987196
btree8_bl,2048,2,17.7689,2320521615698987196
splus8,2048,2,4.2160,2320521615698987196
btree8_bl,2048,3,17.7704,2320521615698987196
radixjump,2048,3,4.3976,2320521615698987196
splus8,2048,3,4.2191,2320521615698987196
splus16,2048,3,4.8920,2320521615698987196
sorted_array,2048,3,6.5689,2320521615698987196
btree8_bl,2048,4,17.6407,2320521615698987196
sorted_array,2048,4,6.5369,2320521615698987196
radixjump,2048,4,4.4037,2320521615698987196
splus16,2048,4,4.8080,2320521615698987196
splus8,2048,4,4.2328,2320521615698987196
btree8_bl,2048,5,17.5705,2320521615698987196
splus8,2048,5,4.2969,2320521615698987196
radixjump,2048,5,4.4067,2320521615698987196
sorted_array,2048,5,6.5445,2320521615698987196
splus16,2048,5,4.8111,2320521615698987196
btree8_bl,2048,6,17.5858,2320521615698987196
radixjump,2048,6,4.3701,2320521615698987196
sorted_array,2048,6,6.4651,2320521615698987196
splus8,2048,6,4.2328,2320521615698987196
splus16,2048,6,4.8386,2320521615698987196
sorted_array,4096,0,15.3732,6860285577546149224
radixjump,4096,0,4.9683,6860285577546149224
splus16,4096,0,4.8492,6860285577546149224
btree8_bl,4096,0,14.5920,6860285577546149224
splus8,4096,0,4.3152,6860285577546149224
radixjump,4096,1,4.8615,6860285577546149224
btree8_bl,4096,1,14.3967,6860285577546149224
splus8,4096,1,4.5822,6860285577546149224
splus16,4096,1,4.8538,6860285577546149224
sorted_array,4096,1,7.2754,6860285577546149224
