structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4876,3802318259966007189
btree8_bl,256,0,13.3606,3802318259966007189
radixjump,256,0,1.4938,3802318259966007189
splus16,256,0,3.0075,3802318259966007189
splus8,256,0,3.2135,3802318259966007189
splus16,256,1,3.0197,3802318259966007189
radixjump,256,1,1.4938,3802318259966007189
splus8,256,1,3.2166,3802318259966007189
btree8_bl,256,1,13.2401,3802318259966007189
sorted_array,256,1,4.5288,3802318259966007189
sorted_array,256,2,4.4647,3802318259966007189
splus8,256,2,3.1967,3802318259966007189
splus16,256,2,3.0014,3802318259966007189
radixjump,256,2,1.4816,3802318259966007189
btree8_bl,256,2,13.1454,3802318259966007189
splus8,256,3,3.2593,3802318259966007189
btree8_bl,256,3,13.0783,3802318259966007189
sorted_array,256,3,4.4556,3802318259966007189
radixjump,256,3,1.4862,3802318259966007189
splus16,256,3,3.0090,3802318259966007189
splus16,256,4,3.0472,3802318259966007189
btree8_bl,256,4,13.1470,3802318259966007189
radixjump,256,4,1.4908,3802318259966007189
splus8,256,4,3.2059,3802318259966007189
sorted_array,256,4,4.4586,3802318259966007189
radixjump,256,5,1.4847,3802318259966007189
btree8_bl,256,5,13.0997,3802318259966007189
splus16,256,5,2.9877,3802318259966007189
splus8,256,5,3.1967,3802318259966007189
sorted_array,256,5,4.4662,3802318259966007189
radixjump,256,6,1.4862,3802318259966007189
splus8,256,6,3.2074,3802318259966007189
splus16,256,6,3.0365,3802318259966007189
btree8_bl,256,6,13.2935,3802318259966007189
sorted_array,256,6,4.4678,3802318259966007189
splus8,512,0,3.0502,18445980686323395203
btree8_bl,512,0,8.8440,18445980686323395203
sorted_array,512,0,5.0568,18445980686323395203
radixjump,512,0,1.4938,18445980686323395203
splus16,512,0,4.7897,18445980686323395203
splus8,512,1,3.0487,18445980686323395203
radixjump,512,1,1.4938,18445980686323395203
splus16,512,1,4.7714,18445980686323395203
sorted_array,512,1,5.0827,18445980686323395203
btree8_bl,512,1,8.6670,18445980686323395203
sorted_array,512,2,5.0522,18445980686323395203
radixjump,512,2,1.4938,18445980686323395203
splus8,512,2,3.0457,18445980686323395203
btree8_bl,512,2,8.6029,18445980686323395203
splus16,512,2,4.7836,18445980686323395203
sorted_array,512,3,5.0522,18445980686323395203
splus8,512,3,3.0457,18445980686323395203
splus16,512,3,4.7760,18445980686323395203
btree8_bl,512,3,8.4839,18445980686323395203
radixjump,512,3,1.5396,18445980686323395203
radixjump,512,4,1.4908,18445980686323395203
splus8,512,4,3.0487,18445980686323395203
splus16,512,4,4.7775,18445980686323395203
sorted_array,512,4,5.0507,18445980686323395203
btree8_bl,512,4,8.4442,18445980686323395203
btree8_bl,512,5,8.4717,18445980686323395203
sorted_array,512,5,5.0583,18445980686323395203
splus8,512,5,3.0441,18445980686323395203
radixjump,512,5,1.4969,18445980686323395203
splus16,512,5,4.7882,18445980686323395203
splus8,512,6,3.0472,18445980686323395203
radixjump,512,6,1.4969,18445980686323395203
splus16,512,6,4.7852,18445980686323395203
btree8_bl,512,6,8.4824,18445980686323395203
sorted_array,512,6,6.2042,18445980686323395203
btree8_bl,1024,0,20.9595,13330139387826418850
radixjump,1024,0,1.5289,13330139387826418850
sorted_array,1024,0,5.8273,13330139387826418850
splus16,1024,0,4.8813,13330139387826418850
splus8,1024,0,4.3015,13330139387826418850
sorted_array,1024,1,5.8212,13330139387826418850
radixjump,1024,1,1.5213,13330139387826418850
splus8,1024,1,4.2389,13330139387826418850
btree8_bl,1024,1,21.0052,13330139387826418850
splus16,1024,1,4.7943,13330139387826418850
sorted_array,1024,2,5.8258,13330139387826418850
splus8,1024,2,4.2679,13330139387826418850
radixjump,1024,2,1.5366,13330139387826418850
splus16,1024,2,4.7852,13330139387826418850
btree8_bl,1024,2,20.9702,13330139387826418850
sorted_array,1024,3,5.8731,13330139387826418850
btree8_bl,1024,3,20.9778,13330139387826418850
splus16,1024,3,4.8492,13330139387826418850
radixjump,1024,3,1.5274,13330139387826418850
splus8,1024,3,4.2328,13330139387826418850
sorted_array,1024,4,5.8136,13330139387826418850
splus8,1024,4,4.2282,13330139387826418850
splus16,1024,4,4.7852,13330139387826418850
radixjump,1024,4,1.5182,13330139387826418850
btree8_bl,1024,4,20.9488,13330139387826418850
radixjump,1024,5,1.5228,13330139387826418850
btree8_bl,1024,5,20.8466,13330139387826418850
splus8,1024,5,4.2236,13330139387826418850
sorted_array,1024,5,5.8044,13330139387826418850
splus16,1024,5,4.7775,13330139387826418850
splus8,1024,6,4.2709,13330139387826418850
splus16,1024,6,4.7791,13330139387826418850
radixjump,1024,6,1.5244,13330139387826418850
sorted_array,1024,6,5.8105,13330139387826418850
btree8_bl,1024,6,20.9015,13330139387826418850
sorted_array,2048,0,6.4758,8649855807846794996
splus8,2048,0,4.2313,8649855807846794996
btree8_bl,2048,0,18.3716,8649855807846794996
radixjump,2048,0,1.5350,8649855807846794996
splus16,2048,0,4.8126,8649855807846794996
splus8,2048,1,4.2236,8649855807846794996
radixjump,2048,1,1.5350,8649855807846794996
splus16,2048,1,4.7852,8649855807846794996
sorted_array,2048,1,6.4163,8649855807846794996
btree8_bl,2048,1,17.9398,8649855807846794996
radixjump,2048,2,1.5335,8649855807846794996
splus16,2048,2,4.7775,8649855807846794996
sorted_array,2048,2,6.4056,8649855807846794996
btree8_bl,2048,2,17.8482,8649855807846794996
splus8,2048,2,5.1788,8649855807846794996
btree8_bl,2048,3,18.0771,8649855807846794996
radixjump,2048,3,1.5366,8649855807846794996
splus8,2048,3,4.2313,8649855807846794996
splus16,2048,3,4.7791,8649855807846794996
sorted_array,2048,3,6.4377,8649855807846794996
btree8_bl,2048,4,17.7551,8649855807846794996
sorted_array,2048,4,6.4087,8649855807846794996
radixjump,2048,4,1.5320,8649855807846794996
splus16,2048,4,4.8355,8649855807846794996
splus8,2048,4,4.2236,8649855807846794996
btree8_bl,2048,5,18.5883,8649855807846794996
splus8,2048,5,4.2511,8649855807846794996
radixjump,2048,5,1.5396,8649855807846794996
