"structure","n","median_ns","q25_ns","q75_ns","reps"
"btree8",256,21.4706,21.0083,22.16875,15
"fusion8",256,36.3602,36.0939,36.61805,15
"sorted_array",256,4.509,4.41055,4.8088,15
"btree8",512,25.8423,25.12745,26.18175,15
"fusion8",512,35.2829,35.16385,35.8017,15
"sorted_array",512,4.9698,4.96595,5.0308,15
"btree8",1024,26.3931,26.0582,26.61135,15
"fusion8",1024,43.7408,43.3754,43.89035,15
"sorted_array",1024,5.6198,5.6061,5.83345,15
"btree8",2048,30.5206,30.21395,31.11035,15
"fusion8",2048,50.6989,50.67445,51.4282,15
"sorted_array",2048,6.4041,6.3858,6.4659,15
"btree8",4096,35.7819,33.0391,36.4647,15
"fusion8",4096,51.5594,51.32675,52.2644,15
"sorted_array",4096,7.2006,7.09,7.3387,15
"btree8",8192,37.0117,36.7279,37.57475,15
"fusion8",8192,59.5215,59.1789,59.92665,15
"sorted_array",8192,8.9935,8.9035,9.05225,15
"btree8",16384,46.6965,46.16925,47.63105,15
"fusion8",16384,72.4518,70.98005,73.2971,15
"sorted_array",16384,11.6348,11.5364,12.117,15
"btree8",32768,47.4655,47.13515,47.77605,15
"fusion8",32768,75.9232,75.0305,77.14845,15
"sorted_array",32768,14.9109,14.8201,15.1146,15
"btree8",65536,60.0555,55.60915,66.38945,15
"fusion8",65536,84.8923,83.374,86.5341,15
"sorted_array",65536,20.0195,19.93865,20.3125,15
"btree8",131072,72.0016,71.04875,72.84015,15
"fusion8",131072,121.8323,111.7157,131.6322,15
"sorted_array",131072,26.5808,26.2947,27.0729,15
"btree8",262144,80.5649,76.73035,93.56075,15
"fusion8",262144,131.4911,122.0085,146.8323,15
"sorted_array",262144,37.1307,36.77975,38.1073,15
"btree8",524288,76.2222,75.515,76.86385,15
"fusion8",524288,118.8187,117.76045,120.58105,15
"sorted_array",524288,60.2615,56.1409,70.8015,15
"btree8",1048576,166.4581,156.8298,187.52215,15
"fusion8",1048576,291.0126,286.66305,305.3444,15
"sorted_array",1048576,90.5991,89.8872,90.7394,15
"btree8",2097152,225.7111,206.68105,234.67865,15
"fusion8",2097152,332.6279,326.94245,345.8519,15
"sorted_array",2097152,141.1713,137.29325,146.42715,15
"btree8",4194304,207.1304,200.90785,212.18875,15
"fusion8",4194304,303.3066,294.41685,307.8308,15
"sorted_array",4194304,233.8394,228.03875,248.63665,15
