"structure","n","median_ns","q25_ns","q75_ns","reps"
"btree8",256,24.6719,24.63835,24.85735,15
"btree8_bl",256,27.5558,27.40025,27.92435,15
"fusion8",256,42.6804,42.411,42.77575,15
"sorted_array",256,7.3013,7.2441,7.4013,15
"btree8",512,27.7817,27.57795,27.84725,15
"btree8_bl",512,22.7127,22.68755,22.8012,15
"fusion8",512,42.2607,42.08525,42.49725,15
"sorted_array",512,8.3267,8.3252,8.3519,15
"btree8",1024,32.4478,32.30975,32.5539,15
"btree8_bl",1024,39.0778,38.95645,39.3036,15
"fusion8",1024,53.1494,52.33155,53.3394,15
"sorted_array",1024,9.3491,9.3422,9.51385,15
"btree8",2048,36.9492,36.72485,37.04075,15
"btree8_bl",2048,40.0742,40.065,40.2641,15
"fusion8",2048,62.6953,62.0628,62.8227,15
"sorted_array",2048,10.6598,10.60865,10.6705,15
"btree8",4096,41.2872,41.2231,41.51765,15
"btree8_bl",4096,36.0565,35.9917,36.1771,15
"fusion8",4096,64.0961,63.64135,64.6164,15
"sorted_array",4096,12.6389,12.58315,12.70755,15
"btree8",8192,48.5092,48.09115,48.6885,15
"btree8_bl",8192,46.9742,46.82235,47.2603,15
"fusion8",8192,72.6196,71.6217,73.3261,15
"sorted_array",8192,20.4483,20.3697,20.47425,15
"btree8",16384,58.6838,58.4404,59.5711,15
"btree8_bl",16384,61.0962,59.92585,61.48685,15
"fusion8",16384,89.386,88.33995,90.12605,15
"sorted_array",16384,25.8194,25.7507,25.9117,15
"btree8",32768,62.8937,61.8927,63.4277,15
"btree8_bl",32768,56.4056,55.7396,56.86035,15
"fusion8",32768,92.4301,91.4047,93.81405,15
"sorted_array",32768,32.7148,32.58975,32.90865,15
"btree8",65536,71.907,69.9127,72.57235,15
"btree8_bl",65536,63.1088,61.39905,63.99155,15
"fusion8",65536,106.0654,104.7203,110.17535,15
"sorted_array",65536,39.4379,39.1052,40.287,15
"btree8",131072,128.3691,119.79825,139.37225,15
"btree8_bl",131072,122.7219,115.08945,133.7227,15
"fusion8",131072,216.4795,204.70655,223.9151,15
"sorted_array",131072,51.0803,50.48905,53.58585,15
"btree8",262144,119.6732,117.02115,123.6916,15
"btree8_bl",262144,105.275,103.92765,106.80465,15
"fusion8",262144,199.5255,196.50115,211.80035,15
"sorted_array",262144,65.9882,65.8531,66.6336,15
"btree8",524288,130.6168,123.14835,135.56065,15
"btree8_bl",524288,104.4586,100.3151,109.9045,15
"fusion8",524288,212.3123,204.81495,220.488,15
"sorted_array",524288,90.6143,86.6234,92.13715,15
"btree8",1048576,305.7587,300.39065,310.71855,15
"btree8_bl",1048576,264.2563,259.874,271.72625,15
"fusion8",1048576,402.8,397.03675,412.249,15
"sorted_array",1048576,165.2573,162.83875,170.1088,15
"btree8",2097152,333.0139,324.4705,347.98585,15
"btree8_bl",2097152,264.1708,259.27275,270.0073,15
"fusion8",2097152,440.509,435.5339,449.5628,15
"sorted_array",2097152,277.0111,266.64585,283.78675,15
"btree8",4194304,326.4236,320.19195,352.3598,15
"btree8_bl",4194304,252.6733,251.41985,277.51615,15
"fusion8",4194304,438.8458,426.21995,450.42265,15
"sorted_array",4194304,439.3478,434.0332,491.8396,15
