"structure","n","median_ns","q25_ns","q75_ns","reps"
"btree8",256,21.4355,21.30585,22.35565,15
"btree8_bl",256,27.1561,27.0462,27.2026,15
"fusion8",256,40.3381,40.0719,40.7875,15
"sorted_array",256,13.06,13.02185,13.0882,15
"btree8",512,24.4232,24.1997,25.02135,15
"btree8_bl",512,26.1917,25.99415,28.1021,15
"fusion8",512,40.5991,40.1268,43.01605,15
"sorted_array",512,14.5645,14.46915,15.2191,15
"btree8",1024,27.0218,26.9165,27.3193,15
"btree8_bl",1024,33.6945,33.5243,34.43835,15
"fusion8",1024,49.3591,48.5771,50.26095,15
"sorted_array",1024,15.8768,15.8455,15.9668,15
"btree8",2048,31.4575,31.14775,32.89795,15
"btree8_bl",2048,36.5921,36.525,37.1986,15
"fusion8",2048,55.8212,55.2551,57.7179,15
"sorted_array",2048,17.2714,17.2478,17.35765,15
"btree8",4096,34.2667,34.12095,34.46885,15
"btree8_bl",4096,35.8337,35.8078,35.8841,15
"fusion8",4096,57.3196,56.8977,57.6866,15
"sorted_array",4096,18.7439,18.71415,18.81025,15
"btree8",8192,37.9684,37.7258,38.13095,15
"btree8_bl",8192,41.188,41.00725,41.835,15
"fusion8",8192,65.1459,64.9948,65.63645,15
"sorted_array",8192,23.0316,23.01255,23.098,15
"btree8",16384,48.1125,47.3297,48.5321,15
"btree8_bl",16384,51.1978,50.322,51.71815,15
"fusion8",16384,79.0817,77.4483,79.8653,15
"sorted_array",16384,29.6722,29.47155,29.79275,15
"btree8",32768,48.8831,48.349,49.2737,15
"btree8_bl",32768,51.0681,50.60655,52.742,15
"fusion8",32768,81.1401,81.05395,81.52085,15
"sorted_array",32768,36.8973,36.7569,37.15285,15
"btree8",65536,56.5582,54.5334,58.3435,15
"btree8_bl",65536,60.376,58.8913,62.01325,15
"fusion8",65536,93.8019,91.18575,96.69415,15
"sorted_array",65536,48.8083,47.9347,49.1638,15
"btree8",131072,99.0524,96.3715,103.75595,15
"btree8_bl",131072,113.9328,106.855,117.7818,15
"fusion8",131072,181.6711,174.8711,188.3812,15
"sorted_array",131072,63.9069,63.77485,64.5935,15
"btree8",262144,101.4908,100.56915,103.0426,15
"btree8_bl",262144,122.0551,121.11055,123.5733,15
"fusion8",262144,187.8357,181.3118,189.9849,15
"sorted_array",262144,78.6667,78.1738,79.0085,15
"btree8",524288,102.2293,101.20085,103.0678,15
"btree8_bl",524288,125.8774,124.20195,130.56645,15
"fusion8",524288,198.9914,190.7547,205.42145,15
"sorted_array",524288,123.0988,121.2372,126.0521,15
"btree8",1048576,267.5339,258.60215,273.88685,15
"btree8_bl",1048576,256.5598,253.78345,263.0707,15
"fusion8",1048576,371.611,361.69205,383.0017,15
"sorted_array",1048576,225.7309,223.0957,232.65075,15
"btree8",2097152,287.1216,278.77505,303.0731,15
"btree8_bl",2097152,314.6164,306.4575,353.93295,15
"fusion8",2097152,395.1767,389.99635,430.1437,15
"sorted_array",2097152,364.4028,338.9656,379.04435,15
"btree8",4194304,285.1593,279.63865,290.69215,15
"btree8_bl",4194304,312.0697,309.50545,316.21015,15
"fusion8",4194304,382.6096,375.0862,396.9238,15
"sorted_array",4194304,571.3989,565.6235,576.3626,15
"btree8",8388608,424.9695,419.35955,433.2962,15
"btree8_bl",8388608,429.5792,424.1867,435.7826,15
"fusion8",8388608,554.332,549.4896,560.05785,15
"sorted_array",8388608,940.1917,928.9215,958.9485,15
"btree8",16777216,498.8281,477.09735,526.96385,15
"btree8_bl",16777216,511.4258,499.46215,580.9113,15
"fusion8",16777216,615.625,609.51155,657.8239,15
"sorted_array",16777216,1252.8534,1223.4848,1304.61655,15
"btree8",33554432,492.2104,486.17325,519.17345,15
"btree8_bl",33554432,520.8084,509.61835,523.89375,15
"fusion8",33554432,625.7431,614.785,641.16135,15
"sorted_array",33554432,1435.2386,1407.5676,1458.3519,15
