"structure","n","median_ns","q25_ns","q75_ns","reps"
"btree8",256,21.0419,20.97095,21.08765,15
"btree8_bl",256,17.6895,17.6109,17.77115,15
"fusion8",256,44.2413,44.08495,44.46185,15
"sorted_array",256,4.5319,4.5212,4.55245,15
"btree8",512,23.8861,23.7923,23.92655,15
"btree8_bl",512,11.9278,11.86065,11.9957,15
"fusion8",512,45.7306,45.6642,45.9099,15
"sorted_array",512,5.1712,5.16585,5.1918,15
"btree8",1024,26.6006,26.5457,26.82725,15
"btree8_bl",1024,27.7359,27.65885,27.9892,15
"fusion8",1024,53.7491,53.6453,53.89785,15
"sorted_array",1024,5.8411,5.8342,5.8708,15
"btree8",2048,30.3802,30.16205,30.58015,15
"btree8_bl",2048,24.7787,24.70625,24.94275,15
"fusion8",2048,62.3962,62.2803,62.68845,15
"sorted_array",2048,6.3995,6.3843,6.4224,15
"btree8",4096,33.7387,33.4137,33.9592,15
"btree8_bl",4096,19.5892,19.31835,19.6571,15
"fusion8",4096,67.2943,67.05555,67.49805,15
"sorted_array",4096,7.3944,7.38985,7.42875,15
"btree8",8192,38.1729,37.9326,38.6627,15
"btree8_bl",8192,27.951,27.66115,28.7384,15
"fusion8",8192,74.939,74.79325,75.51655,15
"sorted_array",8192,9.2834,9.2575,9.30485,15
"btree8",16384,48.6084,47.92175,49.9123,15
"btree8_bl",16384,37.709,36.3121,38.5742,15
"fusion8",16384,92.2882,89.2433,94.17495,15
"sorted_array",16384,12.0377,11.8767,12.22,15
"btree8",32768,49.4675,49.07225,50.07935,15
"btree8_bl",32768,30.2902,29.77065,30.82125,15
"fusion8",32768,94.0994,92.968,97.00395,15
"sorted_array",32768,15.6937,15.59985,15.83025,15
"btree8",65536,56.6116,55.13305,57.5157,15
"btree8_bl",65536,35.3622,34.1324,36.6188,15
"fusion8",65536,109.3903,103.91315,111.58445,15
"sorted_array",65536,21.727,21.376,21.9208,15
"btree8",131072,91.2888,89.33025,93.5036,15
"btree8_bl",131072,69.0262,68.09995,76.59,15
"fusion8",131072,194.606,181.0753,196.97495,15
"sorted_array",131072,30.2292,29.79735,30.9425,15
"btree8",262144,95.5475,94.2024,96.84675,15
"btree8_bl",262144,61.5753,61.0161,63.1325,15
"fusion8",262144,205.1697,194.62125,211.81565,15
"sorted_array",262144,38.5529,38.32625,38.79315,15
"btree8",524288,99.0067,97.52575,100.2403,15
"btree8_bl",524288,57.8461,55.3665,58.48845,15
"fusion8",524288,206.2775,200.6294,210.08455,15
"sorted_array",524288,60.1349,60.0014,60.8879,15
"btree8",1048576,243.0771,238.8588,249.61855,15
"btree8_bl",1048576,158.6746,136.998,161.77365,15
"fusion8",1048576,383.9859,376.42365,404.88815,15
"sorted_array",1048576,101.1505,98.38945,102.69015,15
"btree8",2097152,248.5214,242.881,249.4629,15
"btree8_bl",2097152,128.5416,124.675,131.723,15
"fusion8",2097152,401.8387,393.49595,410.3104,15
"sorted_array",2097152,143.2526,141.70535,145.90605,15
"btree8",4194304,262.7274,261.39145,265.37555,15
"btree8_bl",4194304,124.6658,121.54315,141.52525,15
"fusion8",4194304,407.8323,405.04835,413.1996,15
"sorted_array",4194304,269.455,267.9977,272.4899,15
