"structure","n","median_ns","q25_ns","q75_ns","reps"
"btree8",256,20.8435,20.80915,21.02055,15
"fusion8",256,35.4828,34.98385,35.7086,15
"sorted_array",256,4.4067,4.39835,4.42885,15
"btree8",512,25.3555,24.604,25.576,15
"fusion8",512,33.5648,33.42055,33.8463,15
"sorted_array",512,4.9759,4.9683,5.02775,15
"btree8",1024,25.061,24.84895,25.5852,15
"fusion8",1024,41.7099,41.36505,42.6636,15
"sorted_array",1024,5.4153,5.4108,5.45045,15
"btree8",2048,29.0344,28.96725,32.72325,15
"fusion8",2048,48.9929,48.89525,49.2378,15
"sorted_array",2048,6.1508,6.1363,6.15845,15
"btree8",4096,33.4579,32.3685,35.24475,15
"fusion8",4096,50.0381,49.9443,50.2319,15
"sorted_array",4096,6.929,6.9275,6.942,15
"btree8",8192,36.7386,35.90085,38.15615,15
"fusion8",8192,57.7332,57.48295,58.88595,15
"sorted_array",8192,8.6746,8.66165,8.7013,15
"btree8",16384,45.3903,44.4527,45.94425,15
"fusion8",16384,68.7607,68.5936,69.1269,15
"sorted_array",16384,11.1526,11.1168,11.20685,15
"btree8",32768,46.1487,46.08075,46.3608,15
"fusion8",32768,71.5134,71.4432,71.73765,15
"sorted_array",32768,14.3555,14.34325,14.38825,15
"btree8",65536,51.2543,51.10625,51.384,15
"fusion8",65536,78.5843,78.096,79.63945,15
"sorted_array",65536,18.9697,18.96285,18.99415,15
"btree8",131072,68.7637,67.86805,69.4412,15
"fusion8",131072,104.4632,102.60925,106.22105,15
"sorted_array",131072,25.5569,25.45315,25.60655,15
"btree8",262144,71.3806,71.13645,71.98795,15
"fusion8",262144,113.0768,112.7586,113.6208,15
"sorted_array",262144,30.3635,30.33675,30.37645,15
"btree8",524288,74.1211,73.88075,74.6048,15
"fusion8",524288,114.3112,113.6383,115.22905,15
"sorted_array",524288,54.422,54.097,54.71875,15
"btree8",1048576,144.1391,143.087,146.27,15
"fusion8",1048576,231.839,221.69955,236.56005,15
"sorted_array",1048576,85.2219,84.9617,86.47465,15
"btree8",2097152,159.9167,158.7677,164.44015,15
"fusion8",2097152,243.013,240.6044,256.5254,15
"sorted_array",2097152,122.7386,122.3396,123.85105,15
"btree8",4194304,160.9604,158.34275,164.0724,15
"fusion8",4194304,261.9644,255.439,267.84895,15
"sorted_array",4194304,209.2041,208.79285,210.4843,15
