structure,n,rep,ns_per_query,checksum
fusion8,256,0,39.9368,3802318259966007189
fusion8_c,256,0,41.8701,3802318259966007189
btree8_a64,256,0,21.2143,3802318259966007189
btree16_bl_a64,256,0,14.1174,3802318259966007189
btree8,256,0,22.6334,3802318259966007189
btree8_bl,256,0,22.1390,3802318259966007189
fusion16_w,256,0,38.6124,3802318259966007189
fusion8_bf,256,0,43.2877,3802318259966007189
btree8_bl_a64,256,0,20.2667,3802318259966007189
sorted_array,256,0,13.0981,3802318259966007189
btree8_bl,256,1,22.0337,3802318259966007189
fusion8,256,1,40.6067,3802318259966007189
btree16_bl_a64,256,1,14.3036,3802318259966007189
fusion16_w,256,1,39.6652,3802318259966007189
btree8_bl_a64,256,1,20.2667,3802318259966007189
btree8_a64,256,1,20.2652,3802318259966007189
fusion8_c,256,1,42.0532,3802318259966007189
sorted_array,256,1,13.2050,3802318259966007189
btree8,256,1,21.2875,3802318259966007189
fusion8_bf,256,1,43.5959,3802318259966007189
btree8_bl,256,2,22.3694,3802318259966007189
sorted_array,256,2,13.1027,3802318259966007189
btree16_bl_a64,256,2,14.1312,3802318259966007189
fusion8_c,256,2,42.1936,3802318259966007189
btree8_a64,256,2,20.6604,3802318259966007189
btree8,256,2,22.5037,3802318259966007189
fusion16_w,256,2,38.5452,3802318259966007189
fusion8,256,2,39.9185,3802318259966007189
fusion8_bf,256,2,43.2678,3802318259966007189
btree8_bl_a64,256,2,20.4651,3802318259966007189
fusion8_c,256,3,41.1407,3802318259966007189
fusion8_bf,256,3,42.4652,3802318259966007189
btree16_bl_a64,256,3,13.8931,3802318259966007189
btree8_bl_a64,256,3,19.9127,3802318259966007189
fusion8,256,3,39.1953,3802318259966007189
btree8,256,3,20.9824,3802318259966007189
sorted_array,256,3,12.8525,3802318259966007189
fusion16_w,256,3,38.7573,3802318259966007189
btree8_a64,256,3,20.3781,3802318259966007189
btree8_bl,256,3,22.0474,3802318259966007189
btree8_bl,256,4,21.9162,3802318259966007189
fusion16_w,256,4,38.5254,3802318259966007189
btree8_bl_a64,256,4,20.3400,3802318259966007189
btree16_bl_a64,256,4,14.1571,3802318259966007189
btree8,256,4,21.2067,3802318259966007189
fusion8,256,4,40.1016,3802318259966007189
fusion8_c,256,4,42.4667,3802318259966007189
fusion8_bf,256,4,43.3090,3802318259966007189
sorted_array,256,4,13.0753,3802318259966007189
btree8_a64,256,4,20.5750,3802318259966007189
fusion8_bf,256,5,43.5318,3802318259966007189
btree8,256,5,21.3455,3802318259966007189
btree8_a64,256,5,22.2061,3802318259966007189
btree8_bl,256,5,22.3724,3802318259966007189
btree16_bl_a64,256,5,14.1235,3802318259966007189
fusion8,256,5,39.3738,3802318259966007189
fusion16_w,256,5,38.2233,3802318259966007189
sorted_array,256,5,13.0936,3802318259966007189
btree8_bl_a64,256,5,20.2805,3802318259966007189
fusion8_c,256,5,42.0410,3802318259966007189
fusion8,256,6,39.8773,3802318259966007189
btree8_a64,256,6,19.8318,3802318259966007189
sorted_array,256,6,13.0264,3802318259966007189
btree8_bl,256,6,22.8043,3802318259966007189
btree16_bl_a64,256,6,14.5294,3802318259966007189
fusion8_bf,256,6,43.3624,3802318259966007189
fusion16_w,256,6,38.3575,3802318259966007189
btree8_bl_a64,256,6,20.3354,3802318259966007189
fusion8_c,256,6,41.8518,3802318259966007189
btree8,256,6,21.4005,3802318259966007189
fusion8_c,256,7,41.7252,3802318259966007189
fusion8_bf,256,7,43.1854,3802318259966007189
sorted_array,256,7,13.0966,3802318259966007189
btree8_bl,256,7,21.9986,3802318259966007189
btree8,256,7,21.4310,3802318259966007189
fusion16_w,256,7,38.4094,3802318259966007189
btree8_a64,256,7,20.2850,3802318259966007189
fusion8,256,7,41.2277,3802318259966007189
btree8_bl_a64,256,7,20.2774,3802318259966007189
btree16_bl_a64,256,7,14.7995,3802318259966007189
fusion8_c,256,8,42.2745,3802318259966007189
btree8_bl,256,8,22.1344,3802318259966007189
btree16_bl_a64,256,8,14.1891,3802318259966007189
fusion16_w,256,8,38.6230,3802318259966007189
btree8_bl_a64,256,8,20.2728,3802318259966007189
btree8,256,8,21.4310,3802318259966007189
btree8_a64,256,8,21.6064,3802318259966007189
fusion8_bf,256,8,43.5501,3802318259966007189
fusion8,256,8,39.3204,3802318259966007189
sorted_array,256,8,12.8952,3802318259966007189
fusion8_bf,256,9,43.3502,3802318259966007189
sorted_array,256,9,13.0981,3802318259966007189
btree8,256,9,20.9122,3802318259966007189
btree8_a64,256,9,21.8887,3802318259966007189
fusion16_w,256,9,38.3667,3802318259966007189
btree8_bl,256,9,22.0993,3802318259966007189
