structure,n,rep,ns_per_query,checksum
fusion8,256,0,36.3144,3802318259966007189
fusion8_c,256,0,37.6099,3802318259966007189
btree8_a64,256,0,20.0333,3802318259966007189
btree16_bl_a64,256,0,5.1300,3802318259966007189
btree8,256,0,22.9309,3802318259966007189
btree8_bl,256,0,13.4979,3802318259966007189
fusion16_w,256,0,27.9297,3802318259966007189
fusion8_bf,256,0,37.4466,3802318259966007189
btree8_bl_a64,256,0,11.7950,3802318259966007189
sorted_array,256,0,4.5151,3802318259966007189
btree8_bl,256,1,13.2843,3802318259966007189
fusion8,256,1,35.9207,3802318259966007189
btree16_bl_a64,256,1,5.0461,3802318259966007189
fusion16_w,256,1,28.1952,3802318259966007189
btree8_bl_a64,256,1,12.0239,3802318259966007189
btree8_a64,256,1,19.9936,3802318259966007189
fusion8_c,256,1,38.2812,3802318259966007189
sorted_array,256,1,4.4693,3802318259966007189
btree8,256,1,21.4096,3802318259966007189
fusion8_bf,256,1,38.7451,3802318259966007189
btree8_bl,256,2,13.3072,3802318259966007189
sorted_array,256,2,4.4586,3802318259966007189
btree16_bl_a64,256,2,4.9423,3802318259966007189
fusion8_c,256,2,37.1170,3802318259966007189
btree8_a64,256,2,20.0775,3802318259966007189
btree8,256,2,23.5580,3802318259966007189
fusion16_w,256,2,28.3234,3802318259966007189
fusion8,256,2,35.8337,3802318259966007189
fusion8_bf,256,2,37.8998,3802318259966007189
btree8_bl_a64,256,2,11.7310,3802318259966007189
fusion8_c,256,3,37.2528,3802318259966007189
fusion8_bf,256,3,37.3245,3802318259966007189
btree16_bl_a64,256,3,4.9454,3802318259966007189
btree8_bl_a64,256,3,11.7630,3802318259966007189
fusion8,256,3,35.5576,3802318259966007189
btree8,256,3,21.4111,3802318259966007189
sorted_array,256,3,4.4724,3802318259966007189
fusion16_w,256,3,27.8656,3802318259966007189
btree8_a64,256,3,19.8532,3802318259966007189
btree8_bl,256,3,13.3636,3802318259966007189
btree8_bl,256,4,13.2477,3802318259966007189
fusion16_w,256,4,27.7664,3802318259966007189
btree8_bl_a64,256,4,11.8225,3802318259966007189
btree16_bl_a64,256,4,4.8843,3802318259966007189
btree8,256,4,21.3348,3802318259966007189
fusion8,256,4,37.1796,3802318259966007189
fusion8_c,256,4,37.4130,3802318259966007189
fusion8_bf,256,4,37.7274,3802318259966007189
sorted_array,256,4,4.4678,3802318259966007189
btree8_a64,256,4,20.0836,3802318259966007189
fusion8_bf,256,5,38.2721,3802318259966007189
btree8,256,5,21.0327,3802318259966007189
btree8_a64,256,5,22.5220,3802318259966007189
btree8_bl,256,5,13.3560,3802318259966007189
btree16_bl_a64,256,5,5.0751,3802318259966007189
fusion8,256,5,36.1420,3802318259966007189
fusion16_w,256,5,27.7054,3802318259966007189
sorted_array,256,5,4.4693,3802318259966007189
btree8_bl_a64,256,5,11.8668,3802318259966007189
fusion8_c,256,5,37.1231,3802318259966007189
fusion8,256,6,35.7864,3802318259966007189
btree8_a64,256,6,19.8898,3802318259966007189
sorted_array,256,6,4.4708,3802318259966007189
btree8_bl,256,6,13.4201,3802318259966007189
btree16_bl_a64,256,6,5.0232,3802318259966007189
fusion8_bf,256,6,37.6312,3802318259966007189
fusion16_w,256,6,28.7842,3802318259966007189
btree8_bl_a64,256,6,11.6852,3802318259966007189
fusion8_c,256,6,36.3617,3802318259966007189
btree8,256,6,21.4676,3802318259966007189
fusion8_c,256,7,36.8469,3802318259966007189
fusion8_bf,256,7,39.0793,3802318259966007189
sorted_array,256,7,4.4632,3802318259966007189
btree8_bl,256,7,13.4781,3802318259966007189
btree8,256,7,21.3211,3802318259966007189
fusion16_w,256,7,27.4826,3802318259966007189
btree8_a64,256,7,19.9631,3802318259966007189
fusion8,256,7,38.2584,3802318259966007189
btree8_bl_a64,256,7,11.8576,3802318259966007189
btree16_bl_a64,256,7,5.1086,3802318259966007189
fusion8_c,256,8,37.1750,3802318259966007189
btree8_bl,256,8,13.4064,3802318259966007189
btree16_bl_a64,256,8,5.0461,3802318259966007189
fusion16_w,256,8,27.7527,3802318259966007189
btree8_bl_a64,256,8,11.9263,3802318259966007189
btree8,256,8,21.4127,3802318259966007189
btree8_a64,256,8,20.6543,3802318259966007189
fusion8_bf,256,8,39.5615,3802318259966007189
fusion8,256,8,35.8856,3802318259966007189
sorted_array,256,8,4.4739,3802318259966007189
fusion8_bf,256,9,37.5092,3802318259966007189
sorted_array,256,9,4.4785,3802318259966007189
btree8,256,9,21.6599,3802318259966007189
btree8_a64,256,9,22.2610,3802318259966007189
fusion16_w,256,9,27.7222,3802318259966007189
btree8_bl,256,9,13.3408,3802318259966007189
btree8_bl_a64,256,9,11.9446,3802318259966007189
btree16_bl_a64,256,9,4.8569,3802318259966007189
fusion8_c,256,9,37.1323,3802318259966007189
fusion8,256,9,35.9818,3802318259966007189
fusion8,256,10,35.7635,3802318259966007189
btree16_bl_a64,256,10,5.0262,3802318259966007189
btree8_bl_a64,256,10,12.0956,3802318259966007189
sorted_array,256,10,4.4724,3802318259966007189
fusion16_w,256,10,27.4734,3802318259966007189
btree8_bl,256,10,12.8845,3802318259966007189
fusion8_c,256,10,36.7813,3802318259966007189
btree8_a64,256,10,19.9600,3802318259966007189
btree8,256,10,22.9904,3802318259966007189
fusion8_bf,256,10,38.9511,3802318259966007189
fusion8,256,11,36.5524,3802318259966007189
btree8_a64,256,11,19.9173,3802318259966007189
fusion8_bf,256,11,38.6154,3802318259966007189
btree8,256,11,21.0617,3802318259966007189
btree8_bl_a64,256,11,11.9431,3802318259966007189
btree8_bl,256,11,13.4140,3802318259966007189
sorted_array,256,11,4.4785,3802318259966007189
fusion8_c,256,11,37.0773,3802318259966007189
btree16_bl_a64,256,11,5.0827,3802318259966007189
fusion16_w,256,11,27.7252,3802318259966007189
btree8_bl,256,12,13.3728,3802318259966007189
fusion16_w,256,12,27.8915,3802318259966007189
fusion8_bf,256,12,37.3764,3802318259966007189
fusion8,256,12,36.1176,3802318259966007189
sorted_array,256,12,4.4693,3802318259966007189
btree8_a64,256,12,20.0363,3802318259966007189
btree8_bl_a64,256,12,11.9675,3802318259966007189
fusion8_c,256,12,37.4695,3802318259966007189
btree16_bl_a64,256,12,5.0323,3802318259966007189
btree8,256,12,21.6232,3802318259966007189
fusion8,256,13,37.3001,3802318259966007189
fusion16_w,256,13,27.6688,3802318259966007189
btree8_a64,256,13,19.7952,3802318259966007189
fusion8_c,256,13,38.4338,3802318259966007189
btree8,256,13,21.5347,3802318259966007189
btree8_bl,256,13,13.3957,3802318259966007189
fusion8_bf,256,13,37.6526,3802318259966007189
btree16_bl_a64,256,13,5.0415,3802318259966007189
btree8_bl_a64,256,13,11.9232,3802318259966007189
sorted_array,256,13,4.4647,3802318259966007189
btree8_bl_a64,256,14,11.6577,3802318259966007189
fusion16_w,256,14,27.7710,3802318259966007189
btree8,256,14,21.3699,3802318259966007189
btree8_a64,256,14,19.9432,3802318259966007189
sorted_array,256,14,4.5059,3802318259966007189
btree8_bl,256,14,13.4491,3802318259966007189
btree16_bl_a64,256,14,4.7821,3802318259966007189
fusion8_bf,256,14,37.3932,3802318259966007189
fusion8,256,14,36.0748,3802318259966007189
fusion8_c,256,14,38.4216,3802318259966007189
fusion8_c,512,0,37.9883,18445980686323395203
btree8,512,0,24.2706,18445980686323395203
btree8_a64,512,0,24.4049,18445980686323395203
btree8_bl,512,0,9.1156,18445980686323395203
btree8_bl_a64,512,0,7.9742,18445980686323395203
fusion8,512,0,35.4843,18445980686323395203
sorted_array,512,0,5.0583,18445980686323395203
btree16_bl_a64,512,0,14.6973,18445980686323395203
fusion8_bf,512,0,38.2217,18445980686323395203
fusion16_w,512,0,43.3472,18445980686323395203
btree8_a64,512,1,22.7829,18445980686323395203
btree8,512,1,26.2024,18445980686323395203
fusion16_w,512,1,42.4698,18445980686323395203
fusion8,512,1,35.5911,18445980686323395203
btree8_bl,512,1,9.0317,18445980686323395203
btree16_bl_a64,512,1,14.7156,18445980686323395203
btree8_bl_a64,512,1,8.0109,18445980686323395203
fusion8_bf,512,1,38.1516,18445980686323395203
fusion8_c,512,1,37.7975,18445980686323395203
sorted_array,512,1,5.0552,18445980686323395203
fusion16_w,512,2,41.9601,18445980686323395203
