structure,n,rep,ns_per_query,checksum
sorted_array,256,0,5.1880,3802318259966007189
sorted_array,256,1,4.4998,3802318259966007189
sorted_array,256,2,4.5166,3802318259966007189
sorted_array,256,3,4.5425,3802318259966007189
sorted_array,256,4,4.5090,3802318259966007189
sorted_array,256,5,4.5059,3802318259966007189
sorted_array,256,6,4.5303,3802318259966007189
sorted_array,256,7,4.5013,3802318259966007189
sorted_array,256,8,4.4998,3802318259966007189
sorted_array,256,9,4.5166,3802318259966007189
sorted_array,256,10,4.5288,3802318259966007189
sorted_array,256,11,4.5013,3802318259966007189
sorted_array,256,12,4.5059,3802318259966007189
sorted_array,256,13,4.5273,3802318259966007189
sorted_array,256,14,4.5013,3802318259966007189
btree8,256,0,21.2677,3802318259966007189
btree8,256,1,20.9900,3802318259966007189
btree8,256,2,21.9788,3802318259966007189
btree8,256,3,21.3135,3802318259966007189
btree8,256,4,21.0495,3802318259966007189
btree8,256,5,20.8847,3802318259966007189
btree8,256,6,20.9320,3802318259966007189
btree8,256,7,20.9442,3802318259966007189
btree8,256,8,21.1929,3802318259966007189
btree8,256,9,20.9030,3802318259966007189
btree8,256,10,20.9198,3802318259966007189
btree8,256,11,20.9290,3802318259966007189
btree8,256,12,20.8313,3802318259966007189
btree8,256,13,20.8145,3802318259966007189
btree8,256,14,20.8984,3802318259966007189
btree8_bl,256,0,17.8772,3802318259966007189
btree8_bl,256,1,17.6804,3802318259966007189
btree8_bl,256,2,17.5903,3802318259966007189
btree8_bl,256,3,17.2745,3802318259966007189
btree8_bl,256,4,17.3874,3802318259966007189
btree8_bl,256,5,17.8284,3802318259966007189
btree8_bl,256,6,17.2729,3802318259966007189
btree8_bl,256,7,17.3569,3802318259966007189
btree8_bl,256,8,17.1631,3802318259966007189
btree8_bl,256,9,17.0822,3802318259966007189
btree8_bl,256,10,17.1768,3802318259966007189
btree8_bl,256,11,17.0853,3802318259966007189
btree8_bl,256,12,18.4097,3802318259966007189
btree8_bl,256,13,17.1234,3802318259966007189
btree8_bl,256,14,17.1814,3802318259966007189
fusion8,256,0,36.0489,3802318259966007189
fusion8,256,1,35.8368,3802318259966007189
fusion8,256,2,35.9726,3802318259966007189
fusion8,256,3,35.8322,3802318259966007189
fusion8,256,4,35.5606,3802318259966007189
