structure,n,rep,ns_per_query,checksum
sorted_array,256,0,7.2937,3802318259966007189
btree8,256,0,24.8413,3802318259966007189
fusion8,256,0,42.5720,3802318259966007189
btree8_bl,256,0,27.5558,3802318259966007189
fusion8,256,1,42.1829,3802318259966007189
btree8_bl,256,1,27.5101,3802318259966007189
btree8,256,1,24.6277,3802318259966007189
sorted_array,256,1,7.3013,3802318259966007189
sorted_array,256,2,7.2418,3802318259966007189
fusion8,256,2,42.3553,3802318259966007189
btree8_bl,256,2,27.6138,3802318259966007189
btree8,256,2,24.6719,3802318259966007189
fusion8,256,3,42.7765,3802318259966007189
btree8,256,3,24.6490,3802318259966007189
btree8_bl,256,3,28.9932,3802318259966007189
sorted_array,256,3,7.7713,3802318259966007189
fusion8,256,4,44.3237,3802318259966007189
btree8_bl,256,4,33.7402,3802318259966007189
sorted_array,256,4,11.8546,3802318259966007189
btree8,256,4,27.8534,3802318259966007189
fusion8,256,5,42.9337,3802318259966007189
btree8_bl,256,5,27.3621,3802318259966007189
sorted_array,256,5,7.3761,3802318259966007189
btree8,256,5,24.8734,3802318259966007189
fusion8,256,6,42.6941,3802318259966007189
btree8,256,6,24.5026,3802318259966007189
btree8_bl,256,6,27.4628,3802318259966007189
sorted_array,256,6,7.3608,3802318259966007189
fusion8,256,7,42.7750,3802318259966007189
btree8,256,7,24.4583,3802318259966007189
btree8_bl,256,7,27.6382,3802318259966007189
sorted_array,256,7,7.2937,3802318259966007189
sorted_array,256,8,7.4814,3802318259966007189
btree8_bl,256,8,28.1113,3802318259966007189
btree8,256,8,24.6658,3802318259966007189
fusion8,256,8,42.5140,3802318259966007189
btree8,256,9,24.5361,3802318259966007189
fusion8,256,9,42.6804,3802318259966007189
sorted_array,256,9,7.2449,3802318259966007189
btree8_bl,256,9,27.2186,3802318259966007189
btree8,256,10,24.8093,3802318259966007189
fusion8,256,10,43.5898,3802318259966007189
btree8_bl,256,10,27.3026,3802318259966007189
sorted_array,256,10,7.3456,3802318259966007189
sorted_array,256,11,7.2433,3802318259966007189
fusion8,256,11,41.7099,3802318259966007189
btree8,256,11,24.8871,3802318259966007189
btree8_bl,256,11,27.4384,3802318259966007189
btree8,256,12,24.9710,3802318259966007189
sorted_array,256,12,7.2418,3802318259966007189
fusion8,256,12,42.7353,3802318259966007189
btree8_bl,256,12,40.5396,3802318259966007189
btree8_bl,256,13,27.3209,3802318259966007189
fusion8,256,13,41.9556,3802318259966007189
btree8,256,13,24.8215,3802318259966007189
sorted_array,256,13,7.2433,3802318259966007189
fusion8,256,14,42.4667,3802318259966007189
sorted_array,256,14,7.4265,3802318259966007189
btree8,256,14,24.6552,3802318259966007189
btree8_bl,256,14,27.7374,3802318259966007189
sorted_array,512,0,8.3298,18445980686323395203
btree8_bl,512,0,22.8668,18445980686323395203
btree8,512,0,28.2806,18445980686323395203
fusion8,512,0,42.6132,18445980686323395203
sorted_array,512,1,8.3252,18445980686323395203
btree8_bl,512,1,22.7036,18445980686323395203
fusion8,512,1,41.8655,18445980686323395203
btree8,512,1,27.7573,18445980686323395203
sorted_array,512,2,8.6533,18445980686323395203
fusion8,512,2,42.5262,18445980686323395203
btree8,512,2,27.5452,18445980686323395203
btree8_bl,512,2,22.7188,18445980686323395203
sorted_array,512,3,8.4259,18445980686323395203
fusion8,512,3,42.6102,18445980686323395203
btree8_bl,512,3,22.6883,18445980686323395203
btree8,512,3,27.8503,18445980686323395203
btree8,512,4,27.4704,18445980686323395203
fusion8,512,4,42.4683,18445980686323395203
sorted_array,512,4,8.3267,18445980686323395203
btree8_bl,512,4,22.8210,18445980686323395203
btree8,512,5,27.7939,18445980686323395203
btree8_bl,512,5,22.6624,18445980686323395203
sorted_array,512,5,8.3740,18445980686323395203
fusion8,512,5,42.2440,18445980686323395203
btree8,512,6,27.4872,18445980686323395203
btree8_bl,512,6,23.0484,18445980686323395203
sorted_array,512,6,8.3267,18445980686323395203
fusion8,512,6,42.3096,18445980686323395203
fusion8,512,7,41.9113,18445980686323395203
sorted_array,512,7,8.3252,18445980686323395203
btree8,512,7,27.7023,18445980686323395203
btree8_bl,512,7,22.7127,18445980686323395203
btree8_bl,512,8,22.7081,18445980686323395203
fusion8,512,8,42.8345,18445980686323395203
btree8,512,8,27.9251,18445980686323395203
sorted_array,512,8,8.3267,18445980686323395203
btree8,512,9,27.5543,18445980686323395203
sorted_array,512,9,8.3252,18445980686323395203
fusion8,512,9,42.1341,18445980686323395203
btree8_bl,512,9,22.9263,18445980686323395203
btree8,512,10,27.6016,18445980686323395203
btree8_bl,512,10,22.6685,18445980686323395203
fusion8,512,10,42.2607,18445980686323395203
sorted_array,512,10,8.3267,18445980686323395203
fusion8,512,11,42.0364,18445980686323395203
btree8_bl,512,11,22.7814,18445980686323395203
btree8,512,11,27.8107,18445980686323395203
sorted_array,512,11,8.3282,18445980686323395203
sorted_array,512,12,8.3878,18445980686323395203
btree8_bl,512,12,22.5433,18445980686323395203
btree8,512,12,27.7817,18445980686323395203
fusion8,512,12,42.4393,18445980686323395203
sorted_array,512,13,8.3252,18445980686323395203
btree8,512,13,27.8442,18445980686323395203
btree8_bl,512,13,22.7417,18445980686323395203
fusion8,512,13,42.1402,18445980686323395203
fusion8,512,14,41.7740,18445980686323395203
btree8_bl,512,14,22.6868,18445980686323395203
sorted_array,512,14,8.3252,18445980686323395203
btree8,512,14,27.8809,18445980686323395203
btree8,1024,0,32.6492,13330139387826418850
fusion8,1024,0,53.0914,13330139387826418850
btree8_bl,1024,0,39.3082,13330139387826418850
sorted_array,1024,0,9.3445,13330139387826418850
sorted_array,1024,1,9.4894,13330139387826418850
fusion8,1024,1,51.5762,13330139387826418850
btree8_bl,1024,1,39.1876,13330139387826418850
btree8,1024,1,32.2662,13330139387826418850
sorted_array,1024,2,9.6725,13330139387826418850
btree8,1024,2,32.1823,13330139387826418850
btree8_bl,1024,2,39.0213,13330139387826418850
fusion8,1024,2,53.2257,13330139387826418850
btree8,1024,3,32.5867,13330139387826418850
sorted_array,1024,3,9.4742,13330139387826418850
fusion8,1024,3,52.9999,13330139387826418850
btree8_bl,1024,3,38.8779,13330139387826418850
sorted_array,1024,4,9.3399,13330139387826418850
btree8_bl,1024,4,38.9786,13330139387826418850
fusion8,1024,4,51.7395,13330139387826418850
btree8,1024,4,32.2922,13330139387826418850
sorted_array,1024,5,9.7519,13330139387826418850
btree8_bl,1024,5,39.2990,13330139387826418850
btree8,1024,5,32.4020,13330139387826418850
fusion8,1024,5,53.3905,13330139387826418850
sorted_array,1024,6,9.3414,13330139387826418850
btree8_bl,1024,6,39.5660,13330139387826418850
btree8,1024,6,32.5150,13330139387826418850
fusion8,1024,6,60.0998,13330139387826418850
btree8_bl,1024,7,38.9343,13330139387826418850
btree8,1024,7,32.4326,13330139387826418850
sorted_array,1024,7,9.3384,13330139387826418850
fusion8,1024,7,53.2883,13330139387826418850
btree8_bl,1024,8,38.8336,13330139387826418850
fusion8,1024,8,52.0844,13330139387826418850
sorted_array,1024,8,9.3430,13330139387826418850
btree8,1024,8,32.4554,13330139387826418850
sorted_array,1024,9,9.5383,13330139387826418850
btree8,1024,9,32.3273,13330139387826418850
btree8_bl,1024,9,39.0076,13330139387826418850
fusion8,1024,9,53.1494,13330139387826418850
btree8_bl,1024,10,38.8016,13330139387826418850
btree8,1024,10,32.8720,13330139387826418850
fusion8,1024,10,53.1952,13330139387826418850
sorted_array,1024,10,9.3491,13330139387826418850
sorted_array,1024,11,9.5398,13330139387826418850
fusion8,1024,11,51.6647,13330139387826418850
btree8,1024,11,32.5211,13330139387826418850
btree8_bl,1024,11,39.5050,13330139387826418850
btree8_bl,1024,12,40.0620,13330139387826418850
fusion8,1024,12,53.9429,13330139387826418850
btree8,1024,12,32.4478,13330139387826418850
sorted_array,1024,12,9.3567,13330139387826418850
fusion8,1024,13,53.4531,13330139387826418850
sorted_array,1024,13,9.3430,13330139387826418850
btree8_bl,1024,13,39.0778,13330139387826418850
btree8,1024,13,33.9874,13330139387826418850
btree8,1024,14,32.1320,13330139387826418850
btree8_bl,1024,14,39.1754,13330139387826418850
fusion8,1024,14,52.5787,13330139387826418850
sorted_array,1024,14,9.3414,13330139387826418850
btree8,2048,0,37.0148,8649855807846794996
btree8_bl,2048,0,40.3076,8649855807846794996
sorted_array,2048,0,10.6186,8649855807846794996
fusion8,2048,0,63.1973,8649855807846794996
btree8_bl,2048,1,40.2206,8649855807846794996
fusion8,2048,1,61.4731,8649855807846794996
sorted_array,2048,1,10.6705,8649855807846794996
btree8,2048,1,36.7996,8649855807846794996
fusion8,2048,2,62.6953,8649855807846794996
sorted_array,2048,2,10.6079,8649855807846794996
btree8,2048,2,36.9492,8649855807846794996
btree8_bl,2048,2,40.2100,8649855807846794996
btree8_bl,2048,3,40.0009,8649855807846794996
sorted_array,2048,3,10.6644,8649855807846794996
btree8,2048,3,37.0667,8649855807846794996
fusion8,2048,3,62.8418,8649855807846794996
sorted_array,2048,4,10.6094,8649855807846794996
btree8_bl,2048,4,41.3757,8649855807846794996
fusion8,2048,4,61.3983,8649855807846794996
btree8,2048,4,36.7065,8649855807846794996
btree8,2048,5,36.5784,8649855807846794996
btree8_bl,2048,5,40.0665,8649855807846794996
sorted_array,2048,5,10.6659,8649855807846794996
fusion8,2048,5,62.8036,8649855807846794996
btree8_bl,2048,6,39.9979,8649855807846794996
btree8,2048,6,36.5021,8649855807846794996
fusion8,2048,6,62.6083,8649855807846794996
sorted_array,2048,6,10.7162,8649855807846794996
sorted_array,2048,7,10.6033,8649855807846794996
fusion8,2048,7,61.4929,8649855807846794996
btree8,2048,7,37.0056,8649855807846794996
btree8_bl,2048,7,40.0864,8649855807846794996
btree8,2048,8,36.7432,8649855807846794996
