structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0630,3802318259966007189
btree8,256,0,23.3688,3802318259966007189
fusion8,256,0,40.5441,3802318259966007189
btree8_bl,256,0,27.2079,3802318259966007189
fusion8,256,1,39.7263,3802318259966007189
btree8_bl,256,1,27.1927,3802318259966007189
btree8,256,1,21.3593,3802318259966007189
sorted_array,256,1,13.1714,3802318259966007189
sorted_array,256,2,13.0600,3802318259966007189
fusion8,256,2,40.7684,3802318259966007189
btree8_bl,256,2,27.1561,3802318259966007189
btree8,256,2,23.0240,3802318259966007189
fusion8,256,3,40.8066,3802318259966007189
btree8,256,3,21.3104,3802318259966007189
btree8_bl,256,3,26.9501,3802318259966007189
sorted_array,256,3,13.0661,3802318259966007189
fusion8,256,4,40.0574,3802318259966007189
btree8_bl,256,4,27.1973,3802318259966007189
sorted_array,256,4,13.0905,3802318259966007189
btree8,256,4,26.8265,3802318259966007189
fusion8,256,5,40.5807,3802318259966007189
btree8_bl,256,5,27.8793,3802318259966007189
sorted_array,256,5,13.0371,3802318259966007189
btree8,256,5,21.4355,3802318259966007189
fusion8,256,6,40.2512,3802318259966007189
btree8,256,6,23.1003,3802318259966007189
btree8_bl,256,6,27.3682,3802318259966007189
sorted_array,256,6,13.0295,3802318259966007189
fusion8,256,7,43.7057,3802318259966007189
btree8,256,7,21.3074,3802318259966007189
btree8_bl,256,7,27.0447,3802318259966007189
sorted_array,256,7,13.0264,3802318259966007189
sorted_array,256,8,13.0859,3802318259966007189
btree8_bl,256,8,27.0477,3802318259966007189
btree8,256,8,21.3043,3802318259966007189
fusion8,256,8,39.9841,3802318259966007189
btree8,256,9,21.1578,3802318259966007189
fusion8,256,9,40.0864,3802318259966007189
sorted_array,256,9,13.0035,3802318259966007189
btree8_bl,256,9,27.0370,3802318259966007189
btree8,256,10,21.2311,3802318259966007189
fusion8,256,10,40.3381,3802318259966007189
btree8_bl,256,10,27.0065,3802318259966007189
sorted_array,256,10,13.0066,3802318259966007189
sorted_array,256,11,13.1744,3802318259966007189
fusion8,256,11,41.6977,3802318259966007189
btree8,256,11,21.6309,3802318259966007189
btree8_bl,256,11,28.6865,3802318259966007189
btree8,256,12,21.5820,3802318259966007189
sorted_array,256,12,13.0035,3802318259966007189
fusion8,256,12,42.4881,3802318259966007189
btree8_bl,256,12,27.1744,3802318259966007189
btree8_bl,256,13,27.0584,3802318259966007189
fusion8,256,13,39.2075,3802318259966007189
btree8,256,13,21.6873,3802318259966007189
sorted_array,256,13,14.1037,3802318259966007189
fusion8,256,14,40.1947,3802318259966007189
sorted_array,256,14,13.0173,3802318259966007189
btree8,256,14,21.2616,3802318259966007189
btree8_bl,256,14,27.0859,3802318259966007189
sorted_array,512,0,14.6469,18445980686323395203
btree8_bl,512,0,26.3992,18445980686323395203
btree8,512,0,24.8337,18445980686323395203
fusion8,512,0,44.5206,18445980686323395203
sorted_array,512,1,14.5645,18445980686323395203
btree8_bl,512,1,31.7108,18445980686323395203
fusion8,512,1,70.3094,18445980686323395203
btree8,512,1,24.4232,18445980686323395203
sorted_array,512,2,15.8829,18445980686323395203
fusion8,512,2,41.5115,18445980686323395203
btree8,512,2,26.7838,18445980686323395203
btree8_bl,512,2,26.0345,18445980686323395203
sorted_array,512,3,14.4684,18445980686323395203
fusion8,512,3,40.1382,18445980686323395203
btree8_bl,512,3,25.9644,18445980686323395203
btree8,512,3,24.1776,18445980686323395203
btree8,512,4,25.2090,18445980686323395203
fusion8,512,4,48.5764,18445980686323395203
sorted_array,512,4,14.4424,18445980686323395203
btree8_bl,512,4,25.8728,18445980686323395203
btree8,512,5,23.9441,18445980686323395203
btree8_bl,512,5,25.8392,18445980686323395203
sorted_array,512,5,14.4699,18445980686323395203
fusion8,512,5,40.1306,18445980686323395203
btree8,512,6,24.3103,18445980686323395203
btree8_bl,512,6,26.1917,18445980686323395203
sorted_array,512,6,14.5325,18445980686323395203
fusion8,512,6,40.5991,18445980686323395203
fusion8,512,7,39.8438,18445980686323395203
sorted_array,512,7,14.4928,18445980686323395203
btree8,512,7,24.2218,18445980686323395203
btree8_bl,512,7,26.8478,18445980686323395203
btree8_bl,512,8,29.0161,18445980686323395203
fusion8,512,8,39.7720,18445980686323395203
btree8,512,8,25.7690,18445980686323395203
sorted_array,512,8,19.7037,18445980686323395203
btree8,512,9,24.1608,18445980686323395203
sorted_array,512,9,15.8020,18445980686323395203
fusion8,512,9,41.0583,18445980686323395203
btree8_bl,512,9,27.2293,18445980686323395203
btree8,512,10,24.0067,18445980686323395203
btree8_bl,512,10,28.9749,18445980686323395203
fusion8,512,10,40.1230,18445980686323395203
sorted_array,512,10,14.4394,18445980686323395203
fusion8,512,11,40.6845,18445980686323395203
btree8_bl,512,11,31.1218,18445980686323395203
btree8,512,11,24.8215,18445980686323395203
sorted_array,512,11,14.6881,18445980686323395203
sorted_array,512,12,15.4251,18445980686323395203
btree8_bl,512,12,26.0239,18445980686323395203
btree8,512,12,24.2935,18445980686323395203
fusion8,512,12,48.6954,18445980686323395203
sorted_array,512,13,15.0131,18445980686323395203
btree8,512,13,24.5224,18445980686323395203
btree8_bl,512,13,26.0590,18445980686323395203
fusion8,512,13,40.1474,18445980686323395203
fusion8,512,14,39.5386,18445980686323395203
btree8_bl,512,14,25.7736,18445980686323395203
sorted_array,512,14,14.4684,18445980686323395203
btree8,512,14,25.3235,18445980686323395203
btree8,1024,0,27.0218,13330139387826418850
fusion8,1024,0,49.5392,13330139387826418850
btree8_bl,1024,0,33.4915,13330139387826418850
sorted_array,1024,0,15.8768,13330139387826418850
sorted_array,1024,1,15.8127,13330139387826418850
fusion8,1024,1,54.7546,13330139387826418850
btree8_bl,1024,1,34.9045,13330139387826418850
btree8,1024,1,32.4570,13330139387826418850
sorted_array,1024,2,17.9077,13330139387826418850
btree8,1024,2,26.6312,13330139387826418850
btree8_bl,1024,2,33.7158,13330139387826418850
fusion8,1024,2,48.5962,13330139387826418850
btree8,1024,3,27.3376,13330139387826418850
sorted_array,1024,3,15.9210,13330139387826418850
fusion8,1024,3,62.2269,13330139387826418850
btree8_bl,1024,3,33.8837,13330139387826418850
sorted_array,1024,4,16.8976,13330139387826418850
