structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.5425,3802318259966007189
btree8,256,0,21.2036,3802318259966007189
fusion8,256,0,45.4102,3802318259966007189
btree8_bl,256,0,18.1213,3802318259966007189
fusion8,256,1,45.2820,3802318259966007189
btree8_bl,256,1,18.6646,3802318259966007189
btree8,256,1,21.0724,3802318259966007189
sorted_array,256,1,4.5380,3802318259966007189
sorted_array,256,2,4.5319,3802318259966007189
fusion8,256,2,44.2413,3802318259966007189
btree8_bl,256,2,17.6895,3802318259966007189
btree8,256,2,21.0892,3802318259966007189
fusion8,256,3,44.3848,3802318259966007189
btree8,256,3,20.9656,3802318259966007189
btree8_bl,256,3,17.7231,3802318259966007189
sorted_array,256,3,4.5181,3802318259966007189
fusion8,256,4,44.0430,3802318259966007189
btree8_bl,256,4,17.6453,3802318259966007189
sorted_array,256,4,4.5212,3802318259966007189
btree8,256,4,20.9763,3802318259966007189
fusion8,256,5,44.1010,3802318259966007189
btree8_bl,256,5,21.3364,3802318259966007189
sorted_array,256,5,4.5242,3802318259966007189
btree8,256,5,20.9396,3802318259966007189
fusion8,256,6,43.9941,3802318259966007189
btree8,256,6,22.0154,3802318259966007189
btree8_bl,256,6,17.7841,3802318259966007189
sorted_array,256,6,4.5822,3802318259966007189
fusion8,256,7,44.0689,3802318259966007189
btree8,256,7,20.9793,3802318259966007189
btree8_bl,256,7,17.6590,3802318259966007189
sorted_array,256,7,4.5212,3802318259966007189
sorted_array,256,8,4.5151,3802318259966007189
btree8_bl,256,8,17.5781,3802318259966007189
btree8,256,8,20.8389,3802318259966007189
fusion8,256,8,44.5099,3802318259966007189
btree8,256,9,21.0388,3802318259966007189
fusion8,256,9,44.1391,3802318259966007189
sorted_array,256,9,4.5181,3802318259966007189
btree8_bl,256,9,17.7582,3802318259966007189
btree8,256,10,21.0419,3802318259966007189
fusion8,256,10,44.2673,3802318259966007189
btree8_bl,256,10,17.6025,3802318259966007189
sorted_array,256,10,4.5319,3802318259966007189
sorted_array,256,11,4.5624,3802318259966007189
fusion8,256,11,43.6203,3802318259966007189
btree8,256,11,21.0510,3802318259966007189
btree8_bl,256,11,17.6147,3802318259966007189
btree8,256,12,20.7657,3802318259966007189
sorted_array,256,12,4.5227,3802318259966007189
fusion8,256,12,44.1238,3802318259966007189
btree8_bl,256,12,17.5446,3802318259966007189
btree8_bl,256,13,17.6071,3802318259966007189
fusion8,256,13,44.4138,3802318259966007189
btree8,256,13,21.0861,3802318259966007189
sorted_array,256,13,4.8172,3802318259966007189
fusion8,256,14,58.5953,3802318259966007189
sorted_array,256,14,4.8569,3802318259966007189
btree8,256,14,21.2906,3802318259966007189
btree8_bl,256,14,17.7307,3802318259966007189
sorted_array,512,0,5.1666,18445980686323395203
btree8_bl,512,0,11.9965,18445980686323395203
btree8,512,0,24.0585,18445980686323395203
fusion8,512,0,46.1380,18445980686323395203
sorted_array,512,1,5.1697,18445980686323395203
btree8_bl,512,1,11.9858,18445980686323395203
fusion8,512,1,47.0078,18445980686323395203
btree8,512,1,23.8693,18445980686323395203
sorted_array,512,2,5.1071,18445980686323395203
fusion8,512,2,45.8420,18445980686323395203
btree8,512,2,23.7900,18445980686323395203
btree8_bl,512,2,11.9263,18445980686323395203
sorted_array,512,3,5.1392,18445980686323395203
fusion8,512,3,45.7397,18445980686323395203
btree8_bl,512,3,12.0438,18445980686323395203
btree8,512,3,24.0875,18445980686323395203
btree8,512,4,23.8953,18445980686323395203
fusion8,512,4,45.6512,18445980686323395203
sorted_array,512,4,5.1819,18445980686323395203
btree8_bl,512,4,11.9064,18445980686323395203
btree8,512,5,23.8861,18445980686323395203
btree8_bl,512,5,11.7706,18445980686323395203
sorted_array,512,5,5.2078,18445980686323395203
fusion8,512,5,45.7138,18445980686323395203
