structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4800,3802318259966007189
btree8,256,0,20.8832,3802318259966007189
fusion8,256,0,38.4094,3802318259966007189
btree8_bl,256,0,17.6208,3802318259966007189
fusion8,256,1,36.4700,3802318259966007189
btree8_bl,256,1,17.5461,3802318259966007189
btree8,256,1,20.9518,3802318259966007189
sorted_array,256,1,4.4937,3802318259966007189
sorted_array,256,2,4.5425,3802318259966007189
fusion8,256,2,39.1983,3802318259966007189
btree8_bl,256,2,17.7658,3802318259966007189
btree8,256,2,20.7825,3802318259966007189
fusion8,256,3,38.9801,3802318259966007189
btree8,256,3,20.9595,3802318259966007189
btree8_bl,256,3,17.7170,3802318259966007189
sorted_array,256,3,4.4891,3802318259966007189
fusion8,256,4,37.0193,3802318259966007189
btree8_bl,256,4,17.5491,3802318259966007189
sorted_array,256,4,4.4937,3802318259966007189
btree8,256,4,20.9167,3802318259966007189
fusion8,256,5,38.8168,3802318259966007189
btree8_bl,256,5,17.7719,3802318259966007189
sorted_array,256,5,4.4861,3802318259966007189
btree8,256,5,23.6542,3802318259966007189
fusion8,256,6,38.2080,3802318259966007189
btree8,256,6,21.1594,3802318259966007189
btree8_bl,256,6,17.5522,3802318259966007189
sorted_array,256,6,4.5074,3802318259966007189
fusion8,256,7,38.2782,3802318259966007189
btree8,256,7,20.8405,3802318259966007189
btree8_bl,256,7,17.7536,3802318259966007189
sorted_array,256,7,4.4891,3802318259966007189
sorted_array,256,8,4.4708,3802318259966007189
btree8_bl,256,8,17.6971,3802318259966007189
btree8,256,8,20.8923,3802318259966007189
fusion8,256,8,39.0594,3802318259966007189
btree8,256,9,20.9030,3802318259966007189
fusion8,256,9,43.4265,3802318259966007189
sorted_array,256,9,4.5166,3802318259966007189
btree8_bl,256,9,17.7383,3802318259966007189
btree8,256,10,21.0678,3802318259966007189
fusion8,256,10,38.0783,3802318259966007189
btree8_bl,256,10,18.2617,3802318259966007189
sorted_array,256,10,4.4815,3802318259966007189
sorted_array,256,11,4.4800,3802318259966007189
fusion8,256,11,35.9894,3802318259966007189
btree8,256,11,21.2006,3802318259966007189
btree8_bl,256,11,17.5797,3802318259966007189
btree8,256,12,20.8801,3802318259966007189
sorted_array,256,12,4.4846,3802318259966007189
fusion8,256,12,38.9862,3802318259966007189
btree8_bl,256,12,17.4850,3802318259966007189
btree8_bl,256,13,17.6956,3802318259966007189
fusion8,256,13,36.6943,3802318259966007189
btree8,256,13,21.0709,3802318259966007189
sorted_array,256,13,4.5044,3802318259966007189
fusion8,256,14,36.0138,3802318259966007189
sorted_array,256,14,4.4769,3802318259966007189
btree8,256,14,20.8740,3802318259966007189
btree8_bl,256,14,17.6346,3802318259966007189
sorted_array,512,0,5.0629,18445980686323395203
btree8_bl,512,0,11.8195,18445980686323395203
btree8,512,0,23.9944,18445980686323395203
fusion8,512,0,38.1256,18445980686323395203
sorted_array,512,1,5.0919,18445980686323395203
btree8_bl,512,1,12.0346,18445980686323395203
fusion8,512,1,36.2152,18445980686323395203
btree8,512,1,24.2325,18445980686323395203
sorted_array,512,2,5.0903,18445980686323395203
fusion8,512,2,35.6705,18445980686323395203
btree8,512,2,24.4232,18445980686323395203
btree8_bl,512,2,11.8927,18445980686323395203
sorted_array,512,3,5.1254,18445980686323395203
fusion8,512,3,36.4136,18445980686323395203
btree8_bl,512,3,11.7554,18445980686323395203
btree8,512,3,24.0662,18445980686323395203
btree8,512,4,23.8571,18445980686323395203
fusion8,512,4,37.4878,18445980686323395203
sorted_array,512,4,5.1392,18445980686323395203
btree8_bl,512,4,11.9675,18445980686323395203
btree8,512,5,23.9716,18445980686323395203
btree8_bl,512,5,11.8195,18445980686323395203
sorted_array,512,5,5.0751,18445980686323395203
fusion8,512,5,36.6104,18445980686323395203
btree8,512,6,24.3515,18445980686323395203
btree8_bl,512,6,12.1552,18445980686323395203
sorted_array,512,6,5.0797,18445980686323395203
fusion8,512,6,36.6379,18445980686323395203
fusion8,512,7,35.7712,18445980686323395203
sorted_array,512,7,5.1239,18445980686323395203
btree8,512,7,24.4293,18445980686323395203
btree8_bl,512,7,11.9217,18445980686323395203
btree8_bl,512,8,11.7798,18445980686323395203
fusion8,512,8,36.0931,18445980686323395203
btree8,512,8,24.1730,18445980686323395203
sorted_array,512,8,5.0766,18445980686323395203
btree8,512,9,24.0311,18445980686323395203
sorted_array,512,9,5.0797,18445980686323395203
fusion8,512,9,37.4451,18445980686323395203
btree8_bl,512,9,11.8698,18445980686323395203
btree8,512,10,23.6649,18445980686323395203
btree8_bl,512,10,11.8301,18445980686323395203
fusion8,512,10,36.5051,18445980686323395203
sorted_array,512,10,5.0812,18445980686323395203
fusion8,512,11,35.9558,18445980686323395203
btree8_bl,512,11,12.4573,18445980686323395203
btree8,512,11,23.9349,18445980686323395203
sorted_array,512,11,5.0797,18445980686323395203
sorted_array,512,12,5.0674,18445980686323395203
btree8_bl,512,12,11.9507,18445980686323395203
btree8,512,12,23.7030,18445980686323395203
fusion8,512,12,35.9589,18445980686323395203
sorted_array,512,13,5.0797,18445980686323395203
btree8,512,13,23.7045,18445980686323395203
btree8_bl,512,13,11.9644,18445980686323395203
fusion8,512,13,36.0519,18445980686323395203
fusion8,512,14,35.5545,18445980686323395203
btree8_bl,512,14,11.6898,18445980686323395203
sorted_array,512,14,5.0919,18445980686323395203
btree8,512,14,23.7488,18445980686323395203
btree8,1024,0,27.8046,13330139387826418850
fusion8,1024,0,48.4970,13330139387826418850
btree8_bl,1024,0,27.5391,13330139387826418850
sorted_array,1024,0,5.6839,13330139387826418850
sorted_array,1024,1,5.6747,13330139387826418850
fusion8,1024,1,46.2830,13330139387826418850
btree8_bl,1024,1,27.3224,13330139387826418850
btree8,1024,1,26.4771,13330139387826418850
sorted_array,1024,2,5.7358,13330139387826418850
btree8,1024,2,26.4130,13330139387826418850
btree8_bl,1024,2,27.5711,13330139387826418850
fusion8,1024,2,47.6364,13330139387826418850
btree8,1024,3,26.3870,13330139387826418850
sorted_array,1024,3,5.6854,13330139387826418850
fusion8,1024,3,47.4640,13330139387826418850
btree8_bl,1024,3,27.4796,13330139387826418850
sorted_array,1024,4,5.6778,13330139387826418850
btree8_bl,1024,4,27.2797,13330139387826418850
fusion8,1024,4,44.5679,13330139387826418850
btree8,1024,4,26.3412,13330139387826418850
sorted_array,1024,5,5.6778,13330139387826418850
btree8_bl,1024,5,27.4963,13330139387826418850
btree8,1024,5,26.2772,13330139387826418850
fusion8,1024,5,47.0169,13330139387826418850
sorted_array,1024,6,5.7083,13330139387826418850
btree8_bl,1024,6,27.5528,13330139387826418850
btree8,1024,6,26.7273,13330139387826418850
fusion8,1024,6,47.1542,13330139387826418850
btree8_bl,1024,7,27.5665,13330139387826418850
btree8,1024,7,26.6495,13330139387826418850
sorted_array,1024,7,5.6824,13330139387826418850
fusion8,1024,7,47.9340,13330139387826418850
btree8_bl,1024,8,27.5436,13330139387826418850
fusion8,1024,8,44.6808,13330139387826418850
sorted_array,1024,8,5.6839,13330139387826418850
btree8,1024,8,26.5656,13330139387826418850
sorted_array,1024,9,5.7098,13330139387826418850
btree8,1024,9,26.4847,13330139387826418850
btree8_bl,1024,9,27.4872,13330139387826418850
fusion8,1024,9,46.2753,13330139387826418850
btree8_bl,1024,10,27.4963,13330139387826418850
btree8,1024,10,26.4389,13330139387826418850
fusion8,1024,10,47.4609,13330139387826418850
sorted_array,1024,10,5.7053,13330139387826418850
sorted_array,1024,11,5.6747,13330139387826418850
fusion8,1024,11,44.3604,13330139387826418850
btree8,1024,11,26.3885,13330139387826418850
btree8_bl,1024,11,27.6566,13330139387826418850
btree8_bl,1024,12,27.6871,13330139387826418850
fusion8,1024,12,46.8369,13330139387826418850
btree8,1024,12,26.2848,13330139387826418850
sorted_array,1024,12,5.7007,13330139387826418850
fusion8,1024,13,47.3495,13330139387826418850
sorted_array,1024,13,5.7297,13330139387826418850
btree8_bl,1024,13,28.5583,13330139387826418850
btree8,1024,13,27.2064,13330139387826418850
btree8,1024,14,26.0483,13330139387826418850
btree8_bl,1024,14,27.4734,13330139387826418850
fusion8,1024,14,46.2128,13330139387826418850
sorted_array,1024,14,5.6824,13330139387826418850
btree8,2048,0,30.9448,8649855807846794996
btree8_bl,2048,0,24.6658,8649855807846794996
sorted_array,2048,0,6.4774,8649855807846794996
fusion8,2048,0,52.3148,8649855807846794996
btree8_bl,2048,1,24.5071,8649855807846794996
fusion8,2048,1,52.6169,8649855807846794996
sorted_array,2048,1,6.3705,8649855807846794996
btree8,2048,1,30.2155,8649855807846794996
fusion8,2048,2,54.1443,8649855807846794996
sorted_array,2048,2,6.4117,8649855807846794996
btree8,2048,2,30.5710,8649855807846794996
btree8_bl,2048,2,24.5819,8649855807846794996
btree8_bl,2048,3,24.7086,8649855807846794996
sorted_array,2048,3,6.3736,8649855807846794996
btree8,2048,3,30.5099,8649855807846794996
fusion8,2048,3,53.7903,8649855807846794996
sorted_array,2048,4,6.4240,8649855807846794996
btree8_bl,2048,4,24.6201,8649855807846794996
fusion8,2048,4,51.9608,8649855807846794996
btree8,2048,4,30.6122,8649855807846794996
btree8,2048,5,30.2063,8649855807846794996
btree8_bl,2048,5,24.6140,8649855807846794996
sorted_array,2048,5,6.4453,8649855807846794996
fusion8,2048,5,51.8494,8649855807846794996
btree8_bl,2048,6,24.5300,8649855807846794996
btree8,2048,6,30.5740,8649855807846794996
fusion8,2048,6,53.6652,8649855807846794996
sorted_array,2048,6,6.4133,8649855807846794996
sorted_array,2048,7,6.3904,8649855807846794996
fusion8,2048,7,52.0340,8649855807846794996
btree8,2048,7,30.3970,8649855807846794996
btree8_bl,2048,7,24.7345,8649855807846794996
btree8,2048,8,30.5725,8649855807846794996
fusion8,2048,8,53.9673,8649855807846794996
sorted_array,2048,8,6.3919,8649855807846794996
btree8_bl,2048,8,24.5636,8649855807846794996
btree8_bl,2048,9,24.3713,8649855807846794996
fusion8,2048,9,51.9211,8649855807846794996
btree8,2048,9,30.4657,8649855807846794996
sorted_array,2048,9,6.3614,8649855807846794996
fusion8,2048,10,53.7582,8649855807846794996
sorted_array,2048,10,6.3614,8649855807846794996
btree8_bl,2048,10,24.8352,8649855807846794996
btree8,2048,10,30.1300,8649855807846794996
btree8,2048,11,30.0354,8649855807846794996
fusion8,2048,11,54.2816,8649855807846794996
btree8_bl,2048,11,24.5514,8649855807846794996
sorted_array,2048,11,6.3950,8649855807846794996
sorted_array,2048,12,6.4423,8649855807846794996
btree8_bl,2048,12,24.4583,8649855807846794996
btree8,2048,12,29.9835,8649855807846794996
fusion8,2048,12,53.7430,8649855807846794996
sorted_array,2048,13,6.4224,8649855807846794996
fusion8,2048,13,51.9638,8649855807846794996
btree8_bl,2048,13,24.6109,8649855807846794996
btree8,2048,13,30.5389,8649855807846794996
btree8,2048,14,30.3116,8649855807846794996
fusion8,2048,14,53.8559,8649855807846794996
sorted_array,2048,14,6.4362,8649855807846794996
