structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.5013,3802318259966007189
btree8,256,0,21.2051,3802318259966007189
fusion8,256,0,37.7502,3802318259966007189
btree8_bl,256,0,17.6651,3802318259966007189
fusion8,256,1,35.7986,3802318259966007189
btree8_bl,256,1,17.5842,3802318259966007189
btree8,256,1,21.1029,3802318259966007189
sorted_array,256,1,4.5029,3802318259966007189
sorted_array,256,2,4.5547,3802318259966007189
fusion8,256,2,38.0371,3802318259966007189
btree8_bl,256,2,17.5705,3802318259966007189
btree8,256,2,21.1060,3802318259966007189
fusion8,256,3,36.3464,3802318259966007189
btree8,256,3,21.1487,3802318259966007189
btree8_bl,256,3,17.6361,3802318259966007189
sorted_array,256,3,4.5090,3802318259966007189
fusion8,256,4,36.1359,3802318259966007189
btree8_bl,256,4,17.5217,3802318259966007189
sorted_array,256,4,4.5395,3802318259966007189
btree8,256,4,21.2860,3802318259966007189
fusion8,256,5,37.7289,3802318259966007189
btree8_bl,256,5,17.7658,3802318259966007189
sorted_array,256,5,4.5059,3802318259966007189
btree8,256,5,21.0907,3802318259966007189
fusion8,256,6,36.7844,3802318259966007189
btree8,256,6,21.2738,3802318259966007189
btree8_bl,256,6,17.4805,3802318259966007189
sorted_array,256,6,4.5471,3802318259966007189
fusion8,256,7,35.7483,3802318259966007189
btree8,256,7,21.1548,3802318259966007189
btree8_bl,256,7,17.7032,3802318259966007189
sorted_array,256,7,4.5029,3802318259966007189
sorted_array,256,8,4.5212,3802318259966007189
btree8_bl,256,8,17.5018,3802318259966007189
btree8,256,8,21.0831,3802318259966007189
fusion8,256,8,38.8443,3802318259966007189
btree8,256,9,20.9625,3802318259966007189
fusion8,256,9,37.7975,3802318259966007189
sorted_array,256,9,4.4998,3802318259966007189
btree8_bl,256,9,17.5079,3802318259966007189
btree8,256,10,20.9717,3802318259966007189
fusion8,256,10,36.7203,3802318259966007189
btree8_bl,256,10,17.6102,3802318259966007189
sorted_array,256,10,4.5013,3802318259966007189
sorted_array,256,11,4.5029,3802318259966007189
fusion8,256,11,35.7452,3802318259966007189
btree8,256,11,21.1044,3802318259966007189
btree8_bl,256,11,17.5323,3802318259966007189
btree8,256,12,21.0312,3802318259966007189
sorted_array,256,12,4.5059,3802318259966007189
fusion8,256,12,37.7884,3802318259966007189
btree8_bl,256,12,17.5339,3802318259966007189
