structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4754,3802318259966007189
sorted_array,256,1,4.4220,3802318259966007189
sorted_array,256,2,4.4357,3802318259966007189
sorted_array,256,3,4.4022,3802318259966007189
sorted_array,256,4,4.4006,3802318259966007189
sorted_array,256,5,4.4083,3802318259966007189
sorted_array,256,6,4.4662,3802318259966007189
sorted_array,256,7,4.3991,3802318259966007189
sorted_array,256,8,4.3945,3802318259966007189
sorted_array,256,9,4.3976,3802318259966007189
sorted_array,256,10,4.3976,3802318259966007189
sorted_array,256,11,4.3961,3802318259966007189
sorted_array,256,12,4.4174,3802318259966007189
sorted_array,256,13,4.4617,3802318259966007189
sorted_array,256,14,4.4067,3802318259966007189
btree8,256,0,23.5825,3802318259966007189
btree8,256,1,21.1472,3802318259966007189
btree8,256,2,20.8435,3802318259966007189
btree8,256,3,20.8939,3802318259966007189
btree8,256,4,20.8786,3802318259966007189
btree8,256,5,20.8023,3802318259966007189
btree8,256,6,20.6284,3802318259966007189
btree8,256,7,21.5759,3802318259966007189
btree8,256,8,20.8786,3802318259966007189
btree8,256,9,20.7657,3802318259966007189
btree8,256,10,21.1960,3802318259966007189
btree8,256,11,20.8160,3802318259966007189
btree8,256,12,20.8206,3802318259966007189
btree8,256,13,20.7108,3802318259966007189
btree8,256,14,20.8206,3802318259966007189
fusion8,256,0,36.1298,3802318259966007189
fusion8,256,1,36.1847,3802318259966007189
fusion8,256,2,35.5988,3802318259966007189
fusion8,256,3,35.6903,3802318259966007189
fusion8,256,4,35.0708,3802318259966007189
fusion8,256,5,34.1370,3802318259966007189
fusion8,256,6,34.0698,3802318259966007189
fusion8,256,7,35.1547,3802318259966007189
fusion8,256,8,36.3449,3802318259966007189
fusion8,256,9,35.4828,3802318259966007189
fusion8,256,10,35.4813,3802318259966007189
fusion8,256,11,35.5408,3802318259966007189
fusion8,256,12,34.8969,3802318259966007189
fusion8,256,13,34.1568,3802318259966007189
fusion8,256,14,35.7269,3802318259966007189
sorted_array,512,0,5.3192,18445980686323395203
sorted_array,512,1,4.9698,18445980686323395203
sorted_array,512,2,4.9713,18445980686323395203
sorted_array,512,3,5.0140,18445980686323395203
sorted_array,512,4,4.9667,18445980686323395203
sorted_array,512,5,5.0415,18445980686323395203
sorted_array,512,6,4.9759,18445980686323395203
sorted_array,512,7,5.2536,18445980686323395203
sorted_array,512,8,4.9683,18445980686323395203
sorted_array,512,9,4.9805,18445980686323395203
sorted_array,512,10,4.9652,18445980686323395203
sorted_array,512,11,4.9683,18445980686323395203
sorted_array,512,12,5.1910,18445980686323395203
sorted_array,512,13,4.9667,18445980686323395203
sorted_array,512,14,4.9774,18445980686323395203
btree8,512,0,25.6943,18445980686323395203
btree8,512,1,25.3555,18445980686323395203
btree8,512,2,25.5722,18445980686323395203
btree8,512,3,25.5798,18445980686323395203
btree8,512,4,25.8011,18445980686323395203
btree8,512,5,26.6907,18445980686323395203
btree8,512,6,25.5478,18445980686323395203
btree8,512,7,25.5173,18445980686323395203
btree8,512,8,24.5865,18445980686323395203
btree8,512,9,24.3408,18445980686323395203
btree8,512,10,24.2722,18445980686323395203
btree8,512,11,24.6002,18445980686323395203
btree8,512,12,24.6078,18445980686323395203
btree8,512,13,24.8276,18445980686323395203
btree8,512,14,24.7498,18445980686323395203
fusion8,512,0,33.9508,18445980686323395203
fusion8,512,1,33.6288,18445980686323395203
fusion8,512,2,33.6380,18445980686323395203
fusion8,512,3,33.4488,18445980686323395203
fusion8,512,4,33.4305,18445980686323395203
fusion8,512,5,35.3119,18445980686323395203
fusion8,512,6,34.0988,18445980686323395203
fusion8,512,7,33.7418,18445980686323395203
fusion8,512,8,33.4106,18445980686323395203
fusion8,512,9,33.3893,18445980686323395203
fusion8,512,10,33.3282,18445980686323395203
fusion8,512,11,33.5648,18445980686323395203
fusion8,512,12,34.2255,18445980686323395203
fusion8,512,13,33.5266,18445980686323395203
fusion8,512,14,33.3832,18445980686323395203
sorted_array,1024,0,5.6000,13330139387826418850
sorted_array,1024,1,5.4047,13330139387826418850
sorted_array,1024,2,5.4733,13330139387826418850
sorted_array,1024,3,5.4733,13330139387826418850
sorted_array,1024,4,5.4031,13330139387826418850
sorted_array,1024,5,5.4077,13330139387826418850
sorted_array,1024,6,5.4108,13330139387826418850
sorted_array,1024,7,5.4642,13330139387826418850
sorted_array,1024,8,5.4138,13330139387826418850
sorted_array,1024,9,5.4214,13330139387826418850
sorted_array,1024,10,5.4153,13330139387826418850
sorted_array,1024,11,5.4108,13330139387826418850
sorted_array,1024,12,5.4367,13330139387826418850
sorted_array,1024,13,5.4138,13330139387826418850
sorted_array,1024,14,5.4184,13330139387826418850
btree8,1024,0,30.8685,13330139387826418850
btree8,1024,1,26.9684,13330139387826418850
btree8,1024,2,26.2695,13330139387826418850
btree8,1024,3,25.8530,13330139387826418850
btree8,1024,4,25.3174,13330139387826418850
btree8,1024,5,24.7009,13330139387826418850
btree8,1024,6,24.8230,13330139387826418850
btree8,1024,7,25.0626,13330139387826418850
btree8,1024,8,24.7711,13330139387826418850
btree8,1024,9,24.8749,13330139387826418850
btree8,1024,10,25.0290,13330139387826418850
btree8,1024,11,24.7543,13330139387826418850
btree8,1024,12,25.0534,13330139387826418850
btree8,1024,13,25.0610,13330139387826418850
btree8,1024,14,25.0839,13330139387826418850
fusion8,1024,0,42.4332,13330139387826418850
fusion8,1024,1,43.1030,13330139387826418850
fusion8,1024,2,42.8940,13330139387826418850
fusion8,1024,3,41.3361,13330139387826418850
fusion8,1024,4,41.3269,13330139387826418850
fusion8,1024,5,41.5329,13330139387826418850
fusion8,1024,6,41.1835,13330139387826418850
fusion8,1024,7,43.1961,13330139387826418850
fusion8,1024,8,42.9153,13330139387826418850
fusion8,1024,9,42.1204,13330139387826418850
fusion8,1024,10,41.5985,13330139387826418850
fusion8,1024,11,41.7099,13330139387826418850
fusion8,1024,12,41.1926,13330139387826418850
fusion8,1024,13,41.7923,13330139387826418850
fusion8,1024,14,41.3940,13330139387826418850
sorted_array,2048,0,6.1615,8649855807846794996
sorted_array,2048,1,6.2134,8649855807846794996
sorted_array,2048,2,6.1417,8649855807846794996
sorted_array,2048,3,6.1340,8649855807846794996
sorted_array,2048,4,6.1340,8649855807846794996
sorted_array,2048,5,6.1523,8649855807846794996
sorted_array,2048,6,6.2012,8649855807846794996
sorted_array,2048,7,6.1386,8649855807846794996
sorted_array,2048,8,6.1386,8649855807846794996
sorted_array,2048,9,6.1279,8649855807846794996
sorted_array,2048,10,6.1295,8649855807846794996
sorted_array,2048,11,6.1844,8649855807846794996
sorted_array,2048,12,6.1508,8649855807846794996
sorted_array,2048,13,6.1554,8649855807846794996
sorted_array,2048,14,6.1508,8649855807846794996
btree8,2048,0,33.3221,8649855807846794996
btree8,2048,1,34.7641,8649855807846794996
btree8,2048,2,33.3908,8649855807846794996
btree8,2048,3,33.1696,8649855807846794996
btree8,2048,4,32.2769,8649855807846794996
btree8,2048,5,29.6539,8649855807846794996
btree8,2048,6,28.9413,8649855807846794996
btree8,2048,7,28.8818,8649855807846794996
btree8,2048,8,29.3243,8649855807846794996
btree8,2048,9,29.0085,8649855807846794996
btree8,2048,10,28.9886,8649855807846794996
btree8,2048,11,28.9459,8649855807846794996
btree8,2048,12,29.0344,8649855807846794996
btree8,2048,13,29.0268,8649855807846794996
btree8,2048,14,28.8544,8649855807846794996
fusion8,2048,0,51.0651,8649855807846794996
fusion8,2048,1,48.9929,8649855807846794996
fusion8,2048,2,48.8754,8649855807846794996
fusion8,2048,3,49.9847,8649855807846794996
fusion8,2048,4,49.3301,8649855807846794996
fusion8,2048,5,48.8541,8649855807846794996
fusion8,2048,6,48.9151,8649855807846794996
fusion8,2048,7,48.7717,8649855807846794996
fusion8,2048,8,49.0707,8649855807846794996
fusion8,2048,9,49.1455,8649855807846794996
fusion8,2048,10,48.9258,8649855807846794996
fusion8,2048,11,49.0799,8649855807846794996
fusion8,2048,12,49.3805,8649855807846794996
fusion8,2048,13,48.9609,8649855807846794996
fusion8,2048,14,48.8724,8649855807846794996
sorted_array,4096,0,7.0633,201817674810245547
sorted_array,4096,1,6.9290,201817674810245547
sorted_array,4096,2,6.9290,201817674810245547
sorted_array,4096,3,6.9229,201817674810245547
sorted_array,4096,4,6.9809,201817674810245547
sorted_array,4096,5,6.9290,201817674810245547
sorted_array,4096,6,6.9275,201817674810245547
sorted_array,4096,7,6.9290,201817674810245547
sorted_array,4096,8,6.9565,201817674810245547
sorted_array,4096,9,6.9275,201817674810245547
sorted_array,4096,10,6.9275,201817674810245547
sorted_array,4096,11,6.9275,201817674810245547
sorted_array,4096,12,6.9550,201817674810245547
sorted_array,4096,13,6.9275,201817674810245547
sorted_array,4096,14,6.9290,201817674810245547
btree8,4096,0,35.1990,201817674810245547
btree8,4096,1,35.1105,201817674810245547
btree8,4096,2,36.7920,201817674810245547
btree8,4096,3,36.3647,201817674810245547
btree8,4096,4,36.9370,201817674810245547
btree8,4096,5,34.9960,201817674810245547
btree8,4096,6,35.2905,201817674810245547
btree8,4096,7,33.4579,201817674810245547
btree8,4096,8,32.4326,201817674810245547
btree8,4096,9,32.4524,201817674810245547
btree8,4096,10,32.4280,201817674810245547
btree8,4096,11,32.2144,201817674810245547
btree8,4096,12,32.3090,201817674810245547
btree8,4096,13,32.0435,201817674810245547
btree8,4096,14,32.1045,201817674810245547
fusion8,4096,0,52.8152,201817674810245547
fusion8,4096,1,50.1495,201817674810245547
fusion8,4096,2,49.9420,201817674810245547
fusion8,4096,3,50.0885,201817674810245547
fusion8,4096,4,50.6775,201817674810245547
fusion8,4096,5,50.0061,201817674810245547
fusion8,4096,6,49.9985,201817674810245547
fusion8,4096,7,49.8703,201817674810245547
fusion8,4096,8,49.9023,201817674810245547
fusion8,4096,9,50.3143,201817674810245547
fusion8,4096,10,50.9445,201817674810245547
fusion8,4096,11,49.9008,201817674810245547
fusion8,4096,12,50.0381,201817674810245547
fusion8,4096,13,49.9466,201817674810245547
fusion8,4096,14,50.0671,201817674810245547
sorted_array,8192,0,8.7143,14779494332775015852
sorted_array,8192,1,8.6884,14779494332775015852
sorted_array,8192,2,8.7036,14779494332775015852
sorted_array,8192,3,8.6472,14779494332775015852
sorted_array,8192,4,8.6578,14779494332775015852
sorted_array,8192,5,8.6609,14779494332775015852
sorted_array,8192,6,8.6990,14779494332775015852
sorted_array,8192,7,8.6624,14779494332775015852
sorted_array,8192,8,8.6746,14779494332775015852
sorted_array,8192,9,8.7173,14779494332775015852
sorted_array,8192,10,8.6487,14779494332775015852
sorted_array,8192,11,8.6746,14779494332775015852
sorted_array,8192,12,8.6838,14779494332775015852
sorted_array,8192,13,8.7311,14779494332775015852
sorted_array,8192,14,8.6746,14779494332775015852
btree8,8192,0,39.5004,14779494332775015852
btree8,8192,1,38.2950,14779494332775015852
btree8,8192,2,38.1821,14779494332775015852
btree8,8192,3,38.2050,14779494332775015852
btree8,8192,4,37.6740,14779494332775015852
btree8,8192,5,38.1302,14779494332775015852
btree8,8192,6,36.7386,14779494332775015852
btree8,8192,7,35.9421,14779494332775015852
btree8,8192,8,35.9085,14779494332775015852
btree8,8192,9,35.8276,14779494332775015852
btree8,8192,10,35.8475,14779494332775015852
btree8,8192,11,35.8932,14779494332775015852
btree8,8192,12,35.8353,14779494332775015852
btree8,8192,13,36.8729,14779494332775015852
btree8,8192,14,35.9970,14779494332775015852
fusion8,8192,0,61.4456,14779494332775015852
fusion8,8192,1,58.8058,14779494332775015852
fusion8,8192,2,59.2896,14779494332775015852
fusion8,8192,3,57.4387,14779494332775015852
fusion8,8192,4,57.6675,14779494332775015852
fusion8,8192,5,58.7540,14779494332775015852
fusion8,8192,6,57.5272,14779494332775015852
fusion8,8192,7,57.3868,14779494332775015852
fusion8,8192,8,57.2937,14779494332775015852
fusion8,8192,9,57.3547,14779494332775015852
fusion8,8192,10,57.8827,14779494332775015852
fusion8,8192,11,57.7332,14779494332775015852
fusion8,8192,12,57.6111,14779494332775015852
fusion8,8192,13,58.9661,14779494332775015852
fusion8,8192,14,59.2270,14779494332775015852
sorted_array,16384,0,11.2473,5257893481483210933
sorted_array,16384,1,11.1664,5257893481483210933
sorted_array,16384,2,11.0931,5257893481483210933
sorted_array,16384,3,11.1237,5257893481483210933
