structure,n,levels_mean,levels_modal_share,lines_per_query,bytes_per_query,l0_mpq,l1_mpq,l2_mpq,l3_mpq,stlb_mpq
sorted_array,256,0.000,1.0000,5.06,79.9,0.000,0.000,0.000,0.000,0.000
btree8,256,3.000,1.0000,6.31,130.9,0.000,0.000,0.000,0.000,0.000
btree8_bl,256,3.000,1.0000,7.71,233.8,0.000,0.000,0.000,0.000,0.000
btree8_a64,256,3.000,1.0000,6.00,130.9,0.000,0.000,0.000,0.000,0.000
btree8_bl_a64,256,3.000,1.0000,6.00,233.8,0.000,0.000,0.000,0.000,0.000
btree16_bl_a64,256,2.000,1.0000,6.94,284.7,0.000,0.000,0.000,0.000,0.000
fusion8,256,3.000,1.0000,10.77,179.0,0.000,0.000,0.000,0.000,0.000
fusion8_bf,256,3.000,1.0000,10.77,179.0,0.000,0.000,0.000,0.000,0.000
fusion8_c,256,3.000,1.0000,6.00,113.0,0.000,0.000,0.000,0.000,0.000
fusion16_w,256,2.000,1.0000,8.06,120.0,0.000,0.000,0.000,0.000,0.000
sorted_array,512,0.000,1.0000,6.03,88.0,0.000,0.000,0.000,0.000,0.000
btree8,512,3.000,1.0000,6.67,152.5,0.000,0.000,0.000,0.000,0.000
btree8_bl,512,3.000,1.0000,6.90,236.1,0.000,0.000,0.000,0.000,0.000
btree8_a64,512,3.000,1.0000,6.00,152.5,0.000,0.000,0.000,0.000,0.000
btree8_bl_a64,512,3.000,1.0000,6.00,236.1,0.000,0.000,0.000,0.000,0.000
btree16_bl_a64,512,2.875,0.8755,10.48,408.7,0.334,0.000,0.000,0.000,0.000
fusion8,512,3.000,1.0000,11.09,179.0,0.000,0.000,0.000,0.000,0.000
fusion8_bf,512,3.000,1.0000,11.09,179.0,0.000,0.000,0.000,0.000,0.000
fusion8_c,512,3.000,1.0000,6.00,113.0,0.000,0.000,0.000,0.000,0.000
fusion16_w,512,2.875,0.8755,11.55,174.8,0.029,0.000,0.000,0.000,0.000
sorted_array,1024,0.000,1.0000,7.01,96.0,0.000,0.000,0.000,0.000,0.000
btree8,1024,3.589,0.5894,7.96,176.0,0.000,0.000,0.000,0.000,0.000
btree8_bl,1024,3.589,0.5894,8.28,283.2,0.000,0.000,0.000,0.000,0.000
btree8_a64,1024,3.589,0.5894,7.18,176.0,0.004,0.000,0.000,0.000,0.000
btree8_bl_a64,1024,3.589,0.5894,7.18,283.2,0.004,0.000,0.000,0.000,0.000
